date,total,Christ Church,Saint George
2020-02-29,NA,-0.6775315859256834,NA
2020-03-01,NA,4.935755488443096,NA
2020-03-02,NA,-0.663197349269992,NA
2020-03-03,NA,2.509447030523053,NA
2020-03-04,NA,-3.0168790081345316,NA
2020-03-05,NA,NA,NA
2020-03-06,NA,-4.301226612484488,NA
2020-03-07,NA,-10.157240094222976,NA
2020-03-08,NA,-4.935755488443096,NA
2020-03-09,NA,-10.617846898759195,NA
2020-03-10,NA,-5.8550578659614425,NA
2020-03-11,NA,-9.80366225671592,NA
2020-03-12,NA,-1.4640033704346223,NA
2020-03-13,NA,-12.903679837453462,NA
2020-03-14,NA,-5.4173858400743296,NA
2020-03-15,NA,-8.226896224589858,NA
2020-03-16,NA,-1.3273503143170302,NA
2020-03-17,NA,9.201624317176877,NA
2020-03-18,NA,-7.54076409667076,NA
2020-03-19,NA,-27.813197190926683,NA
2020-03-20,NA,-21.506133062422435,NA
2020-03-21,NA,-20.314480188445952,NA
2020-03-22,NA,-33.729414466619076,NA
2020-03-23,NA,-41.144992896496795,NA
2020-03-24,NA,-37.64266107362285,NA
2020-03-25,NA,-49.01735566780255,NA
2020-03-26,NA,-53.43134494197847,NA
2020-03-27,NA,-54.072563128376416,NA
2020-03-28,NA,-70.42506030518923,NA
2020-03-29,NA,-83.08983619838118,NA
2020-03-30,NA,-76.31643157067843,NA
2020-03-31,NA,-66.08369783006881,NA
2020-04-01,NA,-76.16544427790515,NA
2020-04-02,NA,-81.97654381812248,NA
2020-04-03,NA,-82.95318314226358,NA
2020-04-04,NA,-92.09460366548656,NA
2020-04-05,NA,-99.5436286475609,NA
2020-04-06,NA,-90.91632941238872,NA
2020-04-07,NA,-81.14038001320714,NA
2020-04-08,NA,-85.96910653462108,NA
2020-04-09,NA,-84.1725488737744,NA
2020-04-10,NA,-95.2424020350764,NA
2020-04-11,NA,-85.99968623948655,NA
