date,total,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Savanne District
2020-02-29,2.4463656093337667,NA,-7.4831670345995365,NA,NA,7.870053473092579,10.595349370890991,NA
2020-03-01,1.6290333307796374,NA,NA,NA,NA,-3.0094762550503757,37.328216080817874,NA
2020-03-02,-2.0618332971793634,NA,-5.125667175128955,NA,NA,-6.904261666314234,4.720785819979901,NA
2020-03-03,-0.5856475381765808,NA,-2.957189485913036,NA,NA,-2.9941462263713547,8.884376732432665,NA
2020-03-04,-4.008628685074041,NA,-3.065613370373832,NA,NA,-5.909726055762725,7.949634241012145,NA
2020-03-05,-2.037699470056702,NA,-3.612530309689352,NA,NA,-5.358803150110395,4.130927762701175,NA
2020-03-06,-0.8277902703072824,NA,-18.172034936309863,NA,NA,5.289818021054799,5.6910735037771545,NA
2020-03-07,-4.403618988981598,NA,-10.689827405112634,NA,NA,2.1462040150629873,1.1768340719323116,NA
2020-03-08,-13.921195945255123,NA,-8.933936178889125,NA,NA,-14.544364709221492,-5.559460223895744,NA
2020-03-09,-6.871705042725759,NA,-11.788458800755212,NA,NA,-10.043085038343852,3.303781529285893,NA
2020-03-10,-23.205479239342925,NA,-14.193933830341189,NA,NA,-30.606402257666094,-12.626228740739895,NA
2020-03-11,-17.75203877052556,NA,-7.971554266374272,NA,NA,-21.668037411004217,-10.28793149087602,NA
2020-03-12,-41.34929047015969,NA,-20.47100508823966,NA,NA,-48.56265647476228,-54.16703045863792,NA
2020-03-13,-34.07133267086913,NA,-30.465192526679047,NA,NA,-35.97191229532356,-27.981751847487704,NA
2020-03-14,-13.946134233281873,NA,-20.310768020054233,NA,NA,-9.65887619457588,-14.716670324841699,NA
2020-03-15,-15.254187663330116,NA,-11.726091079605197,NA,NA,-13.040105645092524,-11.118920447791488,NA
2020-03-16,-7.7879860124828,NA,-14.863667205152124,NA,NA,-12.554335361326034,5.192480129627873,NA
2020-03-17,-26.135325852034004,NA,-9.462622553560793,NA,NA,-33.60054848403745,-21.51060547317256,NA
2020-03-18,-9.277043145951001,NA,-3.065613370373832,NA,NA,-10.177222789285288,-0.9357031722955684,NA
2020-03-19,-30.563078668138264,NA,-26.491888937721914,NA,NA,-35.83585829079725,-28.919376381533368,NA
2020-03-20,-72.40148136798389,NA,-56.12039449758844,NA,NA,-80.40791667505178,-81.09971879057453,NA
2020-03-21,-74.74568044249838,NA,-55.051507707417414,NA,NA,-86.9270113708056,-82.4110481850134,NA
2020-03-22,-82.93428798521737,NA,-63.654415212510294,NA,NA,-92.28198201374624,-88.95232426320696,NA
2020-03-23,-84.98164098612314,NA,-72.78313058206794,NA,NA,-90.70298905980705,-91.10232806156166,NA
2020-03-24,-90.24361975976738,NA,-83.38852168777747,NA,NA,-94.48184112918581,-93.05635296140682,NA
2020-03-25,-92.31108428327536,NA,-82.77923702731194,NA,NA,-96.19305558048157,-94.92679862512291,NA
2020-03-26,-91.32883751938306,NA,-87.30425507259613,NA,NA,-95.1161210657803,-92.2676339629934,NA
2020-03-27,-90.0288286983757,NA,-86.5865465276698,NA,NA,-94.51441744012872,-90.5854817507865,NA
2020-03-28,-90.40370747968103,NA,-94.06875405886703,NA,NA,-93.36562341599456,-86.5323691389641,NA
2020-03-29,-89.59844211468824,NA,-94.36428110677787,NA,NA,-92.28198201374624,-86.56887501221587,NA
2020-03-30,-90.1350175377154,NA,-93.28483977918144,NA,NA,-92.58666633374179,-88.74193515157171,NA
2020-03-31,-89.54052092959385,NA,-89.89395475542523,NA,NA,-92.48606302053572,-89.78331322012242,NA
2020-04-01,-90.82283161071125,NA,-95.04265001220958,NA,NA,-92.5818756997796,-90.2511648062702,NA
2020-04-02,-87.25343857926966,NA,-93.32513892207838,NA,NA,-88.41785665984042,-88.13574551941718,NA
2020-04-03,-87.18908170694256,NA,-93.53431066378151,NA,NA,-87.10905546136898,-86.31717662295362,NA
2020-04-04,-86.12236654812092,NA,-96.6076000613738,NA,NA,-86.56867195043348,-81.82311148948476,NA
2020-04-05,-91.3754962518202,NA,-95.4811430670643,NA,NA,-94.78939982955868,-86.56887501221587,NA
2020-04-06,-88.07398870144013,NA,-93.79721459601389,NA,NA,-89.44784296171217,-85.90984793193378,NA
2020-04-07,-87.3137731470763,NA,-93.44315784056225,NA,NA,-88.82601867341937,-86.51027347883803,NA
2020-04-08,-88.30326005910541,NA,-91.97703664183574,NA,NA,-89.29933330888416,-87.44501597025855,NA
2020-04-09,-87.97262662752495,NA,-91.51935351893486,NA,NA,-90.42704854358468,-88.13574551941718,NA
2020-04-10,-87.6629091794508,NA,-92.999867268696,NA,NA,-89.9297807383089,-86.79175297522673,NA
2020-04-11,-86.00008849069944,NA,-92.999867268696,NA,NA,-88.0001133783371,-82.99994556141708,NA
