date,FR,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Corsica,Grand Est,Hauts-de-France,Île-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2020-02-15,-1,6,2,-1,-2,-1,0,-2,-10,0,3,-4,-2,3
2020-02-16,2,15,11,-4,5,4,11,-7,-6,-2,15,4,0,6
2020-02-17,2,6,2,8,3,0,1,0,-3,5,4,1,4,0
2020-02-18,2,7,4,7,2,1,0,-1,-2,3,3,1,2,2
2020-02-19,-3,4,-2,0,-3,-6,-5,-6,-9,-3,2,-3,-5,1
2020-02-20,-1,6,1,5,-1,-4,-3,-5,-9,-2,3,0,-2,0
2020-02-21,-2,6,2,1,-3,-2,-4,-5,-3,-2,2,-2,-2,0
2020-02-22,-2,6,1,-3,-5,-2,-4,-8,-6,-5,2,-1,-7,1
2020-02-23,7,22,14,6,3,-1,2,-5,0,7,12,18,2,13
2020-02-24,3,9,5,4,2,0,4,-3,1,1,3,5,1,5
2020-02-25,1,7,2,4,1,4,0,-2,0,-1,0,4,0,4
2020-02-26,-2,1,-5,0,-3,-8,-4,-4,-2,-5,-3,2,-5,1
2020-02-27,-1,3,-1,7,1,-2,-7,-7,-4,0,1,4,2,0
2020-02-28,1,5,2,3,0,2,2,-2,4,-3,0,6,-1,4
2020-02-29,1,-1,-3,0,-1,0,1,1,3,-2,-1,6,-2,3
2020-03-01,4,9,10,5,3,-5,10,7,0,11,0,12,-7,4
2020-03-02,3,0,2,10,7,-6,4,5,5,6,1,2,6,-1
2020-03-03,5,4,5,7,7,3,7,7,8,4,0,1,5,6
2020-03-04,2,0,-1,1,3,-1,3,0,2,0,-1,4,1,5
2020-03-05,0,-1,-1,2,2,0,0,0,-5,0,0,4,2,-1
2020-03-06,2,0,0,2,4,4,2,3,6,3,-2,2,4,7
2020-03-07,1,0,-1,0,2,2,2,1,2,1,-1,2,0,4
2020-03-08,2,10,11,0,2,3,4,-1,-2,2,3,7,-1,5
2020-03-09,2,4,3,0,4,2,3,2,1,1,4,1,1,1
2020-03-10,1,3,1,2,2,4,0,0,2,0,2,2,1,3
2020-03-11,2,3,1,-1,2,-3,0,-1,1,-1,2,2,0,3
2020-03-12,5,7,3,7,5,1,4,3,4,2,7,7,9,5
2020-03-13,17,22,15,14,17,2,15,17,18,14,19,20,16,19
2020-03-14,1,4,0,-1,1,-5,-3,-1,4,0,3,2,0,3
2020-03-15,23,26,32,20,27,12,23,16,25,25,23,20,25,21
2020-03-16,46,46,50,45,51,22,49,53,46,49,47,39,49,37
2020-03-17,-15,-15,-13,-16,-12,-22,-18,-15,-11,-15,-14,-18,-16,-18
2020-03-18,-45,-45,-49,-49,-47,-53,-50,-46,-38,-47,-48,-47,-51,-44
2020-03-19,-41,-40,-43,-42,-40,-50,-44,-42,-37,-42,-42,-42,-43,-41
2020-03-20,-42,-41,-43,-42,-42,-47,-45,-43,-37,-44,-41,-42,-43,-41
2020-03-21,-54,-55,-58,-56,-57,-53,-60,-53,-51,-55,-53,-54,-58,-51
2020-03-22,-64,-66,-70,-68,-67,-63,-71,-62,-58,-64,-66,-65,-70,-62
2020-03-23,-41,-42,-41,-44,-39,-48,-41,-40,-38,-41,-41,-42,-43,-42
2020-03-24,-45,-45,-46,-46,-44,-51,-48,-44,-40,-44,-45,-46,-46,-47
2020-03-25,-48,-49,-52,-50,-48,-56,-51,-48,-45,-49,-49,-49,-52,-49
2020-03-26,-46,-46,-48,-47,-44,-55,-48,-45,-43,-45,-46,-48,-47,-47
2020-03-27,-46,-46,-47,-45,-46,-50,-48,-44,-42,-45,-46,-46,-47,-46
2020-03-28,-56,-58,-60,-57,-57,-54,-59,-54,-53,-57,-55,-55,-59,-53
2020-03-29,-72,-74,-77,-76,-75,-67,-77,-72,-69,-73,-76,-72,-78,-68
2020-03-30,-47,-48,-48,-49,-46,-50,-48,-45,-42,-46,-50,-49,-49,-47
2020-03-31,-38,-37,-40,-41,-38,-46,-42,-37,-31,-39,-38,-39,-39,-39
2020-04-01,-39,-40,-43,-43,-40,-45,-43,-38,-34,-40,-40,-42,-43,-38
2020-04-02,-36,-35,-39,-38,-36,-46,-39,-34,-32,-37,-36,-37,-37,-36
2020-04-03,-38,-38,-40,-38,-40,-40,-41,-37,-34,-37,-37,-38,-39,-36
2020-04-04,-45,-48,-50,-47,-48,-44,-50,-41,-42,-45,-45,-46,-49,-43
2020-04-05,-62,-64,-67,-67,-64,-59,-64,-55,-56,-59,-67,-64,-69,-60
2020-04-06,-37,-37,-38,-40,-40,-39,-36,-37,-35,-36,-38,-37,-40,-36
2020-04-07,-35,-36,-38,-40,-35,-39,-34,-34,-30,-34,-37,-37,-38,-36
2020-04-08,-37,-39,-41,-42,-39,-42,-33,-36,-34,-37,-39,-40,-42,-38
2020-04-09,-32,-34,-35,-34,-32,-39,-25,-31,-32,-31,-34,-35,-34,-35
2020-04-10,-34,-32,-34,-31,-32,-32,-65,-29,-27,-29,-31,-32,-32,-31
2020-04-11,-39,-42,-44,-40,-42,-38,-41,-36,-38,-38,-38,-40,-41,-36
