date,LA
2020-02-15,0
2020-02-16,-2
2020-02-17,-1
2020-02-18,-1
2020-02-19,-1
2020-02-20,-2
2020-02-21,0
2020-02-22,0
2020-02-23,2
2020-02-24,1
2020-02-25,3
2020-02-26,0
2020-02-27,1
2020-02-28,4
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,2
2020-03-04,-2
2020-03-05,-1
2020-03-06,0
2020-03-07,1
2020-03-08,6
2020-03-09,0
2020-03-10,1
2020-03-11,-2
2020-03-12,-2
2020-03-13,-2
2020-03-14,-5
2020-03-15,-6
2020-03-16,-3
2020-03-17,-7
2020-03-18,-11
2020-03-19,-11
2020-03-20,-14
2020-03-21,-19
2020-03-22,-24
2020-03-23,-20
2020-03-24,-24
2020-03-25,-30
2020-03-26,-34
2020-03-27,-39
2020-03-28,-43
2020-03-29,-45
2020-03-30,-42
2020-03-31,-40
2020-04-01,-53
2020-04-02,-55
2020-04-03,-56
2020-04-04,-59
2020-04-05,-59
2020-04-06,-55
2020-04-07,-56
2020-04-08,-58
2020-04-09,-58
2020-04-10,-60
2020-04-11,-59
