date,AW
2020-02-15,2
2020-02-16,-1
2020-02-17,-1
2020-02-18,-2
2020-02-19,1
2020-02-20,4
2020-02-21,7
2020-02-22,-2
2020-02-23,14
2020-02-24,-23
2020-02-25,6
2020-02-26,-1
2020-02-27,-1
2020-02-28,7
2020-02-29,5
2020-03-01,8
2020-03-02,1
2020-03-03,5
2020-03-04,3
2020-03-05,-1
2020-03-06,3
2020-03-07,3
2020-03-08,2
2020-03-09,-1
2020-03-10,-2
2020-03-11,-4
2020-03-12,-10
2020-03-13,-10
2020-03-14,-23
2020-03-15,-28
2020-03-16,-28
2020-03-17,-38
2020-03-18,-65
2020-03-19,-52
2020-03-20,-53
2020-03-21,-62
2020-03-22,-70
2020-03-23,-53
2020-03-24,-55
2020-03-25,-57
2020-03-26,-57
2020-03-27,-50
2020-03-28,-49
2020-03-29,-88
2020-03-30,-74
2020-03-31,-71
2020-04-01,-70
2020-04-02,-70
2020-04-03,-69
2020-04-04,-71
2020-04-05,-76
2020-04-06,-66
2020-04-07,-65
2020-04-08,-63
2020-04-09,-62
2020-04-10,-96
2020-04-11,-71
