date,KE,Baringo County,Bomet County,Bungoma County,Busia County,Embu County,Garissa County,Homa Bay County,Kajiado County,Kakamega County,Kericho County,Kiambu County,Kilifi County,Kirinyaga County,Kisii County,Kisumu County,Kitui County,Kwale County,Laikipia County,Machakos County,Makueni County,Meru County,Migori County,Mombasa County,Muranga County,Nairobi County,Nakuru County,Nandi County,Narok County,Nyandarua County,Nyeri County,Siaya,Taita-Taveta County,Tharaka-Nithi County,Trans-Nzoia County,Turkana County,Uasin Gishu County,Vihiga County,Wajir County
2020-02-15,2,NA,2,-10,6,-1,0,0,11,3,3,-4,5,6,3,0,18,7,0,-3,0,7,-4,0,10,4,3,0,0,NA,4,6,0,0,0,0,3,0,NA
2020-02-16,-2,NA,-2,-11,-8,-3,0,-13,4,-1,2,-9,3,-6,-4,-9,0,10,-2,1,0,5,0,-3,-4,-3,1,0,0,NA,-1,0,NA,0,-4,0,2,0,NA
2020-02-17,1,0,-10,9,-15,-5,0,2,5,8,7,-6,9,-4,-2,5,0,14,9,4,0,5,-2,-1,-1,-1,5,0,0,0,4,-2,0,0,4,0,5,0,NA
2020-02-18,0,0,-6,-3,-12,-8,0,0,7,4,2,-5,12,3,2,10,0,16,2,-3,0,-3,-11,3,-4,-1,4,0,0,0,4,2,0,0,0,0,5,0,NA
2020-02-19,-4,0,-11,7,-5,-7,0,2,3,-6,-3,-8,7,0,-5,3,0,18,5,-6,0,3,12,-1,-10,-5,1,0,0,0,-1,-10,0,0,2,0,3,0,NA
2020-02-20,-1,0,3,6,-3,0,0,0,3,5,-2,-6,6,-3,2,3,0,12,8,-4,0,9,6,2,-9,-3,1,0,0,0,6,0,0,0,-5,0,4,0,0
2020-02-21,1,NA,-7,0,-22,-4,0,-15,11,11,-13,0,1,-3,6,3,4,10,18,-1,7,8,12,-1,-8,-2,6,0,0,0,3,-8,0,0,-3,0,7,0,NA
2020-02-22,0,NA,6,-8,-23,-5,0,-8,10,-2,0,1,0,-6,10,1,8,4,10,-2,0,4,-6,-1,4,0,4,0,0,NA,1,4,0,0,-4,0,4,0,NA
2020-02-23,3,NA,17,1,-34,15,0,-4,14,10,5,2,-2,0,15,-1,0,15,17,5,0,8,0,-4,14,0,8,0,0,NA,14,0,NA,0,3,0,8,0,NA
2020-02-24,-1,0,-30,1,-26,-3,0,-14,2,8,-11,0,-8,6,-7,4,0,10,12,0,0,6,-28,-6,9,-3,6,0,0,0,8,2,0,0,1,0,4,0,NA
