date,JO
2020-02-15,-1
2020-02-16,-1
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,-1
2020-02-22,2
2020-02-23,-1
2020-02-24,-1
2020-02-25,0
2020-02-26,-1
2020-02-27,-2
2020-02-28,-4
2020-02-29,-1
2020-03-01,0
2020-03-02,-1
2020-03-03,-1
2020-03-04,-2
2020-03-05,-3
2020-03-06,1
2020-03-07,1
2020-03-08,-2
2020-03-09,-1
2020-03-10,-1
2020-03-11,-2
2020-03-12,2
2020-03-13,4
2020-03-14,3
2020-03-15,4
2020-03-16,5
2020-03-17,7
2020-03-18,22
2020-03-19,27
2020-03-20,11
2020-03-21,28
2020-03-22,33
2020-03-23,32
2020-03-24,30
2020-03-25,24
2020-03-26,29
2020-03-27,16
2020-03-28,24
2020-03-29,27
2020-03-30,25
2020-03-31,27
2020-04-01,27
2020-04-02,30
2020-04-03,21
2020-04-04,22
2020-04-05,27
2020-04-06,27
2020-04-07,27
2020-04-08,26
2020-04-09,29
2020-04-10,23
2020-04-11,31
