date,RO,Alba County,Arad County,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Botoșani County,Brăila County,Brașov County,Bucharest,Buzău County,Călărași County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Dâmbovița County,Dolj County,Galați,Giurgiu County,Gorj County,Harghita County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Sălaj,Satu Mare County,Sibiu,Suceava County,Teleorman County,Timiș County,Tulcea County,Vâlcea County,Vaslui County,Vrancea County
2020-02-15,8,12,10,11,6,13,2,1,8,5,5,13,8,4,4,6,5,11,6,4,5,8,2,10,5,3,6,4,8,10,7,16,9,13,10,7,0,10,12,6,9,3,7
2020-02-16,12,16,22,10,12,19,14,7,11,10,11,12,11,15,4,9,18,12,11,9,11,12,17,21,12,12,9,14,9,20,13,18,13,18,15,14,12,18,19,13,17,9,12
2020-02-17,4,5,8,6,3,4,6,0,4,7,7,3,8,8,0,4,3,0,4,5,10,3,4,7,7,6,5,3,2,6,6,7,4,6,8,8,1,7,6,1,5,2,3
2020-02-18,3,5,10,6,1,3,1,-2,6,6,4,7,5,8,1,4,5,0,7,3,7,5,6,4,12,3,4,1,2,5,6,8,5,5,9,7,-1,5,10,7,6,5,3
2020-02-19,3,6,2,0,1,6,0,-1,5,4,4,2,4,5,1,3,2,4,2,3,9,2,3,4,5,4,2,4,-1,3,7,3,3,11,6,6,1,4,10,0,-2,-3,2
2020-02-20,1,-1,-5,-1,-1,2,-2,-4,0,-1,1,3,0,-4,-1,0,-3,-1,-1,1,3,0,1,-1,-1,4,-2,-3,-5,2,0,3,-2,-2,1,0,-6,1,6,-1,-4,-3,1
2020-02-21,5,8,0,0,0,4,-5,-6,1,-7,5,5,10,-6,2,-1,2,-1,-1,0,8,-2,3,-2,9,1,-1,-2,-2,10,1,6,-3,3,-3,-1,-7,10,7,1,-4,-4,4
2020-02-22,2,11,7,1,-1,6,1,2,2,-5,1,-4,3,0,4,4,-1,1,-2,-2,5,-2,-6,6,1,0,-4,-1,-1,7,0,2,-3,12,8,1,-6,7,10,4,-2,1,2
2020-02-23,7,9,13,5,5,6,3,6,5,2,3,4,9,15,6,6,4,5,41,4,18,8,6,13,5,7,0,2,3,13,1,9,3,16,2,14,4,10,12,4,5,3,8
2020-02-24,-1,0,2,1,-2,-1,1,-2,-6,-1,4,-2,-1,0,2,0,-7,-4,-1,-5,3,-3,-2,-4,2,-2,3,-3,0,-1,-4,0,-4,4,0,-1,-5,-1,6,-3,-3,-6,-1
2020-02-25,2,9,6,4,-1,1,-3,-4,4,8,3,5,6,8,6,1,2,-3,2,-1,4,-2,2,4,3,1,5,-2,0,7,4,2,2,3,6,8,-4,12,12,2,-2,0,-1
2020-02-26,3,1,-4,7,-1,-3,-2,-3,6,5,7,3,13,4,3,7,3,5,6,1,11,-4,-1,0,6,1,4,-5,1,1,1,6,-1,1,-1,5,-1,24,6,0,-1,-2,1
2020-02-27,-3,-5,-5,-3,-8,1,-6,-15,-4,-9,-1,-4,4,-3,1,-3,-2,-1,-4,-6,6,-10,-5,-4,-5,-7,-4,-3,-2,-3,-8,-1,-10,-1,3,-3,-13,4,3,0,-8,-11,-7
2020-02-28,3,8,0,-3,-3,-2,-8,-5,2,-9,2,8,12,-14,-1,1,8,0,-4,-2,8,-8,-1,-7,12,3,-1,-6,0,4,2,3,-7,3,-7,-2,-10,10,0,0,-5,-4,1
2020-02-29,4,16,10,7,2,2,2,18,8,-11,3,16,19,-3,2,5,-3,8,5,2,10,-6,-9,5,11,2,2,-5,3,11,4,14,3,8,5,2,-6,16,1,5,2,3,4
2020-03-01,11,20,12,20,8,3,14,10,16,5,8,28,32,5,4,12,7,19,27,8,28,7,4,11,29,10,5,1,10,20,9,28,13,9,4,13,7,34,8,17,11,14,13
2020-03-02,-3,-5,1,-1,-1,-3,-3,-6,-2,-3,1,-1,3,0,0,3,-3,-4,0,-3,10,-9,-6,-5,5,-1,1,-7,-4,-3,-2,-2,-7,-2,-5,1,-5,-1,-1,-2,-3,-5,0
2020-03-03,-1,1,4,-1,0,-4,-4,-6,-3,2,1,3,4,1,4,2,-3,-4,-2,-2,5,-6,-4,-2,5,2,1,-5,-5,3,2,-2,-2,-2,-1,3,-7,1,2,3,-2,1,2
2020-03-04,1,1,-8,5,0,-4,-2,0,1,1,5,1,8,-10,3,4,-1,5,1,0,12,-6,-1,-4,7,4,4,-3,-2,3,2,5,1,2,-3,2,-3,14,-2,1,-3,-1,3
2020-03-05,0,-2,1,-3,-6,3,-4,-5,-3,-8,1,0,5,1,1,2,-3,0,1,-6,6,-5,-3,0,5,-2,-1,-2,3,0,-2,2,-9,0,2,3,-9,7,8,3,-6,-6,-3
2020-03-06,9,14,7,4,1,6,-1,0,7,-4,8,8,18,-6,4,4,13,6,4,2,26,2,4,1,33,8,5,0,4,12,7,11,-2,9,0,5,-5,17,5,11,0,2,6
2020-03-07,11,21,10,12,12,6,3,13,15,0,8,18,26,3,5,14,11,21,7,10,25,9,9,12,32,16,10,0,9,18,13,14,8,20,8,12,-1,24,5,21,12,18,15
2020-03-08,14,24,25,11,12,19,20,19,26,0,6,24,34,9,12,20,18,21,18,17,22,10,25,10,51,13,8,15,15,22,13,28,12,28,19,12,10,40,14,46,9,29,17
2020-03-09,-4,-3,3,-6,0,-3,5,-1,-3,-6,-5,-3,1,-4,1,3,-3,-10,-9,-4,4,-7,1,-6,7,1,-4,-4,-3,-1,1,-13,-10,3,0,-3,1,-1,-1,5,-6,3,4
2020-03-10,-2,4,11,2,0,3,-1,-5,-1,-2,-7,3,-3,-2,4,-1,0,-1,-5,-9,1,-2,2,-5,8,-2,-2,1,-4,4,2,-2,-1,4,5,3,-5,-2,4,-1,3,-2,-1
2020-03-11,-6,-4,-5,2,-10,-7,-9,-10,0,-5,-10,-3,9,-9,-8,3,-5,2,-2,-9,7,-7,-8,-8,9,-7,2,-12,2,-5,-6,1,-8,-5,-8,-5,-11,14,-5,2,-3,-9,-4
2020-03-12,-9,-4,-9,-4,-6,-2,-12,-11,-3,-11,-22,0,12,-7,-14,-5,-5,-1,-7,-4,9,-6,0,-5,11,-12,-3,-14,-7,-5,-7,0,-8,-4,-5,-9,-13,25,-9,4,-8,-10,-6
2020-03-13,-15,-6,-10,-12,-15,-9,-21,-19,-5,-24,-30,-4,10,-18,-26,-14,-10,-7,-12,-11,4,-6,-10,-16,16,-24,-10,-22,-12,-12,-17,1,-18,-10,-19,-20,-22,20,-17,-3,-15,-14,-12
