date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-02-15,-5,-10,-3,-48,16,11,-17,-23,-11,-5,-21,-25,-14,-21,-8,-7,-9,-15,-14,-28,-4,-15,-17,-14,-13,-4,-9,-9,-17,-15,-4,12
2020-02-16,-5,-8,-3,-49,5,11,-16,-22,-13,-7,-16,-31,-15,-26,-7,-7,-2,-12,-19,-32,-3,-16,-20,-16,-9,-5,-8,-11,-17,-17,-3,12
2020-02-17,-4,-14,1,-3,7,3,-10,-19,-6,-6,-3,-8,-1,-14,-6,-4,-13,-9,-6,-25,1,-8,-11,-10,-7,-4,-8,-3,-14,-8,1,NA
2020-02-18,-3,-16,0,4,6,5,-6,-11,-3,-5,-4,-2,-1,-4,-5,-2,-30,-6,-7,-22,-2,-6,-5,-6,-5,-5,-13,-4,-9,-6,-1,NA
2020-02-19,-5,-10,-3,0,13,1,-4,-16,-5,-7,-7,-4,-5,-12,-7,-6,-5,-6,-9,-18,-2,-5,-8,-10,-5,-5,-8,-3,-7,-7,-3,-2
2020-02-20,-6,-1,-4,-1,19,-4,-8,-13,-6,-1,-6,-13,-9,-4,-7,-7,-15,-2,-2,-16,0,-5,-2,0,-9,-5,-9,-3,-3,-5,-9,-2
2020-02-21,-6,-11,-9,3,25,3,-11,-21,-7,1,-6,-10,-5,-15,-2,-10,-3,-9,2,-21,1,-7,-6,-1,-13,-8,-3,-6,-17,-11,-5,-4
2020-02-22,-8,-13,-10,-3,25,2,-17,-26,-13,3,-16,-13,-1,-9,-8,-15,-17,-15,14,-17,-2,-11,-4,-3,-17,-14,-2,-7,-8,-15,-11,-6
2020-02-23,-11,-12,-4,-2,20,-16,-15,-29,-12,-10,-9,-21,-3,-15,-4,-18,-30,-14,0,-15,-6,-5,-5,-14,-19,-7,-7,-8,-14,-21,-11,-4
2020-02-24,-9,-7,-7,-5,5,-2,-7,-23,-11,-9,-6,-15,-7,-14,-8,-13,-22,-11,-10,-14,0,-12,-6,-6,-16,-14,-5,-10,-15,-13,-9,NA
2020-02-25,-9,-20,-6,-3,-13,-2,-6,-15,-12,-10,-7,-11,-6,-20,-8,-10,-22,-12,-14,-21,-4,-18,-3,-10,-14,-16,-5,-8,-11,-13,-11,-9
2020-02-26,-5,-16,2,-2,1,1,-7,-11,-7,-4,-7,-14,-5,-11,-5,-3,-11,-8,-9,-21,0,-12,0,-2,-11,-7,-6,-3,-6,-8,-9,NA
2020-02-27,-6,-14,-6,-2,3,-2,-8,-16,-5,-10,-9,-9,-12,-4,0,-10,-9,-4,-11,-20,0,-9,-1,-1,-11,-7,-10,-7,-5,-9,-4,-7
2020-02-28,-4,-5,-3,-2,4,8,-14,-18,-4,-3,-9,-5,-7,-5,2,-5,2,-10,-11,-24,2,-5,2,2,-17,-5,-5,-6,-21,-11,-1,-4
2020-02-29,-2,-3,1,1,4,8,-13,-21,-2,-1,-11,-5,-5,-6,3,-7,-3,-5,-5,-25,0,-3,2,5,-17,-3,-6,-3,-12,-6,-1,4
2020-03-01,-2,-13,-1,-4,2,13,-17,-19,-6,-11,-5,-17,-5,-11,3,-2,-3,-4,-3,-25,0,-9,-3,-8,-17,-1,-6,-5,-11,-11,-4,2
2020-03-02,-4,-8,2,-3,8,3,-13,-20,-4,-8,-4,-10,-3,-15,4,-6,-5,-7,-5,-22,4,-7,-1,-11,-7,-2,-6,-9,-14,-8,0,NA
2020-03-03,-3,-23,0,-5,7,4,-10,-11,1,-7,-2,-4,-4,-13,0,-3,-12,-4,-11,-23,1,-3,-3,-2,-7,-4,-5,-5,-8,-8,0,-14
2020-03-04,-2,-8,-1,-1,6,7,-11,-13,0,1,-1,-6,-5,-7,1,-1,5,-3,-9,-19,2,-4,-1,-1,-3,-3,0,-3,-8,-6,-1,-9
2020-03-05,-1,-1,-2,1,4,9,-10,-11,-1,-3,0,-2,-8,-7,3,-1,13,-2,-10,-18,3,-2,0,1,-6,-4,-2,1,-4,-9,0,-7
2020-03-06,-3,-12,-5,3,7,10,-13,-18,-6,-3,-2,-3,-7,-6,0,-3,14,-11,-14,-27,2,-3,-1,3,-13,-8,-2,-6,-20,-12,-3,-7
2020-03-07,-4,-7,-5,-5,6,6,-14,-20,-11,0,-11,-6,-8,-6,0,-7,9,-6,-14,-26,0,-1,4,6,-18,-8,1,-5,-13,-10,-6,-4
2020-03-08,-3,-11,0,3,1,-2,-15,-17,-9,3,2,-2,-2,-2,1,-5,-9,0,-6,-26,1,23,4,17,-4,-4,0,-2,-10,-12,0,-4
2020-03-09,-9,-14,-11,-10,2,-1,-17,-20,-9,-13,-3,-10,-8,-14,-4,-11,-2,-9,-13,-28,-4,-6,-8,-9,-8,-9,0,-11,-20,-12,-6,NA
2020-03-10,-9,-32,-10,-9,1,-4,-12,-15,-5,-7,-3,-13,-6,-17,-3,-10,-7,-7,-13,-24,-1,-6,-6,-5,-9,-9,-6,-8,-11,-10,-10,-21
2020-03-11,-7,-17,-10,-7,-2,0,-12,-15,-4,-6,-3,-13,-9,-11,-1,-7,7,-6,-13,-23,-2,-3,-5,-3,-9,-8,-6,-6,-11,-9,-7,-9
2020-03-12,-8,-8,-12,-7,-2,-1,-13,-16,-7,-9,-4,-12,-11,-5,0,-8,7,-6,-13,-22,-2,-2,-5,0,-12,-9,-7,-6,-7,-11,-5,-16
2020-03-13,-11,-17,-13,-6,0,-3,-18,-24,-10,-9,-12,-13,-9,-10,0,-12,0,-14,-15,-31,-10,-7,-4,0,-20,-13,-4,-11,-26,-16,-7,-7
2020-03-14,-10,-12,-7,-9,2,-3,-23,-29,-14,-7,-17,-13,-9,-8,-4,-15,6,-13,-14,-31,-7,-6,-6,-1,-23,-11,-4,-12,-17,-20,-11,-6
2020-03-15,-16,-4,-10,-11,-6,-14,-32,-32,-20,-10,-15,-20,-11,-10,-6,-19,5,-16,-18,-34,-17,-6,-14,2,-25,-21,-4,-15,-19,-23,-12,-2
2020-03-16,-18,-10,-10,-15,-12,-16,-39,-29,-14,-15,-8,-23,-13,-16,-14,-15,0,-20,-19,-33,-15,-12,-18,-12,-25,-21,-6,-19,-26,-22,-18,NA
2020-03-17,-20,-23,-18,-20,-24,-12,-48,-21,-17,-18,-12,-21,-17,-12,-15,-14,-12,-24,-21,-43,-23,-15,-26,-18,-27,-24,-18,-19,-28,-23,-22,-7
2020-03-18,-24,-13,-24,-16,-28,-15,-53,-28,-29,-18,-12,-24,-14,-5,-12,-17,-5,-26,-24,-46,-20,-17,-38,-14,-33,-35,-29,-21,-28,-28,-27,-11
2020-03-19,-25,-17,-31,-16,-34,-9,-57,-31,-33,-24,-15,-27,-22,-8,-15,-8,-4,-30,-28,-49,-12,-20,-41,-10,-41,-40,-44,-26,-28,-29,-30,-9
2020-03-20,-51,-26,-32,-24,-41,-83,-63,-60,-39,-23,-18,-41,-31,-13,-23,-73,-12,-36,-38,-61,-71,-32,-45,-22,-58,-41,-53,-35,-47,-38,-33,-13
2020-03-21,-75,-42,-81,-21,-52,-81,-79,-79,-79,-77,-57,-52,-44,-36,-30,-77,-75,-78,-41,-68,-71,-64,-82,-47,-70,-87,-81,-81,-46,-76,-84,-18
2020-03-22,-79,-51,-81,-43,-65,-83,-82,-79,-83,-73,-59,-74,-65,-48,-37,-82,-77,-80,-52,-78,-70,-67,-80,-71,-91,-85,-84,-81,-57,-77,-85,-23
2020-03-23,-77,-62,-79,-51,-69,-81,-82,-75,-81,-78,-62,-76,-66,-45,-37,-74,-71,-80,-53,-79,-63,-67,-80,-76,-89,-86,-85,-82,-58,-72,-84,-24
2020-03-24,-60,-28,-60,-34,-52,-65,-71,-55,-63,-51,-46,-61,-52,-37,-22,-52,-50,-58,-46,-73,-57,-39,-63,-59,-75,-68,-79,-64,-42,-59,-62,-21
2020-03-25,-75,-67,-75,-70,-79,-77,-83,-70,-73,-66,-69,-72,-73,-52,-62,-70,-71,-75,-69,-80,-66,-71,-74,-72,-83,-80,-84,-75,-72,-68,-77,-41
2020-03-26,-74,-62,-74,-69,-79,-75,-82,-69,-71,-67,-69,-71,-73,-48,-60,-68,-67,-72,-69,-80,-65,-69,-73,-69,-82,-80,-83,-74,-68,-66,-77,-44
