date,PY
2020-02-15,-1
2020-02-16,0
2020-02-17,2
2020-02-18,0
2020-02-19,-3
2020-02-20,0
2020-02-21,-2
2020-02-22,2
2020-02-23,2
2020-02-24,0
2020-02-25,-4
2020-02-26,-4
2020-02-27,0
2020-02-28,2
2020-02-29,8
2020-03-01,6
2020-03-02,6
2020-03-03,4
2020-03-04,1
2020-03-05,2
2020-03-06,1
2020-03-07,5
2020-03-08,5
2020-03-09,3
2020-03-10,7
2020-03-11,2
2020-03-12,-6
2020-03-13,-9
2020-03-14,-9
2020-03-15,-17
2020-03-16,-13
2020-03-17,-23
2020-03-18,-29
2020-03-19,-29
2020-03-20,-23
2020-03-21,-42
2020-03-22,-59
2020-03-23,-49
2020-03-24,-53
2020-03-25,-53
2020-03-26,-50
2020-03-27,-47
2020-03-28,-47
2020-03-29,-52
2020-03-30,-37
2020-03-31,-30
2020-04-01,-39
2020-04-02,-40
2020-04-03,-41
2020-04-04,-46
2020-04-05,-57
2020-04-06,-50
2020-04-07,-41
2020-04-08,-41
2020-04-09,-54
2020-04-10,-86
2020-04-11,-53
