date,LT,Alytus County,Kaunas County,Klaipėda County,Marijampolė County,Panevėžys County,Šiauliai County,Tauragė County,Telšiai County,Utena County,Vilnius County
2020-02-15,4,6,2,18,-1,8,-1,-16,0,17,1
2020-02-16,2,7,4,14,3,6,0,-23,9,16,-3
2020-02-17,0,6,2,5,-2,3,-4,-16,-3,10,-2
2020-02-18,2,10,1,2,4,7,-4,-14,7,9,0
2020-02-19,0,10,1,0,4,4,-8,-21,-2,8,-1
2020-02-20,2,6,4,5,0,5,-3,-11,-5,17,2
2020-02-21,1,2,1,5,-1,0,-6,-17,1,13,-1
2020-02-22,-2,3,0,-5,-1,-1,-10,-18,-5,12,-1
2020-02-23,2,2,4,17,4,5,-7,-21,-6,15,0
2020-02-24,5,8,8,12,1,2,-1,-12,2,11,3
2020-02-25,2,1,4,5,1,-1,-4,-13,-2,9,2
2020-02-26,5,2,6,4,1,2,-2,-14,-1,14,6
2020-02-27,5,1,9,2,2,6,-2,-9,-11,15,9
2020-02-28,8,4,11,8,3,8,6,-15,1,9,6
2020-02-29,0,2,3,4,-3,2,-7,-9,-8,8,-1
2020-03-01,-1,0,0,14,2,-1,-7,-16,-9,9,-5
2020-03-02,-1,-4,2,0,-5,1,-6,-15,-12,0,-1
2020-03-03,1,3,1,1,-6,0,-2,-4,-3,2,2
2020-03-04,1,0,1,0,-6,0,-2,3,-5,3,2
2020-03-05,1,1,3,0,-5,0,-3,-6,-9,15,4
2020-03-06,6,1,7,4,-7,5,2,-5,2,11,6
2020-03-07,7,8,7,6,0,8,0,4,5,14,9
2020-03-08,18,18,16,39,15,26,16,25,20,36,12
2020-03-09,1,1,3,0,-9,0,-2,-2,-5,7,2
2020-03-10,17,20,18,13,11,17,18,10,15,25,17
2020-03-11,-10,-9,-10,-8,-23,-19,-17,-28,-19,-13,-6
2020-03-12,11,9,11,4,4,10,9,11,6,21,14
2020-03-13,9,5,9,4,1,9,9,-1,3,21,8
2020-03-14,1,1,5,-3,-5,4,0,4,-5,11,0
2020-03-15,13,17,12,16,10,26,13,16,6,42,9
2020-03-16,-18,-18,-19,-24,-19,-17,-16,-29,-26,4,-16
2020-03-17,-23,-27,-24,-26,-25,-25,-22,-43,-28,-7,-23
2020-03-18,-27,-26,-27,-33,-31,-29,-28,-42,-34,-9,-26
2020-03-19,-27,-29,-26,-26,-39,-28,-27,-39,-34,-6,-28
2020-03-20,-13,-12,-14,-6,-23,-10,-16,-25,-14,4,-17
2020-03-21,-25,-24,-23,-17,-32,-23,-29,-28,-24,-16,-28
2020-03-22,-27,-25,-29,-15,-31,-21,-24,-16,-30,-1,-33
2020-03-23,-22,-18,-24,-11,-28,-14,-24,-23,-21,-6,-26
2020-03-24,-23,-22,-24,-13,-27,-18,-24,-21,-19,-10,-27
2020-03-25,-25,-28,-27,-18,-32,-24,-28,-29,-23,-5,-28
2020-03-26,-27,-27,-27,-17,-35,-22,-30,-27,-32,-8,-29
2020-03-27,-23,-28,-22,-13,-34,-22,-26,-31,-21,-10,-27
2020-03-28,-27,-33,-24,-21,-37,-28,-34,-30,-33,-12,-28
2020-03-29,-38,-36,-40,-31,-39,-36,-39,-31,-40,-22,-41
2020-03-30,-29,-26,-29,-20,-35,-24,-29,-27,-32,-19,-33
2020-03-31,-26,-29,-27,-18,-33,-22,-30,-30,-23,-14,-29
2020-04-01,-31,-30,-34,-26,-38,-28,-32,-30,-30,-20,-33
2020-04-02,-30,-33,-30,-24,-36,-28,-34,-32,-34,-20,-31
2020-04-03,-24,-30,-23,-20,-31,-22,-27,-28,-22,-17,-27
2020-04-04,-27,-35,-25,-23,-31,-28,-32,-29,-30,-19,-28
2020-04-05,-26,-25,-27,-13,-31,-19,-27,-14,-29,-5,-31
2020-04-06,-24,-24,-26,-12,-34,-20,-25,0,-25,-9,-26
2020-04-07,-14,-16,-17,-2,-24,-8,-15,0,-9,8,-20
2020-04-08,-12,-11,-15,-4,-23,-6,-12,0,-9,9,-17
2020-04-09,-1,7,-2,10,-8,12,2,0,5,27,-10
2020-04-10,0,-5,2,12,-11,11,-1,0,6,14,-8
2020-04-11,-22,-34,-20,-17,-39,-25,-29,0,-25,-21,-19
