date,OM
2020-02-15,-2
2020-02-16,-5
2020-02-17,-6
2020-02-18,-6
2020-02-19,-7
2020-02-20,-6
2020-02-21,-3
2020-02-22,-3
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,-1
2020-02-27,0
2020-02-28,2
2020-02-29,3
2020-03-01,0
2020-03-02,-1
2020-03-03,-1
2020-03-04,-2
2020-03-05,-2
2020-03-06,-1
2020-03-07,-1
2020-03-08,-3
2020-03-09,-5
2020-03-10,-5
2020-03-11,-6
2020-03-12,-6
2020-03-13,-7
2020-03-14,-8
2020-03-15,-9
2020-03-16,-13
2020-03-17,-16
2020-03-18,-24
2020-03-19,-33
2020-03-20,-45
2020-03-21,-40
2020-03-22,-45
2020-03-23,-36
2020-03-24,-47
2020-03-25,-51
2020-03-26,-54
2020-03-27,-61
2020-03-28,-57
2020-03-29,-52
2020-03-30,-54
2020-03-31,-52
2020-04-01,-58
2020-04-02,-60
2020-04-03,-65
2020-04-04,-59
2020-04-05,-55
2020-04-06,-57
2020-04-07,-56
2020-04-08,-56
2020-04-09,-54
2020-04-10,-66
2020-04-11,-61
