date,PH
2020-02-15,7
2020-02-16,3
2020-02-17,-1
2020-02-18,0
2020-02-19,-3
2020-02-20,-2
2020-02-21,-2
2020-02-22,1
2020-02-23,-3
2020-02-24,1
2020-02-25,0
2020-02-26,-3
2020-02-27,-2
2020-02-28,-1
2020-02-29,5
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,-1
2020-03-05,0
2020-03-06,-3
2020-03-07,0
2020-03-08,-4
2020-03-09,-3
2020-03-10,-4
2020-03-11,-8
2020-03-12,-8
2020-03-13,-12
2020-03-14,-18
2020-03-15,-40
2020-03-16,-34
2020-03-17,-57
2020-03-18,-66
2020-03-19,-69
2020-03-20,-73
2020-03-21,-75
2020-03-22,-79
2020-03-23,-75
2020-03-24,-76
2020-03-25,-76
2020-03-26,-76
2020-03-27,-77
2020-03-28,-78
2020-03-29,-81
2020-03-30,-79
2020-03-31,-79
2020-04-01,-79
2020-04-02,-80
2020-04-03,-80
2020-04-04,-80
2020-04-05,-82
2020-04-06,-78
2020-04-07,-77
2020-04-08,-76
2020-04-09,-85
2020-04-10,-90
2020-04-11,-82
