date,NI
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,-1
2020-02-19,-2
2020-02-20,2
2020-02-21,2
2020-02-22,-1
2020-02-23,-3
2020-02-24,0
2020-02-25,-3
2020-02-26,-2
2020-02-27,-3
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,4
2020-03-07,0
2020-03-08,-2
2020-03-09,-1
2020-03-10,1
2020-03-11,-1
2020-03-12,-1
2020-03-13,0
2020-03-14,0
2020-03-15,-1
2020-03-16,-2
2020-03-17,-3
2020-03-18,-4
2020-03-19,-9
2020-03-20,-14
2020-03-21,-26
2020-03-22,-33
2020-03-23,-24
2020-03-24,-27
2020-03-25,-27
2020-03-26,-28
2020-03-27,-30
2020-03-28,-34
2020-03-29,-38
2020-03-30,-29
2020-03-31,-28
2020-04-01,-26
2020-04-02,-25
2020-04-03,-23
2020-04-04,-28
2020-04-05,-35
2020-04-06,-30
2020-04-07,-31
2020-04-08,-27
2020-04-09,-50
2020-04-10,-63
2020-04-11,-53
