date,NA
2020-02-15,-8
2020-02-16,-9
2020-02-17,-17
2020-02-18,-11
2020-02-19,-15
2020-02-20,-7
2020-02-21,-3
2020-02-22,-7
2020-02-23,-12
2020-02-24,-12
2020-02-25,-4
2020-02-26,-7
2020-02-27,-4
2020-02-28,4
2020-02-29,-1
2020-03-01,4
2020-03-02,-7
2020-03-03,-2
2020-03-04,-3
2020-03-05,7
2020-03-06,5
2020-03-07,-2
2020-03-08,-10
2020-03-09,-3
2020-03-10,-3
2020-03-11,-6
2020-03-12,0
2020-03-13,-2
2020-03-14,-9
2020-03-15,-14
2020-03-16,-22
2020-03-17,-15
2020-03-18,-20
2020-03-19,-12
2020-03-20,-23
2020-03-21,-31
2020-03-22,-40
2020-03-23,-31
2020-03-24,-27
2020-03-25,-25
2020-03-26,-23
2020-03-27,-49
2020-03-28,-68
2020-03-29,-74
2020-03-30,-71
2020-03-31,-65
2020-04-01,-70
2020-04-02,-66
2020-04-03,-73
2020-04-04,-69
2020-04-05,-75
2020-04-06,-71
2020-04-07,-73
2020-04-08,-76
2020-04-09,-70
2020-04-10,-79
2020-04-11,-71
