date,BW
2020-02-15,0
2020-02-16,-5
2020-02-17,-10
2020-02-18,-7
2020-02-19,1
2020-02-20,7
2020-02-21,9
2020-02-22,10
2020-02-23,4
2020-02-24,-5
2020-02-25,1
2020-02-26,-1
2020-02-27,7
2020-02-28,13
2020-02-29,14
2020-03-01,11
2020-03-02,3
2020-03-03,8
2020-03-04,2
2020-03-05,3
2020-03-06,4
2020-03-07,8
2020-03-08,0
2020-03-09,-6
2020-03-10,-6
2020-03-11,-6
2020-03-12,-7
2020-03-13,-6
2020-03-14,-7
2020-03-15,-6
2020-03-16,-17
2020-03-17,-15
2020-03-18,-11
2020-03-19,-9
2020-03-20,2
2020-03-21,1
2020-03-22,-13
2020-03-23,-9
2020-03-24,-3
2020-03-25,3
2020-03-26,12
2020-03-27,11
2020-03-28,-2
2020-03-29,-12
2020-03-30,-5
2020-03-31,3
2020-04-01,0
2020-04-02,1
2020-04-03,-77
2020-04-04,-74
2020-04-05,-74
2020-04-06,-69
2020-04-07,-70
2020-04-08,-71
2020-04-09,-70
2020-04-10,-78
2020-04-11,-73
