date,DK,Capital Region of Denmark,Central Denmark Region,North Denmark Region,Region of Southern Denmark,Region Zealand
2020-02-15,-4,-4,-9,5,-5,2
2020-02-16,-33,-30,-38,-34,-42,-34
2020-02-17,0,-1,-5,-9,17,4
2020-02-18,9,15,-1,8,20,8
2020-02-19,12,5,11,31,16,3
2020-02-20,-3,6,-12,-13,-7,-12
2020-02-21,15,29,5,8,4,24
2020-02-22,-24,-26,-24,-19,-24,-25
2020-02-23,-9,-8,1,3,-29,-16
2020-02-24,12,15,12,12,17,15
2020-02-25,-4,2,-12,-5,0,-3
2020-02-26,1,0,-5,5,4,-2
2020-02-27,21,25,23,6,13,15
2020-02-28,23,23,24,40,21,19
2020-02-29,-17,-18,-20,-25,-7,-21
2020-03-01,-5,4,-10,-22,-16,-4
2020-03-02,28,32,27,17,32,35
2020-03-03,9,14,0,1,23,7
2020-03-04,16,10,19,22,22,13
2020-03-05,30,30,31,16,31,21
2020-03-06,11,14,16,10,10,6
2020-03-07,47,42,47,44,58,52
2020-03-08,-7,9,-22,-38,-19,0
2020-03-09,14,3,27,13,32,14
2020-03-10,-6,-4,-7,-5,0,-8
2020-03-11,25,26,29,10,30,19
2020-03-12,-16,-19,-15,-33,-15,-8
2020-03-13,2,-14,24,0,12,15
2020-03-14,86,75,103,64,78,134
2020-03-15,-8,-16,6,-28,-12,6
2020-03-16,50,34,89,46,54,64
2020-03-17,38,40,44,4,48,65
2020-03-18,11,-2,35,19,5,19
2020-03-19,104,100,132,41,92,131
2020-03-20,64,42,98,51,73,99
2020-03-21,85,54,110,79,87,159
2020-03-22,49,19,96,46,36,71
2020-03-23,54,40,75,35,70,94
2020-03-24,61,53,77,35,75,88
2020-03-25,67,50,92,51,69,90
2020-03-26,91,69,122,68,88,116
2020-03-27,96,77,127,76,96,152
2020-03-28,79,48,102,67,95,133
2020-03-29,35,13,71,32,23,54
2020-03-30,53,40,78,32,63,86
2020-03-31,70,71,67,20,94,114
2020-04-01,13,-2,28,17,15,27
2020-04-02,11,-3,28,-17,15,35
2020-04-03,32,14,52,17,40,73
2020-04-04,59,46,77,42,51,118
2020-04-05,118,89,166,94,101,158
2020-04-06,161,124,220,140,183,221
2020-04-07,167,142,210,133,186,223
2020-04-08,131,97,171,127,132,174
2020-04-09,188,126,252,158,194,267
2020-04-10,172,120,227,164,175,292
2020-04-11,50,38,28,8,63,157
