date,VE
2020-02-15,2
2020-02-16,1
2020-02-17,3
2020-02-18,1
2020-02-19,4
2020-02-20,7
2020-02-21,5
2020-02-22,10
2020-02-23,9
2020-02-24,-25
2020-02-25,-32
2020-02-26,-1
2020-02-27,2
2020-02-28,3
2020-02-29,7
2020-03-01,4
2020-03-02,5
2020-03-03,3
2020-03-04,6
2020-03-05,3
2020-03-06,4
2020-03-07,5
2020-03-08,2
2020-03-09,3
2020-03-10,-5
2020-03-11,8
2020-03-12,4
2020-03-13,3
2020-03-14,-2
2020-03-15,-16
2020-03-16,-39
2020-03-17,-54
2020-03-18,-60
2020-03-19,-63
2020-03-20,-64
2020-03-21,-62
2020-03-22,-64
2020-03-23,-65
2020-03-24,-67
2020-03-25,-65
2020-03-26,-64
2020-03-27,-64
2020-03-28,-60
2020-03-29,-62
2020-03-30,-64
2020-03-31,-64
2020-04-01,-64
2020-04-02,-64
2020-04-03,-66
2020-04-04,-63
2020-04-05,-65
2020-04-06,-64
2020-04-07,-64
2020-04-08,-61
2020-04-09,-67
2020-04-10,-73
2020-04-11,-65
