date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-02-15,3,4,1,6,7,3,4,-1,4,4,4,1,4,4,5
2020-02-16,2,3,2,5,2,3,4,3,3,2,5,0,2,3,5
2020-02-17,-2,0,3,2,2,-3,4,4,-1,-7,5,-20,1,2,4
2020-02-18,-2,1,2,2,2,-1,4,4,-1,-6,5,-20,1,2,3
2020-02-19,-2,0,3,2,2,-1,3,3,-1,-6,4,-20,2,1,3
2020-02-20,-3,0,2,1,2,-1,4,3,-1,-7,4,-21,1,1,2
2020-02-21,-3,0,3,2,2,-1,4,3,-1,-7,3,-21,0,0,2
2020-02-22,5,3,4,5,7,5,7,9,3,5,6,1,5,7,8
2020-02-23,1,2,-1,3,0,2,5,3,0,0,1,3,0,3,5
2020-02-24,0,-1,3,-15,2,-2,-1,3,3,-6,1,4,-4,3,3
2020-02-25,0,-1,3,-16,4,0,-1,2,3,-5,1,4,-4,4,3
2020-02-26,-1,-1,3,-16,2,0,0,3,2,-5,1,4,-4,3,3
2020-02-27,-1,-1,3,-17,2,-1,-2,2,3,-6,0,4,-4,3,2
2020-02-28,-1,-1,2,-17,2,-1,-2,3,2,-6,-1,4,-4,2,2
2020-02-29,5,4,4,4,7,5,6,6,4,5,3,6,4,7,3
2020-03-01,4,4,0,7,3,5,8,6,5,2,6,5,5,5,3
2020-03-02,0,-4,-6,4,4,1,4,4,-10,2,6,3,0,4,-18
2020-03-03,-1,-5,-6,2,3,0,4,3,-12,1,4,3,-1,3,-19
2020-03-04,-1,-5,-5,3,2,0,4,3,-12,2,3,3,0,2,-20
2020-03-05,-1,-4,-6,3,3,0,4,3,-11,1,4,3,0,3,-21
2020-03-06,-1,-5,-6,3,2,1,3,2,-13,2,3,2,-2,2,-22
2020-03-07,4,3,1,5,2,5,6,4,0,5,5,5,5,4,0
2020-03-08,5,6,4,6,4,5,7,7,2,3,6,7,4,2,8
2020-03-09,0,-3,-2,3,-17,1,4,3,2,0,2,2,1,-18,3
2020-03-10,-1,-3,-2,3,-16,1,4,3,1,0,2,3,2,-19,3
2020-03-11,-14,-17,-15,-10,-20,-13,-12,-12,-12,-15,-12,-12,-11,-22,-13
2020-03-12,-15,-18,-16,-11,-21,-13,-13,-13,-13,-17,-13,-14,-12,-24,-14
2020-03-13,-18,-20,-17,-12,-23,-15,-15,-15,-15,-23,-16,-17,-15,-24,-15
2020-03-14,-6,-4,-6,-4,-6,-7,-4,-3,-5,-10,-7,-7,-1,-6,-6
2020-03-15,-12,-10,-12,-11,-13,-12,-10,-8,-9,-20,-10,-15,-6,-12,-10
2020-03-16,-30,-32,-26,-23,-25,-27,-29,-25,-24,-42,-25,-31,-24,-25,-26
2020-03-17,-39,-41,-33,-32,-32,-37,-39,-33,-32,-54,-35,-41,-32,-33,-33
2020-03-18,-41,-43,-35,-34,-36,-39,-41,-35,-35,-55,-37,-44,-33,-35,-36
2020-03-19,-44,-47,-39,-36,-38,-41,-43,-38,-37,-58,-38,-46,-36,-37,-39
2020-03-20,-44,-47,-39,-38,-39,-41,-42,-38,-38,-56,-39,-46,-37,-38,-39
2020-03-21,-32,-31,-32,-35,-31,-30,-34,-27,-33,-38,-35,-34,-24,-30,-31
2020-03-22,-32,-30,-33,-32,-35,-30,-30,-29,-31,-39,-32,-34,-24,-29,-30
2020-03-23,-44,-47,-40,-37,-41,-43,-42,-38,-39,-56,-38,-45,-36,-37,-37
2020-03-24,-45,-48,-41,-38,-42,-44,-43,-39,-39,-58,-40,-46,-38,-39,-38
2020-03-25,-45,-48,-40,-38,-42,-43,-42,-38,-39,-58,-39,-45,-37,-39,-38
2020-03-26,-46,-48,-41,-42,-43,-44,-42,-40,-42,-58,-41,-46,-39,-40,-39
2020-03-27,-45,-48,-40,-41,-43,-43,-42,-39,-42,-56,-40,-45,-39,-39,-39
2020-03-28,-27,-25,-27,-29,-29,-25,-26,-23,-26,-32,-25,-28,-21,-23,-27
2020-03-29,-31,-29,-32,-36,-36,-27,-27,-28,-30,-38,-29,-28,-26,-28,-29
2020-03-30,-44,-46,-39,-38,-42,-44,-40,-38,-40,-56,-39,-44,-38,-37,-37
2020-03-31,-45,-48,-41,-40,-43,-44,-41,-40,-42,-57,-40,-45,-39,-39,-39
2020-04-01,-44,-47,-39,-39,-43,-43,-39,-40,-40,-56,-40,-43,-38,-37,-38
2020-04-02,-45,-47,-41,-40,-43,-44,-39,-40,-42,-57,-40,-45,-39,-39,-39
2020-04-03,-44,-47,-40,-41,-44,-43,-40,-40,-42,-56,-40,-44,-39,-39,-39
2020-04-04,-27,-25,-26,-28,-31,-24,-26,-23,-28,-33,-26,-27,-21,-26,-27
2020-04-05,-27,-25,-26,-27,-32,-23,-24,-24,-27,-34,-27,-26,-20,-26,-27
2020-04-06,-43,-46,-40,-38,-42,-41,-39,-40,-40,-55,-39,-43,-37,-37,-38
2020-04-07,-44,-47,-40,-39,-43,-42,-39,-40,-41,-55,-40,-45,-38,-38,-40
2020-04-08,-44,-46,-40,-39,-42,-41,-39,-39,-40,-55,-40,-44,-37,-37,-40
2020-04-09,-46,-48,-43,-42,-45,-44,-42,-42,-44,-56,-42,-47,-40,-42,-44
2020-04-10,-78,-78,-77,-73,-77,-78,-78,-77,-78,-79,-77,-80,-74,-79,-81
2020-04-11,-27,-27,-26,-29,-28,-24,-26,-23,-29,-31,-23,-28,-22,-23,-31
