date,SV
2020-02-15,5
2020-02-16,6
2020-02-17,4
2020-02-18,0
2020-02-19,0
2020-02-20,-1
2020-02-21,2
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,-1
2020-02-26,-3
2020-02-27,-1
2020-02-28,5
2020-02-29,6
2020-03-01,8
2020-03-02,7
2020-03-03,3
2020-03-04,2
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,0
2020-03-11,14
2020-03-12,7
2020-03-13,12
2020-03-14,8
2020-03-15,3
2020-03-16,10
2020-03-17,5
2020-03-18,-3
2020-03-19,4
2020-03-20,-14
2020-03-21,-20
2020-03-22,-59
2020-03-23,-49
2020-03-24,-54
2020-03-25,-52
2020-03-26,-51
2020-03-27,-47
2020-03-28,-56
2020-03-29,-62
2020-03-30,-45
2020-03-31,-43
2020-04-01,-43
2020-04-02,-45
2020-04-03,-46
2020-04-04,-52
2020-04-05,-58
2020-04-06,-44
2020-04-07,-52
2020-04-08,-50
2020-04-09,-55
2020-04-10,-71
2020-04-11,-66
