date,NO,Agder,Innlandet,Møre og Romsdal,Nordland,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-15,1,-3,10,3,1,-3,0,5,0,1,2,0
2020-02-16,3,-8,32,9,10,-8,0,10,10,-4,4,-1
2020-02-17,0,-2,14,2,5,-7,0,6,0,1,-2,-1
2020-02-18,-1,-4,10,-3,4,-7,1,5,-1,-1,-1,-2
2020-02-19,4,4,20,3,5,-5,2,10,4,2,5,1
2020-02-20,-2,-4,14,0,6,-10,-2,5,2,-5,-4,-5
2020-02-21,-1,-4,9,-5,4,-4,1,4,1,0,0,-4
2020-02-22,-1,-1,5,-3,4,-5,-2,5,-1,0,0,-3
2020-02-23,9,8,32,6,2,5,-2,11,5,9,11,14
2020-02-24,1,5,4,2,2,-1,-6,3,3,4,0,0
2020-02-25,1,-5,4,6,8,0,-1,5,7,0,0,1
2020-02-26,2,6,2,5,4,0,-3,5,3,1,2,0
2020-02-27,3,5,2,7,8,2,-1,5,4,5,-4,2
2020-02-28,3,8,1,2,3,6,-4,5,4,7,-1,3
2020-02-29,-1,-5,0,5,2,-2,-6,0,3,-1,-4,-1
2020-03-01,2,-5,4,14,18,-4,0,12,10,-5,5,-1
2020-03-02,2,3,3,6,5,0,2,2,3,3,3,2
2020-03-03,1,-5,1,6,5,-1,3,4,3,2,0,2
2020-03-04,1,5,-2,6,4,-3,4,5,1,-1,2,-2
2020-03-05,4,3,5,6,4,3,5,5,4,4,2,4
2020-03-06,3,5,5,4,-4,4,5,-1,4,5,2,4
2020-03-07,0,1,3,4,-2,-1,-1,0,2,2,0,0
2020-03-08,-2,-11,2,14,11,-9,-1,12,7,-8,-5,-5
2020-03-09,2,3,4,5,3,0,3,3,1,3,4,1
2020-03-10,2,0,4,5,8,1,4,3,5,1,0,3
2020-03-11,9,8,8,9,7,13,10,10,11,7,7,9
2020-03-12,51,49,46,57,50,57,54,42,54,50,46,56
2020-03-13,5,5,2,1,3,12,8,-5,-2,7,5,8
2020-03-14,-9,-11,-13,-8,-8,-9,-11,-13,-11,-6,-12,-6
2020-03-15,-39,-42,-43,-38,-14,-41,-41,-40,-34,-43,-37,-38
2020-03-16,-9,-7,-11,-4,-7,-11,-8,-17,-10,-7,-10,-6
2020-03-17,-15,-17,-19,-16,-13,-13,-14,-17,-16,-11,-21,-10
2020-03-18,-15,-14,-21,-17,-14,-15,-15,-17,-18,-14,-20,-12
2020-03-19,-11,-12,-16,-11,-5,-12,-12,-15,-13,-7,-18,-8
2020-03-20,-12,-14,-21,-15,-17,-5,-11,-18,-16,-9,-14,-8
2020-03-21,-10,-12,-19,-9,-9,-9,-10,-17,-11,-7,-12,-4
2020-03-22,-32,-24,-40,-29,-37,-30,-34,-47,-33,-29,-42,-25
2020-03-23,-14,-12,-17,-12,-10,-17,-14,-16,-15,-11,-17,-10
2020-03-24,-14,-13,-16,-13,-14,-17,-12,-15,-14,-12,-20,-9
2020-03-25,-13,-12,-15,-11,-10,-14,-12,-14,-13,-11,-22,-7
2020-03-26,-10,-10,-16,-7,-8,-12,-11,-13,-10,-9,-16,-7
2020-03-27,-9,-9,-20,-11,-9,-4,-9,-12,-11,-9,-12,-5
2020-03-28,-8,-10,-15,-10,-11,-6,-7,-21,-13,-5,-9,-1
2020-03-29,-32,-21,-37,-38,-18,-26,-38,-46,-41,-23,-47,-21
2020-03-30,-11,-10,-14,-11,-9,-14,-10,-15,-14,-7,-11,-8
2020-03-31,-7,-5,-8,-8,-6,-7,-4,-15,-11,-1,-12,0
2020-04-01,-6,-5,-8,-6,2,-10,-9,-2,-10,-3,-13,0
2020-04-02,-4,-6,-7,-6,5,-7,-7,-3,-3,0,-13,2
2020-04-03,-3,-4,-13,-6,-2,2,-4,-7,-9,1,-8,3
2020-04-04,-3,-7,-8,-5,-3,-1,-3,-10,-7,-1,-6,4
2020-04-05,-22,-8,-31,-14,-13,-27,-21,-45,-28,-16,-23,-17
2020-04-06,9,10,9,14,14,1,7,4,7,15,6,16
2020-04-07,27,24,26,27,34,18,30,20,20,32,23,37
2020-04-08,40,44,39,43,39,32,40,32,35,46,32,53
2020-04-09,-80,-78,-82,-84,-83,-70,-84,-88,-82,-78,-83,-78
2020-04-10,-80,-80,-83,-82,-86,-69,-84,-90,-83,-78,-81,-78
2020-04-11,-2,-3,-5,1,-2,-8,-6,-14,-3,2,-9,8
