date,total,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
2020-02-29,6.329779707253813,3.5101019131056677,7.297750640594964,7.791581311192051,21.862574093063532,12.635051862792583,6.436588058436396,NA,12.63924194680677,2.586321748646339
2020-03-01,5.589841114199056,3.628344955003278,6.143670033026972,3.2555246793285515,16.822457279631482,28.31329634442841,4.330991875532173,NA,11.282324166471659,-0.4065455591517657
2020-03-02,-2.3963370775073964,1.1652661064425769,-3.7736150559339565,-2.2339767171939293,0.5814412314753138,4.0531144050524865,-1.5564352303306592,NA,-7.725103139214698,0.5401385443103838
2020-03-03,-2.362483677825153,0.054353656356159484,-1.842529682874642,2.148607920358266,NA,2.416906838791355,0.4619469094946907,NA,-7.824155252166162,2.4757951781913676
2020-03-04,-0.46105106233912907,-0.026700041718815185,4.39255267550425,-1.6402319392020692,-2.4226717978138077,1.8577573598170058,-0.34214739977096387,NA,-8.681004112746306,-1.0908491953599386
2020-03-05,-0.9769123908304623,-0.3480541152631265,-3.772662844211541,1.7505399351133193,-1.2041398440619122,NA,2.049050814314624,NA,-7.2827344794314595,1.8741461946712603
2020-03-06,-2.7638882740574715,2.5746468800286073,3.7878982317701944,-1.288205552250514,1.1043545502113634,6.14488972862548,-3.019906041115706,NA,-7.6366294072580505,1.6194545323184995
2020-03-07,2.8517459065661517,-5.581262292150902,0.1123609832450686,6.187798970638917,7.8081992438054515,-8.22707415204454,7.586663351784174,NA,6.228743063947915,-6.649855138938692
2020-03-08,3.3079607689506747,-4.333988914714822,6.327446895453227,-4.006578251489499,16.822457279631482,32.35777893934235,5.977516337175074,NA,1.5944505172187189,-2.0346499969841325
2020-03-09,-2.795323573762412,-1.3321413671851718,-2.504316829953648,-4.61567022891249,NA,2.836988265533662,-3.324675993852867,NA,-5.051657760524687,-3.7780865083347304
2020-03-10,-5.6478755136543315,-3.7332379760414804,-6.77974746360075,-0.9208319658678282,-8.924067481768802,NA,-4.39903799705525,NA,-6.954804668592145,2.750669953409819
2020-03-11,-2.790487373807806,-4.6477144049109,-2.8204511217957053,-3.131787883915062,NA,2.6835338630707186,-4.958741306484502,NA,-2.8628945655971814,0.27295257399314765
2020-03-12,-5.696237513200394,-7.6610048274629,-8.363275557978284,-6.418006962105874,1.2041398440619122,1.9709299816334265,-5.737917317727621,NA,-5.53826328628625,-2.9448122771655085
2020-03-13,-17.383720736832164,-17.23583050241373,-13.5594949272015,-12.454252338362378,-11.596202514208981,-7.33416134771329,-15.614188899351664,NA,-22.862766342797244,-7.28610374451427
2020-03-14,-19.321424851977735,-26.193694499076226,-16.56467512314588,-12.145389949810879,-4.685111441079138,-2.0572480830188318,-16.589836106541693,NA,-20.897110819760414,-13.299710277877384
