date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-15,1,-3,0,-7,1,-2,-1,1,7,-2,2,10,0,5,-3,0,3,-12,-11,6,-5,10,-2,-4,2,-6,4,2,-16,3,-12,5,2,-10,-3
2020-02-16,-4,4,-5,-10,-2,-4,1,-6,5,-2,12,7,-37,-3,2,1,5,5,8,0,-2,7,-9,-2,3,-2,7,1,-19,0,-8,2,-5,-3,0
2020-02-17,-1,10,-4,-7,-1,2,0,-10,1,-5,1,10,0,2,3,0,-7,-1,-10,6,-2,0,-9,-3,5,-3,-6,-3,-19,3,-10,0,-1,-4,-3
2020-02-18,1,0,-9,-2,0,2,0,-1,7,-2,1,13,-50,3,-4,-1,5,7,-3,1,-4,7,-3,-11,2,3,-4,4,-17,1,-4,2,-6,10,2
2020-02-19,0,4,-14,-2,-1,1,0,-6,3,-3,4,8,0,3,2,2,-6,0,-10,1,0,-5,-1,-8,3,-5,-6,2,-16,3,-7,0,-8,10,-1
2020-02-20,4,0,-6,-6,4,2,5,-2,1,1,4,9,-37,5,2,4,-8,1,-13,7,-1,1,0,-4,-3,-1,-2,5,-17,6,-5,-2,-2,19,5
2020-02-21,2,2,-10,-2,4,12,8,-3,12,-2,3,12,-6,5,10,-12,-7,2,-10,11,-2,-2,0,-2,4,5,1,3,-16,2,-9,6,-7,42,-1
2020-02-22,1,-2,-6,-8,1,-3,1,-2,-4,-1,-3,6,-26,5,3,-17,4,-2,-12,5,-2,1,-2,-6,1,-3,1,0,-15,-1,-15,-2,-1,36,-4
2020-02-23,-4,4,-6,-10,0,-2,1,-6,4,0,-2,11,6,-1,10,-22,6,-2,-4,2,-3,1,-8,-6,12,4,2,0,-16,-6,-7,-2,7,34,-4
2020-02-24,-1,2,-1,1,-1,2,1,-7,9,-2,-1,14,0,0,0,-21,0,-1,-2,7,0,-3,-6,-2,4,3,-1,0,-19,-1,-11,3,-3,45,-3
2020-02-25,-6,-4,-4,-4,-4,-6,-3,-4,4,-6,3,8,-10,-12,2,-21,-5,11,-14,-2,0,3,-1,-10,-3,0,3,-2,-19,-6,-10,0,4,55,0
2020-02-26,0,-2,-5,14,1,-3,-2,-5,10,-4,9,10,0,4,1,-20,0,-2,-11,2,1,-1,-3,-4,2,0,4,1,-18,2,-12,2,3,33,-8
2020-02-27,2,-1,-8,7,1,-8,0,-3,5,-4,12,9,-20,4,2,-5,-5,-4,-14,3,-3,5,-7,-6,0,8,0,6,-19,5,-8,2,4,46,0
2020-02-28,3,0,-12,6,5,0,5,-1,1,0,10,12,-21,8,11,0,-1,-4,-13,14,-2,3,-2,-4,3,23,3,5,-12,3,-10,4,-1,23,-3
2020-02-29,4,-4,-17,4,5,-4,1,2,-3,1,1,7,0,9,1,-4,4,0,-18,4,-1,1,-4,-6,2,6,4,4,-13,8,-10,4,2,22,-7
2020-03-01,0,-2,-17,-5,4,-7,1,-6,-5,0,4,8,-24,6,1,-4,-8,5,-9,3,0,2,-10,-3,2,-9,-1,2,-16,7,-9,-2,-8,4,-7
2020-03-02,3,5,-12,-6,1,-1,2,10,-5,-1,3,9,0,5,0,-6,4,2,-16,6,-1,-2,-9,-6,2,29,-3,3,-17,8,-11,5,0,14,-5
2020-03-03,2,5,-6,-5,0,3,0,1,-4,-4,12,14,-27,3,6,-4,6,2,-20,3,-1,5,-4,-9,-5,22,-2,5,-19,3,-11,10,-3,3,0
2020-03-04,-1,9,-10,3,-3,6,-3,5,0,-2,5,11,-41,1,8,-5,-4,-4,-17,6,0,4,-4,-6,-4,8,-4,6,-21,4,-8,2,-11,12,-4
2020-03-05,3,8,-7,-7,0,4,2,0,3,-1,1,11,-17,4,2,-3,-8,1,-13,13,-2,0,-6,-5,-9,0,-5,4,-19,9,-9,1,-1,22,-3
2020-03-06,3,4,-13,0,2,9,7,5,-3,2,1,22,-38,5,13,-2,-5,1,-16,6,0,4,1,-5,-2,6,-2,5,-17,4,-9,5,-7,23,1
2020-03-07,3,5,-14,-4,2,9,-1,5,0,-2,-2,13,0,6,32,-2,3,-5,-15,9,0,-1,-3,-10,-6,1,0,4,-18,6,-12,-1,-6,7,-3
2020-03-08,-1,3,-14,-4,-1,5,0,2,3,1,1,6,-15,3,8,-7,4,5,-14,5,-2,0,-8,-4,-2,5,0,-2,-21,2,-9,-3,-1,13,-4
