date,CV
2020-02-15,-3
2020-02-16,-12
2020-02-17,-7
2020-02-18,-6
2020-02-19,2
2020-02-20,-3
2020-02-21,1
2020-02-22,-1
2020-02-23,-2
2020-02-24,3
2020-02-25,1
2020-02-26,-10
2020-02-27,-3
2020-02-28,-4
2020-02-29,-7
2020-03-01,-4
2020-03-02,-6
2020-03-03,-9
2020-03-04,0
2020-03-05,-8
2020-03-06,-9
2020-03-07,-7
2020-03-08,-11
2020-03-09,-7
2020-03-10,-10
2020-03-11,-5
2020-03-12,-8
2020-03-13,-10
2020-03-14,-11
2020-03-15,-16
2020-03-16,-18
2020-03-17,-24
2020-03-18,-19
2020-03-19,-24
2020-03-20,-33
2020-03-21,-43
2020-03-22,-46
2020-03-23,-40
2020-03-24,-43
2020-03-25,-42
2020-03-26,-44
2020-03-27,-51
2020-03-28,-51
2020-03-29,-57
2020-03-30,-47
2020-03-31,-47
2020-04-01,-44
2020-04-02,-48
2020-04-03,-50
2020-04-04,-51
2020-04-05,-55
2020-04-06,-49
2020-04-07,-52
2020-04-08,-50
2020-04-09,-51
2020-04-10,-57
2020-04-11,-55
