date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-15,0,0,-1,-1,0,1,-1,0,0,0,0,0,1,0,0,-1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,1,-1,-1,1,0,0,0
2020-02-16,2,3,2,2,3,3,2,2,2,3,1,2,2,3,3,2,2,2,3,3,2,3,3,3,3,2,2,2,3,2,2,2,2,3,2,2,3,2,3,2,2,3,2,2,4,1,2,2
2020-02-17,1,1,1,1,1,2,1,2,1,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,3,1,1,2,1,1,1,2,1,0,2,0,1,1,0,1,0,1,1,2,1
2020-02-18,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1
2020-02-19,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,-1,0,0,0,1,0,0,1,0,0,0
2020-02-20,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2020-02-21,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,2,0,0,0,1,0,1
2020-02-22,2,3,1,0,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,0,2,1,1,2,1,3,1,1,2,1,2,1,1,2,1,2,4,0,1,1
2020-02-23,0,1,1,1,0,-1,0,-1,1,0,0,-2,3,-1,0,1,1,-1,-2,0,-1,-1,-1,0,1,-2,0,-2,0,1,-1,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,2,1,0,-1,0
2020-02-24,14,11,14,14,17,11,14,13,15,12,13,13,13,14,14,14,14,13,10,17,11,12,13,11,16,10,13,10,14,15,11,13,10,15,12,17,13,13,12,13,11,19,14,15,12,15,12,13
2020-02-25,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1
2020-02-26,1,1,0,0,2,0,0,1,0,1,1,0,2,1,1,1,-1,1,0,2,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,2,1,0,1,1,1,2,1,1,1,0,0,1
2020-02-27,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,0,2,1,1,1,2,1,1,2,0,1,1,1,1,2,2,1,2,1,0,1,1,1,3,1,1,1,1,1,1
2020-02-28,2,2,1,1,2,1,2,2,1,2,2,2,4,2,2,3,2,1,1,3,1,3,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,4,1,2,1,1,2,2
2020-02-29,4,5,1,1,4,4,2,5,2,4,3,4,7,4,3,3,2,4,4,5,5,6,4,4,3,4,3,4,4,2,5,4,2,5,5,3,4,2,4,3,5,5,2,2,5,2,4,3
2020-03-01,4,4,3,3,4,3,3,3,3,4,3,3,8,3,3,4,3,3,5,4,4,5,3,3,3,5,4,4,2,4,4,3,4,3,4,3,3,2,4,3,4,4,2,3,3,3,3,3
2020-03-02,4,3,3,3,5,2,2,3,3,3,3,2,5,2,4,3,3,2,2,6,2,3,2,3,4,2,3,2,3,2,3,2,2,3,2,5,3,2,3,4,3,6,2,2,3,3,2,4
2020-03-03,4,3,3,3,4,2,2,3,2,3,3,2,6,3,3,3,3,2,2,5,3,3,3,2,3,2,3,2,3,3,3,2,3,3,2,4,3,2,3,2,3,5,2,3,2,3,2,3
2020-03-04,5,5,3,2,7,4,3,4,4,5,4,4,6,5,5,4,2,5,3,7,6,4,5,4,4,3,4,3,5,4,4,4,4,6,3,5,5,2,4,4,5,7,3,3,5,3,3,4
2020-03-05,4,4,4,4,6,3,4,3,4,4,4,3,8,4,4,4,4,3,3,6,4,3,4,4,4,3,4,3,4,5,4,3,5,4,3,5,4,2,3,4,4,7,3,4,3,4,3,3
2020-03-06,5,5,4,4,5,4,4,4,4,5,4,3,7,4,4,4,4,4,3,6,5,4,4,4,5,4,4,3,4,5,5,3,3,4,4,5,4,3,4,4,4,7,3,4,3,4,4,4
2020-03-07,5,5,3,3,6,6,3,6,3,5,4,5,7,5,5,4,3,4,5,6,7,7,5,4,4,7,5,6,4,4,6,5,5,5,6,5,4,3,4,5,4,6,3,3,4,4,5,4
2020-03-08,6,8,3,3,7,5,5,4,5,7,6,4,6,6,6,5,4,5,3,7,6,4,6,7,5,4,6,3,6,4,4,5,4,6,4,6,6,3,8,6,6,7,4,4,6,3,4,7
2020-03-09,4,3,3,3,5,3,2,4,3,3,4,3,5,3,3,3,3,3,3,5,4,4,3,3,4,3,3,3,3,3,4,3,2,3,4,4,3,2,3,3,3,5,2,2,3,3,4,4
2020-03-10,6,6,4,3,7,4,4,5,4,5,5,4,6,5,5,4,5,4,4,8,5,5,5,5,5,4,4,4,5,4,4,4,4,6,4,6,5,3,6,5,5,8,4,4,5,3,5,6
2020-03-11,3,4,3,3,4,3,3,3,2,3,4,3,6,4,3,4,3,3,2,5,4,3,4,3,3,3,3,2,3,4,3,3,3,4,3,4,4,2,3,3,3,5,3,3,3,3,3,4
2020-03-12,3,3,3,3,5,2,2,2,2,3,3,3,5,3,3,3,3,3,2,5,4,3,3,3,3,2,3,2,3,3,3,2,3,3,2,4,2,1,3,3,3,6,2,2,2,3,3,3
2020-03-13,5,4,5,4,5,3,3,4,3,4,4,4,6,4,4,4,4,3,4,6,4,4,4,3,4,4,4,3,3,4,4,3,4,4,3,5,4,2,4,4,3,7,3,4,3,4,4,4
2020-03-14,7,7,3,3,8,6,4,4,5,6,7,4,6,7,7,4,4,5,4,9,6,5,6,6,4,4,7,3,6,6,5,4,4,7,5,8,5,4,7,7,5,9,5,5,6,4,4,8
2020-03-15,3,4,3,3,4,4,4,3,3,4,4,3,5,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,4,3,2,4,4
2020-03-16,4,4,3,4,5,3,3,3,3,4,4,3,4,4,3,4,3,3,2,5,4,3,4,4,3,3,4,3,4,4,3,3,1,4,4,4,4,2,3,3,3,5,4,3,3,4,3,4
2020-03-17,4,3,3,2,4,3,3,3,2,3,3,3,5,3,3,4,3,3,2,5,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,4,3,1,3,3,3,5,2,3,2,3,3,3
2020-03-18,3,3,2,1,4,2,2,2,2,3,3,2,4,3,3,2,1,3,2,4,3,2,2,2,2,3,3,2,2,3,2,2,3,3,3,3,3,1,3,2,3,5,1,2,2,3,2,3
2020-03-19,2,3,1,0,3,1,1,1,0,2,2,1,3,2,2,1,1,2,1,4,2,2,1,2,1,1,1,0,1,1,1,1,3,2,1,2,1,0,2,2,1,4,0,1,2,0,1,1
2020-03-20,17,15,18,17,19,13,19,14,18,16,16,14,17,17,18,18,17,16,11,19,13,13,15,14,19,13,16,12,14,20,13,14,12,17,14,19,16,15,14,16,13,22,15,19,12,18,14,16
2020-03-21,3,4,3,3,3,3,3,2,3,3,3,3,5,4,4,2,3,3,2,4,3,3,3,3,2,3,3,2,3,4,3,2,3,4,4,3,3,2,3,3,3,4,1,2,3,3,3,3
2020-03-22,3,3,3,2,3,3,4,3,2,3,3,2,3,4,3,4,3,3,4,3,3,3,3,3,2,5,3,3,3,5,4,2,2,3,4,2,3,2,2,2,3,2,2,4,3,2,3,2
2020-03-23,3,3,2,2,4,2,2,2,3,3,3,2,4,3,3,2,2,2,2,5,3,2,3,3,3,2,2,2,3,3,3,2,1,3,3,4,3,1,3,3,2,5,2,2,2,2,3,3
2020-03-24,4,4,3,3,5,2,3,2,3,3,4,2,4,3,3,3,2,3,2,5,3,3,3,3,3,2,3,2,3,4,3,2,2,3,2,4,3,1,3,3,3,6,2,3,2,3,2,3
