date,IE,County Carlow,County Cavan,County Clare,County Cork,County Donegal,County Dublin,County Galway,County Kerry,County Kildare,County Kilkenny,County Laois,County Leitrim,County Limerick,County Longford,County Louth,County Mayo,County Meath,County Monaghan,County Offaly,County Roscommon,County Sligo,County Tipperary,County Waterford,County Westmeath,County Wexford,County Wicklow
2020-02-15,-11,-6,-1,-5,-17,-1,-10,-10,-10,-10,-7,-13,-1,-6,-10,-5,-4,-4,-5,-7,-5,-8,-8,-14,-7,-15,-15
2020-02-16,-6,-3,2,-9,-9,-1,-4,-11,-8,-5,-5,1,-2,-11,-13,-4,-6,-2,-4,-10,-1,-3,-2,-3,-7,7,-8
2020-02-17,8,6,7,6,9,14,5,7,11,9,13,10,2,4,0,10,14,5,1,1,6,17,2,11,12,5,6
2020-02-18,6,5,5,6,6,10,4,4,13,7,9,5,5,4,-7,6,9,3,0,2,14,17,2,6,5,9,5
2020-02-19,2,5,0,-1,2,9,2,-4,9,4,7,5,0,3,-5,0,5,1,-1,1,13,12,1,-1,3,2,0
2020-02-20,8,9,9,9,10,10,6,12,21,9,8,7,8,8,2,10,13,6,8,5,16,13,6,14,12,13,8
2020-02-21,1,1,2,-1,0,2,3,-5,8,2,6,1,3,1,-3,2,4,0,0,-1,11,6,-1,1,-3,1,0
2020-02-22,-2,1,2,-1,-3,-4,-1,-1,7,-1,4,-2,2,-1,-2,1,2,0,-1,-3,6,-4,1,2,1,-3,-3
2020-02-23,-3,-5,10,2,-3,4,-5,-1,10,1,17,-1,12,-11,-1,-2,0,1,39,-2,9,-3,5,-3,1,-1,-5
2020-02-24,1,0,4,0,-1,-5,-2,2,-3,4,2,1,-9,-1,1,4,2,3,0,1,0,-3,0,2,-1,-1,-2
2020-02-25,-2,-2,0,-1,-7,-4,-1,-3,-5,0,-3,-1,-9,-6,-5,-3,-4,2,-7,-6,-2,-6,-8,-4,-8,-4,-5
2020-02-26,-1,-2,1,-2,-3,-3,0,-1,0,-1,1,-3,-4,-3,-6,-3,-5,1,0,-2,-2,-3,-5,-3,1,-3,-3
2020-02-27,4,5,8,4,4,-1,4,4,6,5,3,7,-1,2,0,2,4,6,3,3,5,2,3,5,1,4,1
2020-02-28,3,-2,7,2,-3,0,5,2,3,4,3,5,3,1,3,3,5,4,0,2,8,1,0,-3,1,0,-4
2020-02-29,-12,-7,-9,-37,-8,-8,-7,-44,-14,-6,-4,-16,-7,-11,-16,-6,-12,-5,-3,-10,-14,-16,-12,-4,-16,-3,-7
2020-03-01,3,-1,17,10,4,6,0,8,8,4,13,11,-6,4,0,1,25,8,7,10,34,-3,14,4,3,9,-3
2020-03-02,4,3,5,1,1,2,2,1,13,5,4,4,-3,4,2,4,6,7,5,5,4,-4,0,5,4,3,0
2020-03-03,8,13,11,9,4,8,6,9,18,11,9,10,6,9,0,10,9,9,6,9,8,6,4,6,10,8,6
2020-03-04,5,8,6,7,2,9,4,9,6,7,4,6,7,4,4,6,7,8,9,5,8,6,4,0,9,3,3
2020-03-05,4,7,12,3,3,8,4,4,3,8,4,7,3,5,7,6,4,10,5,4,3,2,6,8,3,7,7
2020-03-06,3,10,12,1,0,3,3,3,6,3,4,7,9,2,5,4,6,9,6,3,5,1,3,3,2,5,2
2020-03-07,-3,0,9,-5,-8,4,-3,1,1,4,4,-5,6,3,-1,5,0,5,2,1,0,-6,-1,-1,1,-2,1
2020-03-08,0,0,9,-1,-3,6,-1,5,3,5,8,4,17,-5,-2,4,8,8,8,6,10,-5,2,6,4,8,0
2020-03-09,-3,0,1,-8,-5,4,-4,-8,-5,-1,-1,2,-12,-10,1,-2,0,1,-2,-3,0,-6,-5,-2,-2,-4,-8
2020-03-10,3,3,8,1,-2,5,1,5,4,7,6,8,1,-3,-2,3,2,7,0,4,4,0,-2,2,2,6,-1
2020-03-11,-3,2,4,-3,-5,3,-5,-1,2,-1,4,1,-6,-5,1,1,-4,1,0,1,-1,-2,0,-4,-1,2,-3
2020-03-12,-3,4,6,1,-4,3,-7,1,5,0,-2,8,-12,-3,5,1,-5,5,1,5,3,-12,3,-2,-1,0,-2
2020-03-13,-19,-19,-9,-15,-24,-9,-22,-16,-12,-17,-18,-13,-16,-19,-13,-13,-14,-12,-15,-14,-8,-15,-13,-24,-18,-15,-17
2020-03-14,-32,-25,-20,-25,-34,-15,-36,-31,-22,-30,-30,-28,-24,-31,-24,-26,-24,-26,-24,-25,-25,-30,-24,-30,-31,-26,-27
2020-03-15,-36,-34,-30,-25,-34,-19,-40,-32,-21,-38,-36,-28,-34,-38,-34,-33,-29,-33,-37,-33,-29,-32,-32,-33,-36,-23,-32
2020-03-16,-26,-19,-16,-15,-22,-18,-34,-26,-15,-22,-22,-16,-42,-25,-17,-17,-24,-18,-17,-17,-21,-31,-18,-24,-22,-20,-25
2020-03-17,-59,-58,-63,-61,-59,-60,-59,-65,-55,-57,-60,-57,-77,-62,-61,-57,-71,-54,-68,-62,-74,-70,-64,-62,-60,-58,-48
2020-03-18,-46,-37,-40,-42,-43,-43,-51,-48,-41,-44,-42,-39,-54,-44,-38,-40,-43,-40,-42,-40,-41,-48,-38,-48,-41,-43,-48
2020-03-19,-48,-40,-39,-41,-45,-44,-53,-49,-42,-44,-47,-36,-54,-47,-39,-39,-51,-40,-44,-40,-44,-52,-42,-46,-47,-44,-47
2020-03-20,-53,-45,-44,-51,-51,-49,-57,-56,-50,-50,-54,-45,-65,-52,-46,-45,-55,-46,-45,-46,-50,-57,-46,-53,-50,-51,-56
2020-03-21,-59,-48,-45,-59,-57,-55,-62,-65,-58,-53,-60,-49,-62,-59,-47,-49,-63,-49,-50,-49,-56,-64,-52,-58,-56,-55,-57
2020-03-22,-59,-55,-45,-56,-56,-50,-63,-61,-53,-58,-59,-48,-62,-62,-56,-53,-60,-51,-52,-51,-59,-59,-52,-55,-59,-50,-57
2020-03-23,-49,-42,-38,-45,-46,-51,-56,-51,-45,-44,-46,-38,-59,-51,-41,-40,-48,-39,-38,-39,-44,-56,-41,-47,-47,-46,-49
2020-03-24,-51,-39,-43,-46,-49,-49,-57,-54,-46,-45,-48,-36,-54,-52,-44,-40,-49,-37,-43,-39,-40,-55,-41,-52,-47,-45,-52
2020-03-25,-60,-49,-51,-54,-58,-59,-66,-60,-56,-58,-56,-45,-69,-60,-55,-54,-60,-50,-56,-47,-51,-66,-48,-61,-56,-53,-59
2020-03-26,-60,-52,-51,-55,-58,-59,-67,-61,-55,-56,-57,-46,-64,-60,-54,-54,-62,-50,-57,-48,-53,-67,-51,-58,-58,-53,-57
2020-03-27,-63,-55,-53,-60,-60,-59,-68,-65,-59,-61,-60,-52,-67,-62,-55,-56,-63,-54,-54,-53,-56,-69,-53,-62,-62,-56,-63
2020-03-28,-80,-77,-69,-76,-79,-76,-82,-80,-79,-80,-77,-75,-88,-79,-72,-77,-82,-73,-74,-69,-79,-86,-73,-81,-79,-77,-84
2020-03-29,-83,-83,-81,-78,-81,-81,-85,-82,-83,-84,-82,-79,-93,-82,-77,-84,-85,-80,-80,-79,-86,-89,-80,-87,-85,-83,-89
2020-03-30,-73,-71,-66,-67,-72,-71,-78,-73,-71,-73,-69,-66,-85,-72,-66,-69,-73,-66,-69,-63,-75,-78,-67,-74,-74,-69,-77
2020-03-31,-73,-69,-64,-69,-72,-71,-77,-75,-71,-72,-69,-65,-93,-72,-68,-70,-77,-65,-71,-65,-77,-82,-70,-76,-74,-69,-77
2020-04-01,-75,-70,-69,-70,-73,-72,-78,-75,-72,-74,-71,-67,-87,-74,-68,-71,-78,-68,-71,-65,-77,-80,-70,-77,-73,-71,-77
2020-04-02,-74,-69,-65,-69,-71,-73,-78,-75,-71,-74,-69,-64,-85,-73,-67,-68,-77,-66,-69,-63,-74,-83,-66,-74,-73,-69,-76
2020-04-03,-74,-71,-64,-70,-73,-73,-77,-75,-73,-73,-71,-67,-85,-73,-68,-70,-77,-67,-70,-64,-72,-81,-67,-76,-73,-69,-76
