date,SA,Al Bahah Province,Al Jowf,Al Madinah Province,Al Qassim,Aseer Province,Eastern Province,Hail Province,Jazan,Makkah Province,Najran,Northern Borders Province,Riyadh Province,Tabuk Province
2020-02-15,0,-3,4,-7,-1,4,1,1,-9,-5,5,5,5,9
2020-02-16,-2,-3,-1,-6,-2,-1,1,-6,-7,-7,-1,5,4,2
2020-02-17,-4,-6,0,-11,-5,1,-4,-5,-14,-9,-1,8,1,5
2020-02-18,-3,0,-2,-12,-4,2,-2,-5,-14,-8,1,1,2,5
2020-02-19,-4,2,-4,-9,-3,2,-1,-4,-11,-7,2,7,1,4
2020-02-20,-4,-5,-5,-7,-3,3,-1,-6,-11,-7,2,0,-1,4
2020-02-21,-3,-5,1,-10,-3,-1,0,-5,-11,-8,4,2,2,6
2020-02-22,-4,-5,-4,-10,-5,-1,-2,-4,-15,-8,1,3,1,3
2020-02-23,-4,-6,-5,-7,-5,-4,-2,-8,-12,-8,-1,0,1,2
2020-02-24,-6,0,-3,-13,-9,-3,-5,-12,-18,-11,0,5,-1,3
2020-02-25,-3,4,-2,-10,-12,4,-1,-4,-11,-4,3,0,0,9
2020-02-26,-1,6,3,-6,3,5,-1,3,-9,-4,-1,9,3,11
2020-02-27,5,12,8,0,5,17,6,12,0,0,14,19,7,20
2020-02-28,6,4,14,-4,6,13,8,9,1,1,16,19,12,24
2020-02-29,6,5,13,-3,5,14,7,13,0,1,12,19,11,23
2020-03-01,5,2,5,-2,2,8,8,2,0,0,8,10,10,14
2020-03-02,3,2,5,-7,2,10,4,2,-8,-3,5,13,8,17
2020-03-03,3,8,5,-10,2,12,6,3,-10,-2,3,11,9,14
2020-03-04,2,7,6,-7,3,10,5,2,-10,-2,10,13,8,17
2020-03-05,3,6,3,-7,3,11,5,6,-4,-2,10,12,6,13
2020-03-06,2,7,-4,-14,3,4,6,1,-7,-3,13,4,9,13
2020-03-07,2,2,3,-12,0,6,4,4,-8,-3,8,15,8,12
2020-03-08,2,0,1,-9,0,2,7,-2,-4,-3,3,9,8,7
2020-03-09,2,3,2,-11,1,6,4,0,-10,-5,2,12,10,11
2020-03-10,3,8,6,-11,3,9,5,5,-5,-2,5,10,10,18
2020-03-11,0,7,4,-12,2,6,2,3,-5,-4,0,12,6,13
2020-03-12,0,4,0,-10,3,8,1,6,-7,-7,7,7,6,6
2020-03-13,-1,-1,0,-17,1,2,-1,-4,-10,-6,3,12,7,1
2020-03-14,0,-3,0,-14,0,2,-2,0,-11,-4,-1,13,9,8
2020-03-15,4,4,0,-8,4,4,3,3,-4,1,-1,11,12,7
2020-03-16,2,4,-1,-10,5,7,1,-1,-12,-3,5,16,10,10
2020-03-17,-5,-8,-9,-17,-2,0,-5,-8,-19,-10,-7,6,3,4
2020-03-18,-8,-8,-10,-17,-3,-5,-8,-11,-18,-13,-6,11,-1,1
2020-03-19,-12,-1,-14,-20,-8,-3,-12,-10,-21,-17,-8,3,-7,-5
2020-03-20,-18,-2,-13,-29,-15,-10,-20,-18,-24,-22,-8,4,-11,-7
2020-03-21,-16,-5,-13,-27,-12,-9,-16,-11,-24,-22,-9,6,-9,-7
2020-03-22,-18,-12,-16,-24,-11,-13,-16,-19,-24,-24,-13,0,-13,-12
2020-03-23,-25,-20,-23,-34,-18,-18,-22,-28,-35,-31,-23,-11,-21,-21
2020-03-24,-22,-21,-22,-31,-15,-16,-19,-24,-32,-28,-19,-12,-18,-17
2020-03-25,-19,-8,-18,-26,-12,-10,-17,-17,-25,-24,-16,-7,-13,-10
2020-03-26,-22,-3,-14,-30,-13,-1,-18,-13,-19,-26,-4,-3,-25,-6
2020-03-27,-29,-16,-16,-39,-25,-15,-29,-24,-28,-36,-13,-8,-26,-12
2020-03-28,-24,-15,-13,-34,-18,-12,-23,-14,-25,-30,-12,-5,-22,-8
2020-03-29,-24,-13,-17,-34,-15,-13,-19,-18,-20,-36,-14,-10,-18,-12
2020-03-30,-26,-20,-19,-40,-18,-15,-21,-23,-28,-33,-19,-11,-25,-14
2020-03-31,-26,-19,-20,-42,-19,-15,-20,-21,-28,-32,-20,-14,-24,-17
2020-04-01,-26,-14,-15,-40,-19,-13,-19,-22,-27,-32,-17,-8,-25,-15
2020-04-02,-26,-16,-20,-37,-19,-13,-20,-19,-26,-32,-14,-10,-26,-15
2020-04-03,-32,-20,-17,-56,-26,-20,-29,-25,-32,-39,-20,-11,-27,-19
2020-04-04,-28,-13,-17,-51,-20,-15,-21,-16,-28,-35,-18,-5,-25,-16
2020-04-05,-24,-15,-16,-45,-17,-17,-16,-18,-22,-32,-19,-7,-20,-17
2020-04-06,-25,-13,-17,-49,-16,-13,-16,-21,-27,-36,-18,-8,-20,-14
2020-04-07,-38,-15,-18,-48,-16,-13,-37,-18,-31,-47,-23,-7,-38,-36
2020-04-08,-38,-14,-23,-49,-25,-18,-34,-29,-31,-45,-24,-10,-38,-37
2020-04-09,-37,-12,-26,-46,-26,-15,-36,-24,-28,-43,-16,-13,-37,-34
2020-04-10,-44,-23,-20,-55,-32,-23,-44,-28,-34,-51,-24,-11,-44,-42
2020-04-11,-36,-18,-18,-47,-24,-16,-36,-15,-25,-43,-15,-10,-36,-36
