date,ML
2020-02-15,3
2020-02-16,-2
2020-02-17,8
2020-02-18,7
2020-02-19,0
2020-02-20,-1
2020-02-21,-4
2020-02-22,-5
2020-02-23,-4
2020-02-24,2
2020-02-25,4
2020-02-26,-1
2020-02-27,0
2020-02-28,-2
2020-02-29,-3
2020-03-01,-2
2020-03-02,0
2020-03-03,0
2020-03-04,-2
2020-03-05,-2
2020-03-06,-2
2020-03-07,-7
2020-03-08,-5
2020-03-09,-4
2020-03-10,3
2020-03-11,-4
2020-03-12,-7
2020-03-13,-7
2020-03-14,-14
2020-03-15,-15
2020-03-16,-7
2020-03-17,-8
2020-03-18,-9
2020-03-19,-13
2020-03-20,-10
2020-03-21,-20
2020-03-22,-26
2020-03-23,-17
2020-03-24,-14
2020-03-25,-16
2020-03-26,-29
2020-03-27,-25
2020-03-28,-30
2020-03-29,-36
2020-03-30,-25
2020-03-31,-26
2020-04-01,-32
2020-04-02,-24
2020-04-03,-31
2020-04-04,-31
2020-04-05,-38
2020-04-06,-29
2020-04-07,-28
2020-04-08,-34
2020-04-09,-34
2020-04-10,-32
2020-04-11,-33
