date,CR
2020-02-15,5
2020-02-16,1
2020-02-17,-1
2020-02-18,-3
2020-02-19,-4
2020-02-20,-5
2020-02-21,-5
2020-02-22,-2
2020-02-23,-4
2020-02-24,-5
2020-02-25,-6
2020-02-26,-7
2020-02-27,-5
2020-02-28,2
2020-02-29,4
2020-03-01,3
2020-03-02,0
2020-03-03,-2
2020-03-04,-4
2020-03-05,-4
2020-03-06,-4
2020-03-07,-3
2020-03-08,-5
2020-03-09,-7
2020-03-10,-9
2020-03-11,-12
2020-03-12,-12
2020-03-13,-7
2020-03-14,-9
2020-03-15,-20
2020-03-16,-16
2020-03-17,-26
2020-03-18,-34
2020-03-19,-41
2020-03-20,-48
2020-03-21,-57
2020-03-22,-66
2020-03-23,-50
2020-03-24,-53
2020-03-25,-54
2020-03-26,-54
2020-03-27,-53
2020-03-28,-59
2020-03-29,-68
2020-03-30,-47
2020-03-31,-48
2020-04-01,-49
2020-04-02,-47
2020-04-03,-54
2020-04-04,-73
2020-04-05,-74
2020-04-06,-67
2020-04-07,-67
2020-04-08,-79
2020-04-09,-86
2020-04-10,-88
2020-04-11,-84
