date,VN
2020-02-15,-4
2020-02-16,-7
2020-02-17,-7
2020-02-18,-4
2020-02-19,-9
2020-02-20,-10
2020-02-21,-9
2020-02-22,-3
2020-02-23,-6
2020-02-24,-5
2020-02-25,-4
2020-02-26,-9
2020-02-27,-9
2020-02-28,-8
2020-02-29,-3
2020-03-01,-3
2020-03-02,-5
2020-03-03,-6
2020-03-04,-15
2020-03-05,-8
2020-03-06,-5
2020-03-07,4
2020-03-08,2
2020-03-09,-5
2020-03-10,-5
2020-03-11,-9
2020-03-12,-10
2020-03-13,-12
2020-03-14,-9
2020-03-15,-10
2020-03-16,-10
2020-03-17,-13
2020-03-18,-18
2020-03-19,-17
2020-03-20,-14
2020-03-21,-12
2020-03-22,-15
2020-03-23,-11
2020-03-24,-12
2020-03-25,-17
2020-03-26,-17
2020-03-27,-18
2020-03-28,-20
2020-03-29,-29
2020-03-30,-27
2020-03-31,-19
2020-04-01,-39
2020-04-02,-42
2020-04-03,-43
2020-04-04,-42
2020-04-05,-44
2020-04-06,-36
2020-04-07,-34
2020-04-08,-39
2020-04-09,-38
2020-04-10,-36
2020-04-11,-33
