date,total,Al Madinah Province,Al Qassim,Aseer Province,Eastern Province,Hail Province,Jazan,Makkah Province,Najran,Northern Borders Province,Riyadh Province,Tabuk Province
2020-02-29,-6.45943806140726,-13.47236730894988,-6.539817232743574,5.533235067319743,-6.378732045347839,NA,-7.2219263229661195,-9.924760636157115,NA,NA,-1.6422421017060553,NA
2020-03-01,-6.267145189323691,-12.481639559654587,-8.50704031816167,1.252481233944768,-4.2856061038535875,NA,-9.64550069711466,-8.760066691187525,NA,NA,-2.8813796687812743,NA
2020-03-02,-8.450470507772561,-18.543631068132246,-2.126520174286098,4.467375461167053,-5.100501780756645,NA,-18.983868597505403,-11.632595928206118,NA,NA,-5.380820196158153,NA
2020-03-03,-8.125175065831188,-23.172127503063923,-7.4437802310186205,1.9268202085955226,-4.151860037304434,NA,-15.819731031256202,-10.074889494416743,NA,NA,-4.402401791099536,NA
2020-03-04,-6.43299779149577,-18.232833270332083,-1.9988905789882414,6.223927483581144,-5.3985644433518996,NA,-12.458492667109413,-10.376103445701983,NA,NA,-4.150341199039205,NA
2020-03-05,-9.482442254621054,-24.225014811919248,-4.715577678899768,5.893972749907522,-7.803127654096322,NA,-19.933014187381183,-13.109978641652766,NA,NA,-5.345223853004594,NA
2020-03-06,-16.56442848939887,-27.49556394569328,-6.313346672666173,9.051148947915763,-12.630405327473982,NA,-14.238140648126501,-21.9895746785884,NA,NA,-12.249952361466432,NA
2020-03-07,-16.218301319648447,-32.04851260823661,-9.341910603192764,5.533235067319743,-13.453898965798055,NA,-17.333388615110522,-22.598696224520772,NA,NA,-8.274706688209596,NA
2020-03-08,-17.767060160221536,-31.320767610926072,-20.204820518769765,-1.8787218509171522,-11.784939121073977,NA,-9.64550069711466,-22.712488161672972,NA,NA,-13.38326296240945,NA
2020-03-09,-20.60498246405489,-33.99745387567271,-17.01408063632334,-3.8295912383518598,-16.54438843213028,NA,-18.983868597505403,-25.614660676437097,NA,NA,-15.60370512452871,NA
2020-03-10,-18.75015746874879,-32.96560518697617,-20.204820518769765,1.9268202085955226,-15.725671439040102,NA,-11.0740030818773,-21.581262433512855,NA,NA,-15.063025533926014,NA
2020-03-11,-21.04405118864571,-39.80124413674716,-22.990600331925243,-0.6223927483581144,-22.209489679533707,NA,-18.68726060066922,-23.948899714091432,NA,NA,-18.00790138238661,NA
2020-03-12,-24.99006116786064,-40.51368831939677,-13.202465955698617,-5.305248851924267,-24.905428249545928,NA,-22.781407756998316,-28.728161074483882,NA,NA,-21.37897128536143,NA
2020-03-13,-31.009629284376736,-45.97607915334919,-29.462284472442143,-8.404707020718462,-29.598959856374435,NA,-27.05256291143933,-33.99510216552863,NA,NA,-28.029715075105987,NA
2020-03-14,-27.845610318301656,-46.33756089971369,-27.092020559767654,-12.29490218974507,-28.647452125781882,NA,-23.111503753477297,-30.945669496802832,NA,NA,-22.459368403238347,NA
2020-03-15,-33.83072596190277,-41.91849436545351,-29.775120924074482,-17.535699242380318,-36.06749283211956,NA,-14.467772645677092,-33.88417893267438,NA,NA,-34.96330548342206,NA
2020-03-16,-43.18978029027021,-52.30392231656053,-28.711860836931436,-23.61533165292635,-44.40751541050606,NA,-26.893734113133505,-46.30853724711598,NA,NA,-44.12118630717129,NA
2020-03-17,-47.00519136052838,-55.421463303725254,-36.15564106795006,-29.54778308897657,-50.196809433990836,NA,-25.3121437300038,-48.71633638786592,NA,NA,-49.178753224962,NA
