date,GE
2020-02-15,4
2020-02-16,6
2020-02-17,1
2020-02-18,4
2020-02-19,6
2020-02-20,5
2020-02-21,8
2020-02-22,6
2020-02-23,5
2020-02-24,5
2020-02-25,-2
2020-02-26,7
2020-02-27,4
2020-02-28,5
2020-02-29,3
2020-03-01,-1
2020-03-02,-1
2020-03-03,-1
2020-03-04,4
2020-03-05,2
2020-03-06,2
2020-03-07,1
2020-03-08,7
2020-03-09,-4
2020-03-10,-2
2020-03-11,-4
2020-03-12,-9
2020-03-13,-11
2020-03-14,-12
2020-03-15,-12
2020-03-16,-25
2020-03-17,-28
2020-03-18,-33
2020-03-19,-33
2020-03-20,-32
2020-03-21,-39
2020-03-22,-45
2020-03-23,-47
2020-03-24,-49
2020-03-25,-48
2020-03-26,-50
2020-03-27,-49
2020-03-28,-48
2020-03-29,-53
2020-03-30,-56
2020-03-31,-61
2020-04-01,-59
2020-04-02,-63
2020-04-03,-59
2020-04-04,-61
2020-04-05,-56
2020-04-06,-61
2020-04-07,-63
2020-04-08,-62
2020-04-09,-62
2020-04-10,-57
2020-04-11,-57
