date,total,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Buzău County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Călărași County,Dolj County,Dâmbovița County,Galați,Giurgiu County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Satu Mare County,Sibiu,Suceava County,Sălaj
2020-02-29,-0.27266527366807153,-0.30541821477595693,-0.20596194987436633,-0.18917707673047304,NA,-0.2225082532683081,NA,-1.077260931631213,-0.6363188205402026,NA,NA,-0.18969712456121074,-0.46982865656816464,-0.8786379952793324,NA,-0.2655574727407685,NA,-1.0018216945848226,-0.2698834619325704,-0.09163934099416786,NA,-0.49008182662871985,-0.0953380311008775,0.22590298376202653,-0.04813389566202624,NA,-0.4200762679108123,-0.23339363756679565,NA
2020-03-01,-1.5654747608873762,-1.9433936086699426,0.44894010272154505,0.07389729559784103,NA,-0.6863813914378317,NA,-2.6117200364319566,-1.963525916368313,NA,NA,-2.4147435904289387,-1.5604668487707964,-1.5150300347980352,NA,-0.6950511470651882,NA,-2.135412847132761,-2.916514345920952,-0.1456583209486247,NA,-1.2896395092283586,-0.1796369217584955,-2.262858701751825,-0.9395736433227522,NA,-1.4994775390988597,-0.8096742241514763,NA
2020-03-02,-0.7043852903091848,-0.7635455369398925,-0.14996307871036813,-0.06601491740073799,NA,-0.17442384260439406,NA,-1.5658546875076647,-1.0767722767181072,NA,NA,-0.6689801977279413,-0.7539111000744968,-0.8081483933981655,NA,-0.15434928921033836,NA,-1.1083587031507458,-0.933757379241156,0.5758809113001917,NA,-0.43552377299250916,0.148526616872946,-0.8863820464560872,-0.05294728522822886,NA,-0.7298013749355614,-0.014407014664617015,NA
2020-03-03,-1.1329712233449178,-1.0864718022444073,-0.9908952795799008,-1.3616808335495507,NA,-0.8890901814915869,NA,-1.9053194255262433,-1.4694774599917697,NA,NA,-0.8128567608009368,-1.1552023839086163,-0.9372138616312877,NA,-0.6624556449959242,NA,-2.004577924332504,-1.166211747913005,-0.845011186430432,NA,-1.3197405043379922,-0.6934587314811195,-0.955301600824163,-0.8587086986105481,NA,-1.406745471127378,-0.6291063070216097,NA
2020-03-04,-1.207405708972696,-0.7460374864113344,-1.4293949147962937,0.7764142524146498,NA,-0.6411254755188539,NA,-1.399065654377149,-1.9917850982912315,NA,NA,-1.2096628232888802,-1.8157437298236894,-1.684800766089296,NA,0.1811926438556146,NA,-3.0391083496173907,-1.425260472322735,0.29999826367564425,NA,-1.2614198263130774,-1.5545116860553605,-1.1658891280599504,-0.9982969960304241,NA,-1.3130860824761814,-1.328326752077689,NA
2020-03-05,-0.4591432481881894,0.9172273138016795,0.49924417342818755,-0.9104146817654015,NA,0.525157190976473,NA,-0.9448108170863916,-1.222940459078031,NA,NA,-0.7734510779210718,-0.05065805810777251,0.1568641844679486,NA,-0.3163681083193271,NA,-1.1859251216680409,-0.6993330582924269,-0.211252796607608,NA,-0.5540464412366909,0.3883770319583115,0.29099367399854265,0.8298283612133324,NA,-0.14466202603551154,0.08644208798770209,NA
2020-03-06,-3.2751173676222383,-2.9608058782739266,-3.472879145577449,-2.8632738800976805,NA,-2.5748730494735144,NA,-3.620303130891781,-2.9574695564157967,NA,NA,-2.960008272138699,-3.3086665011174556,-2.7629938314829174,NA,-1.848356705574735,NA,-4.84743388974951,-3.8532266535774284,-3.5363139377328356,NA,-4.635553246883553,-3.49238261295846,-3.051604712853138,-2.496223829032681,NA,-2.9794813439237084,-1.4685550281466278,NA
2020-03-07,-1.9548846488558578,-2.2176864002840184,-3.0675991796956317,0.4808250700232856,NA,-2.341993648807107,NA,-0.8162851503799353,-3.042247102184552,NA,NA,-1.3755332558762188,-2.2150484231437786,-3.4390983227656577,NA,-1.33353951112783,NA,-4.187652064771073,-2.0576151532012394,0.31543225794834623,NA,-1.4457884213595822,-2.504881322397792,-1.898159393220757,-2.084197682165736,NA,-2.173639673251532,-1.5271435544494039,NA
2020-03-08,-1.634424600205739,-1.2012468001538434,-0.44419443567374867,-1.739049689735859,NA,-0.5477851489359619,NA,-2.9766936853999084,-3.1455392843855656,NA,NA,-1.4039420039989123,-1.1641420412217527,-2.7927781703059456,NA,0.11791902219174917,NA,-3.071817080317455,-2.245745595643286,-1.0736272265948297,NA,-2.035579794288963,-0.7617006905849055,-1.4635833142887227,-0.7672542968526983,NA,-0.883736607768221,-0.7309158773182366,NA
2020-03-09,-0.1394667204394159,0.9094459580112094,0.0816254732220991,-0.9655913291451228,NA,0.44595933811826155,NA,-1.2028432624588952,-1.562050642153055,NA,NA,1.3379603954558825,1.0946113732306924,-0.5688808715198389,NA,0.3671787438978857,NA,-0.8485579278759505,0.11130230364372429,-0.3308662522210482,NA,-0.2953660145132784,-0.0873095653239615,1.4520967218940433,0.9183947292314606,NA,0.1919553807009672,0.20938194645910063,NA
2020-03-10,-0.3518008847039199,-0.8053703243136698,-0.4479909693119858,-2.5558611304106615,NA,0.3026489377081648,NA,-1.9592805833037634,-0.6509356387761951,NA,NA,0.75603926455555,-0.8115222249813753,0.24125314446652854,NA,-0.012462986085306823,NA,-1.0849953240792716,0.9298174746873957,-1.6996686192813029,NA,-1.0497722044484672,-0.736611735032043,0.3953302215835464,-0.5371742755882128,NA,-0.6064677245334906,-0.328479934353268,NA
2020-03-11,2.5080504052054513,2.3188440255601317,2.832214094124927,3.973703908614572,NA,2.9529485137133094,NA,3.19450054042917,0.5281543655938589,NA,NA,1.5386544547742649,1.160168860193692,2.2556672601973364,NA,2.343041384037683,NA,2.3503559345903255,4.1132603541255985,4.26460554247596,NA,2.9734139231734806,2.683514685934173,1.3142576131578916,2.124630154521838,NA,2.2635897791838695,2.8189725360433964,NA
2020-03-12,3.4992043454069184,3.6591825604686306,2.8141805593433005,3.122407063327443,NA,2.2750526065102856,NA,4.166782492384117,2.2217563718708453,NA,NA,1.4763384911502924,2.6203128880059583,2.972477014538216,NA,1.648948928209826,NA,3.9138332620533927,7.642429858156254,4.197081817532888,NA,2.6300744477042235,2.85010535080518,1.3276586376183508,2.5145147093842506,NA,2.7559970601124375,2.8276167448421665,NA
2020-03-13,3.7789213071870953,1.7799851370700677,2.3196820529629094,3.385481435655757,NA,1.60375652037878,NA,6.475338933302372,2.5443008276117447,NA,NA,1.245402861249688,2.3352371492426114,2.054126567494846,NA,2.201155080912651,NA,4.934345659895395,8.261979849235038,4.911868677287397,NA,2.618786574538111,3.7382543773765127,0.8002326034959922,2.6069317890553414,NA,3.2196573999698463,5.091438982475654,NA
2020-03-14,3.581474040048146,2.3820675413577024,1.589798461011814,1.647417043194536,NA,1.6235559835933329,NA,4.359080436464006,3.897818196264641,NA,NA,2.55770374227217,2.8000993295257004,1.849607440910052,NA,2.187733403590013,NA,3.573662462772725,7.711378187847057,2.9739377714212583,NA,2.14093327717268,2.773834925924478,2.244671597126916,2.988152242698589,NA,2.3850687882265107,2.7891980390698543,NA
2020-03-15,5.816075650684181,5.871032943909796,6.180756763050109,4.386543466687844,NA,6.5093092396796575,NA,4.540586148988391,6.877700207308959,NA,NA,5.601105436319421,5.878321331015642,5.852622578725044,NA,5.283347408932762,NA,6.263254661480859,8.632330877288492,4.056246619794483,NA,3.3402698010721386,6.711797389501776,5.642788513886213,5.523845866174131,NA,3.9374036060691155,5.059743550213496,NA
2020-03-16,9.41165306695654,7.462320203060961,7.875909032523005,7.472494530853685,NA,7.520024695203498,NA,12.258012823133308,9.091660942787275,NA,NA,8.195465627782163,8.409237645890236,7.879943241279165,NA,6.990776502619797,NA,11.477960870233947,16.88249101286225,7.9726226664926045,NA,7.272212287268009,9.264849506561063,7.020222385214841,8.60248983271733,NA,7.278540015081602,7.987248930063674,NA
2020-03-17,10.262556765817244,7.768711087310727,7.877807299342123,8.090275922051637,NA,7.490796916172491,NA,14.027938798235958,9.98621021883001,NA,NA,7.776665695779877,8.434070027315615,8.526263393738876,NA,7.511345844490689,NA,12.663885991901989,18.18955434857218,8.217637325571747,NA,8.344560238048702,9.247789016785118,5.496334460854053,9.093455568469997,NA,8.126111116340946,8.48669210510373,NA
2020-03-18,10.809454354956078,9.017618691681202,8.481456147821833,9.694339885162107,NA,9.058725836448748,NA,15.071841923241067,10.060268764559039,NA,NA,8.18813433794405,8.80158927241122,8.506407167856858,NA,8.034791260073577,NA,12.730237988464975,18.790389793020605,8.567796070633673,NA,9.099907084081066,9.678315494072239,6.0821506729826975,9.90403037141852,NA,8.688067448248125,8.724888080892065,NA
