date,BS
2020-02-15,11
2020-02-16,4
2020-02-17,6
2020-02-18,8
2020-02-19,23
2020-02-20,11
2020-02-21,8
2020-02-22,16
2020-02-23,7
2020-02-24,8
2020-02-25,4
2020-02-26,13
2020-02-27,6
2020-02-28,5
2020-02-29,13
2020-03-01,4
2020-03-02,-3
2020-03-03,-1
2020-03-04,8
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,-2
2020-03-09,-8
2020-03-10,-6
2020-03-11,3
2020-03-12,-2
2020-03-13,0
2020-03-14,-5
2020-03-15,-10
2020-03-16,-14
2020-03-17,-15
2020-03-18,-15
2020-03-19,-24
2020-03-20,-29
2020-03-21,-38
2020-03-22,-52
2020-03-23,-53
2020-03-24,-56
2020-03-25,-69
2020-03-26,-76
2020-03-27,-81
2020-03-28,-84
2020-03-29,-87
2020-03-30,-83
2020-03-31,-80
2020-04-01,-81
2020-04-02,-82
2020-04-03,-81
2020-04-04,-94
2020-04-05,-96
2020-04-06,-85
2020-04-07,-79
2020-04-08,-83
2020-04-09,-92
2020-04-10,-96
2020-04-11,-95
