date,SV
2020-02-15,4
2020-02-16,4
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,-1
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,-2
2020-02-25,0
2020-02-26,-2
2020-02-27,-1
2020-02-28,3
2020-02-29,5
2020-03-01,7
2020-03-02,3
2020-03-03,2
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,-1
2020-03-08,0
2020-03-09,-2
2020-03-10,-1
2020-03-11,0
2020-03-12,-7
2020-03-13,-7
2020-03-14,-11
2020-03-15,-21
2020-03-16,-15
2020-03-17,-23
2020-03-18,-31
2020-03-19,-38
2020-03-20,-50
2020-03-21,-58
2020-03-22,-83
2020-03-23,-76
2020-03-24,-78
2020-03-25,-77
2020-03-26,-77
2020-03-27,-75
2020-03-28,-79
2020-03-29,-81
2020-03-30,-69
2020-03-31,-69
2020-04-01,-70
2020-04-02,-71
2020-04-03,-72
2020-04-04,-76
2020-04-05,-78
2020-04-06,-69
2020-04-07,-75
2020-04-08,-75
2020-04-09,-79
2020-04-10,-85
2020-04-11,-84
