date,total,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Faro District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District
2020-02-29,-0.12609730826141494,-0.9560536922119028,-0.22407532075694211,12.875482845505298,-4.618295000259701,6.429821218842003,2.7784034924319623,-2.092411213691993,12.395469117849144,NA,-3.053161553393609,4.149280099758331,-1.2976634383644314,-0.795355975341341,-1.8109620961205153,-4.529977756095742,-5.3905072015414905
2020-03-01,-7.557059569160367,-17.505140509772932,3.8160123294572803,17.72507805822084,-8.76289398106515,5.932275529288753,-5.626963835416514,-11.968016249323604,12.305757530454795,-7.640760187200543,-3.9743077093197385,4.809632796643301,-11.362021226481147,-6.484320351691951,-6.672066265432395,-11.62965355926079,-7.159689414789001
2020-03-02,2.5379078498183514,-1.4471044786254836,2.4186670888571222,7.06174191788083,-1.0679867485455379,5.454823031044383,2.8533656067210296,2.7076568962500516,10.836968881519637,5.333373415450504,-3.2957204157691415,3.773032632928521,-0.6300459455756037,2.0332190933271375,3.157231700839463,0.44103901701375653,-1.3707785850734533
2020-03-03,-0.661611826257677,-2.2285408970832448,0.998241128522343,2.08032239085139,-6.270924901125561,1.6648644227358758,3.3165930309175726,0.24859380933313127,10.13931813274017,-1.57919277600855,-1.1406041742658974,NA,-4.665615465478056,0.5418061310810106,1.3347957160423651,-5.00832809992845,-1.4778555892558274
2020-03-04,2.1564235881160956,0.3685292738899565,0.8424462703136536,6.5084646862714175,-5.290731101195781,1.8495304190508322,5.614470149701669,2.8708265780517204,9.393948454495622,1.4304838572471132,-0.4427661773521627,2.791141922298687,-1.7562289889668585,2.9191974464649464,3.5358700271666663,-2.1889311733784704,-2.01516992555837
2020-03-05,2.999200534470869,2.7668637631319246,2.49271773133903,2.207335598803464,0.9155550355643318,-2.458067070119807,3.7336899232439205,4.286563523095615,8.89671720946949,1.8411123555045006,0.502443357777889,2.238288501650804,1.6618184344310647,3.503422562897495,1.594870526044889,0.9806182048570506,-0.2585282623502361
2020-03-06,0.060654401442199586,2.6385538326937983,-0.9309223626296994,1.5905517632180148,3.7818500942172615,-2.2150351371457195,4.249775248541728,0.17084825506292417,10.269113620885186,-2.931004818168968,-1.4813416237934312,6.090985776790738,-3.0115040150907295,1.8452258627919111,0.9207795662957002,3.758877001837417,-4.4779410217529705
2020-03-07,3.1923369180105046,6.259209238214759,1.0068963984228256,8.311667350681919,2.3009470598745327,11.25314395160726,5.456857499145169,4.568751090446736,10.951494312235829,-1.5456133427398386,-0.239671256871062,11.657912581925672,3.8987705531260977,6.02542405561622,4.41266635353547,6.267346204896136,1.1855643075688067
2020-03-08,-0.9273738746820516,-7.895402035380638,5.724018494185921,10.12834111290552,-8.066338938201664,24.620857083815835,5.1579700947361955,-0.4357590325762224,15.833140796513499,-0.29262077562734373,-0.5130312446276146,15.946365851812375,-9.744517950301576,9.383272373330028,6.5104756665705334,-6.683511004030592,-0.37718115887665044
2020-03-09,-0.042298464163639186,-1.8310695336207785,2.5456110473975353,2.942472650889709,-0.735145349947335,3.4713380032676766,4.961915334287867,2.5790407941240296,7.997692578347386,-1.4631038781367187,-2.281208348531795,3.233616621810274,-2.4074691406627426,2.146015031648273,2.260356069286641,1.4101768136188222,0.2739627854756233
2020-03-10,0.1340781505564412,0.028942089572509672,3.7429233836309814,5.295103661820167,-4.2256386256815315,3.8062245250823645,6.387156558527438,2.4475452270250373,7.689428294002969,-2.17594727581251,-1.4572782445895094,2.0722405124631584,-4.415138484056563,1.4085031272408477,3.6659074321679284,1.4685355555664126,1.074628672605086
2020-03-11,-1.2075014392374732,-1.6159333344651234,-0.1202120819511492,4.462782261225137,-8.559330111197843,3.4684675473664077,6.212244958519615,-0.8206475172966302,3.8127424642598813,-3.049012540799011,-2.7836517063096835,NA,-6.447855525592531,0.6372488481219715,2.3999550481850545,-1.7029272240444393,-2.1405754259521412
2020-03-12,-8.648838795119959,-8.160704523128643,-2.7302568052745007,-2.0225891145095383,-8.664488698001334,-3.575631234347108,0.5833590176085096,-10.737524884207486,-1.7236077322786847,-12.895461787564352,-6.847475186268012,-5.471905123461077,-13.07682517621291,-5.148122313118498,-6.834613021683973,-7.2699685255694915,-7.640088947066679
2020-03-13,-26.56423357899491,-26.203203162631176,-12.418388913881516,-17.341151770547526,-25.482144525142992,-19.12871812605496,-18.283067464554016,-28.850319385850423,-14.078992949377163,-32.496256692700854,-16.63453277608712,-21.42402986507187,-33.338486227200825,-22.491702914804225,-23.725133311002295,-19.43441776923525,-24.575619446397816
2020-03-14,-47.24020171271945,-48.76838566599788,-32.23607189602017,-36.67025268979948,-49.75834195391568,-39.95961660156228,-39.78566163254873,-48.50842675632093,-35.16980539435316,-51.583765975015616,-35.43669475086353,-44.853113194958716,-51.97301027195449,-44.22854070392086,-46.63466436857757,-45.794391816480434,-48.62550044883713
