date,HU,Bács-Kiskun,Baranya,Békés County,Borsod-Abaúj-Zemplén,Budapest,Csongrád,Fejér,Gyor-Moson-Sopron,Hajdú-Bihar,Heves County,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Somogy County,Szabolcs-Szatmár-Bereg,Tolna County,Vas County,Veszprém,Zala County
2020-02-15,14,12,17,16,36,12,11,13,16,12,11,11,19,18,14,23,13,19,14,24,20
2020-02-16,20,18,30,21,32,10,21,29,22,20,26,20,25,31,27,25,24,31,24,40,31
2020-02-17,6,5,6,4,5,6,12,3,9,5,6,4,7,0,4,8,4,8,5,5,7
2020-02-18,5,4,4,6,5,4,6,3,9,7,7,8,6,1,6,8,4,7,5,3,4
2020-02-19,3,4,5,6,1,3,8,7,4,3,1,2,0,-1,4,6,0,8,1,2,7
2020-02-20,4,2,9,1,3,5,4,3,6,2,2,3,5,5,5,6,0,2,6,3,7
2020-02-21,2,3,10,-2,3,2,1,-1,2,-2,2,2,4,2,1,7,2,8,7,1,5
2020-02-22,8,9,39,10,9,3,2,13,7,5,8,8,11,10,10,13,14,18,11,16,15
2020-02-23,11,11,72,14,4,4,3,14,14,6,8,14,7,10,16,12,7,32,12,25,17
2020-02-24,2,-1,5,2,3,2,5,1,2,2,4,1,3,-1,3,3,1,4,-2,-1,2
2020-02-25,5,4,11,3,3,3,7,4,9,5,8,9,8,-1,7,7,5,6,9,7,3
2020-02-26,-3,-6,-5,-1,-4,-2,0,-2,1,-4,-1,-5,-4,-7,-1,-4,-4,-1,-8,-3,-5
2020-02-27,3,2,11,3,1,2,2,2,4,4,5,3,1,7,4,7,2,6,1,4,7
2020-02-28,0,0,3,0,2,0,-4,-5,-1,-7,1,2,-1,6,3,5,-1,3,0,-1,1
2020-02-29,2,2,4,6,1,-1,0,3,4,-4,3,3,5,7,7,7,2,5,2,10,5
2020-03-01,5,12,10,6,11,-2,8,7,6,0,4,16,4,8,13,7,7,13,7,10,10
2020-03-02,0,-1,1,2,-3,-2,3,-1,3,0,1,0,1,1,3,3,-4,-2,-3,-1,3
2020-03-03,1,2,3,1,2,-2,0,0,6,1,4,6,1,1,4,7,2,4,1,-1,5
2020-03-04,2,3,8,0,-3,2,3,3,5,0,-1,-2,2,0,4,10,1,6,2,3,11
2020-03-05,7,8,12,10,11,2,10,7,8,9,9,9,8,10,9,14,11,6,2,8,9
2020-03-06,3,4,7,8,9,-3,3,0,8,10,3,7,6,8,4,13,16,12,4,6,8
2020-03-07,11,16,14,18,23,3,7,12,18,12,12,17,16,20,18,24,15,23,18,27,31
2020-03-08,24,33,32,33,23,7,20,43,33,31,30,35,31,44,41,37,33,45,37,45,39
2020-03-09,5,5,6,5,8,1,8,7,8,7,11,8,9,8,9,8,4,13,3,8,6
2020-03-10,7,7,9,8,8,2,9,11,13,12,14,14,12,13,13,14,12,14,8,11,13
2020-03-11,3,5,8,6,5,-2,9,10,6,3,6,5,6,6,9,13,3,13,6,10,15
2020-03-12,5,11,11,10,10,-5,7,13,9,8,13,11,15,16,14,16,9,14,6,14,17
2020-03-13,-4,5,-2,9,1,-16,-4,0,-3,-3,5,9,5,9,7,7,3,13,0,5,5
2020-03-14,-10,2,-6,10,1,-28,-9,0,-9,-11,3,9,-1,21,4,13,-2,14,-5,17,4
2020-03-15,-42,-35,-47,-26,-36,-58,-47,-23,-46,-48,-21,-36,-17,1,-24,-24,-40,-21,-37,-1,-38
2020-03-16,-10,-3,-8,2,-1,-25,-11,1,-3,-8,3,5,-2,6,5,8,-6,5,-4,5,4
2020-03-17,-31,-19,-29,-20,-23,-45,-32,-23,-27,-30,-20,-13,-24,-12,-15,-14,-26,-15,-27,-16,-22
2020-03-18,-36,-25,-35,-23,-29,-51,-36,-26,-32,-36,-23,-22,-27,-18,-20,-18,-32,-21,-36,-20,-28
2020-03-19,-41,-29,-40,-30,-33,-56,-42,-30,-38,-40,-32,-25,-31,-23,-26,-23,-35,-31,-41,-28,-36
2020-03-20,-45,-35,-48,-34,-38,-58,-45,-37,-46,-45,-38,-31,-36,-28,-30,-30,-38,-36,-44,-34,-44
2020-03-21,-57,-47,-58,-44,-54,-67,-56,-52,-61,-57,-54,-42,-51,-41,-47,-42,-53,-46,-61,-49,-59
2020-03-22,-64,-56,-70,-48,-57,-71,-62,-59,-68,-61,-58,-46,-59,-47,-56,-56,-59,-50,-67,-60,-64
2020-03-23,-54,-46,-56,-44,-49,-66,-53,-49,-49,-54,-48,-44,-46,-43,-45,-43,-49,-45,-51,-45,-48
2020-03-24,-54,-46,-63,-46,-45,-64,-54,-49,-50,-50,-46,-39,-46,-40,-42,-49,-46,-48,-52,-46,-52
2020-03-25,-56,-47,-61,-44,-49,-66,-55,-50,-54,-52,-51,-43,-48,-40,-44,-47,-49,-50,-55,-48,-52
2020-03-26,-53,-43,-55,-43,-46,-64,-52,-47,-50,-51,-47,-39,-44,-42,-42,-42,-45,-46,-52,-45,-50
2020-03-27,-44,-34,-46,-32,-37,-57,-44,-38,-44,-40,-36,-27,-35,-29,-28,-29,-33,-33,-42,-32,-41
2020-03-28,-66,-60,-69,-60,-62,-74,-66,-63,-68,-66,-65,-57,-59,-56,-57,-58,-60,-57,-68,-59,-66
2020-03-29,-66,-62,-70,-54,-59,-74,-66,-58,-71,-63,-62,-52,-57,-51,-56,-58,-57,-50,-68,-57,-66
2020-03-30,-57,-48,-59,-50,-53,-67,-57,-52,-55,-55,-52,-43,-50,-44,-46,-47,-54,-44,-54,-50,-52
2020-03-31,-55,-47,-56,-48,-48,-66,-55,-50,-51,-52,-48,-41,-46,-43,-42,-42,-47,-44,-53,-45,-50
2020-04-01,-54,-46,-55,-46,-49,-65,-54,-48,-53,-51,-50,-43,-49,-44,-42,-43,-48,-42,-53,-45,-47
2020-04-02,-51,-42,-51,-41,-42,-65,-53,-46,-50,-48,-45,-36,-43,-40,-39,-37,-41,-40,-49,-40,-46
2020-04-03,-50,-40,-52,-37,-41,-63,-50,-44,-50,-46,-43,-32,-41,-33,-36,-35,-38,-37,-49,-40,-44
2020-04-04,-54,-47,-58,-44,-46,-66,-56,-47,-57,-52,-50,-40,-47,-36,-42,-41,-42,-41,-55,-43,-53
2020-04-05,-54,-49,-60,-38,-43,-67,-55,-38,-60,-52,-45,-38,-40,-31,-41,-41,-35,-35,-54,-38,-53
2020-04-06,-44,-34,-44,-34,-34,-60,-44,-36,-38,-40,-34,-28,-35,-28,-31,-28,-33,-29,-39,-31,-35
2020-04-07,-42,-33,-43,-32,-33,-59,-44,-34,-36,-39,-32,-24,-30,-28,-26,-25,-28,-25,-36,-28,-32
2020-04-08,-41,-31,-40,-26,-30,-58,-41,-29,-35,-38,-32,-23,-30,-22,-24,-19,-28,-22,-32,-24,-28
2020-04-09,-29,-14,-28,-13,-15,-52,-30,-16,-26,-24,-15,-7,-15,-2,-9,-4,-13,-8,-24,-11,-17
2020-04-10,-81,-76,-83,-77,-79,-87,-82,-80,-82,-80,-80,-77,-77,-75,-73,-76,-78,-73,-80,-76,-84
2020-04-11,-51,-39,-54,-32,-38,-65,-61,-49,-55,-46,-42,-29,-43,-27,-38,-30,-32,-32,-55,-40,-41
