date,DO
2020-02-15,1
2020-02-16,-12
2020-02-17,-2
2020-02-18,-3
2020-02-19,3
2020-02-20,6
2020-02-21,7
2020-02-22,3
2020-02-23,-6
2020-02-24,-1
2020-02-25,2
2020-02-26,0
2020-02-27,48
2020-02-28,0
2020-02-29,6
2020-03-01,-10
2020-03-02,-9
2020-03-03,-4
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,4
2020-03-08,-16
2020-03-09,-13
2020-03-10,-6
2020-03-11,-2
2020-03-12,-6
2020-03-13,-5
2020-03-14,-4
2020-03-15,-9
2020-03-16,-6
2020-03-17,-18
2020-03-18,-25
2020-03-19,-46
2020-03-20,-57
2020-03-21,-65
2020-03-22,-70
2020-03-23,-60
2020-03-24,-63
2020-03-25,-63
2020-03-26,-64
2020-03-27,-68
2020-03-28,-70
2020-03-29,-73
2020-03-30,-61
2020-03-31,-64
2020-04-01,-63
2020-04-02,-64
2020-04-03,-64
2020-04-04,-68
2020-04-05,-71
2020-04-06,-62
2020-04-07,-62
2020-04-08,-62
2020-04-09,-60
2020-04-10,-69
2020-04-11,-69
