date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-02-15,-1,-1,-1,3,-1,-3,0,3,-9,-4,-1,2,-1,1,4,0,-4
2020-02-16,-13,-16,-20,-1,-11,-23,1,-9,-15,-18,-5,-8,-18,-7,9,-16,-29
2020-02-17,1,4,3,6,3,-2,7,6,-4,0,2,6,3,4,8,2,-2
2020-02-18,-1,-2,-3,-1,-1,-4,3,1,-7,-3,3,2,0,3,3,-2,-5
2020-02-19,0,1,0,2,3,-4,7,3,-6,0,4,3,1,2,9,1,-6
2020-02-20,1,2,1,0,1,-2,5,4,-5,-1,3,3,1,1,4,1,-4
2020-02-21,-2,-1,-1,-5,-1,-6,1,1,-9,-5,-2,2,-1,-2,0,-1,-5
2020-02-22,-1,-1,-2,-1,0,-3,1,1,-5,0,0,2,-3,-1,3,-1,-4
2020-02-23,-25,-27,-23,-25,-24,-41,-11,-22,-22,-30,-21,-12,-19,-30,-12,-18,-34
2020-02-24,1,5,3,1,3,-1,6,4,0,3,1,6,2,2,3,1,1
2020-02-25,2,0,0,-2,2,-1,6,1,0,3,5,5,3,3,4,1,1
2020-02-26,-2,-1,-2,-5,0,-4,2,0,-2,-2,-5,-3,-3,-1,2,-3,-4
2020-02-27,4,3,4,-1,5,1,7,3,3,4,5,3,2,2,4,2,0
2020-02-28,5,4,4,0,6,2,6,6,3,4,3,8,4,3,5,4,3
2020-02-29,3,2,2,1,2,0,4,4,2,3,3,6,1,1,5,4,1
2020-03-01,-7,-4,-7,-15,0,-14,-4,1,-3,-1,-10,-1,-4,-8,8,-4,-13
2020-03-02,3,7,5,4,5,1,8,7,2,6,6,8,5,4,6,3,2
2020-03-03,1,-1,-1,-3,1,-4,6,-1,0,1,5,6,0,2,3,1,0
2020-03-04,5,9,6,0,7,3,7,13,3,7,3,6,4,6,8,4,2
2020-03-05,5,6,6,0,6,3,8,6,4,5,7,5,4,5,7,5,2
2020-03-06,4,4,2,-1,5,2,6,3,1,4,5,6,2,3,5,3,1
2020-03-07,7,7,7,5,8,2,11,6,4,9,12,10,5,7,13,10,5
2020-03-08,3,18,9,-8,5,-3,7,17,-1,10,7,1,11,0,19,2,0
2020-03-09,3,7,4,5,6,0,9,3,4,4,7,6,3,5,8,2,0
2020-03-10,10,16,7,5,11,7,12,6,9,11,12,11,10,13,10,8,4
2020-03-11,30,30,30,26,36,25,41,21,35,29,36,33,30,30,39,25,20
2020-03-12,21,22,23,13,26,18,9,18,25,23,15,18,19,23,21,18,16
2020-03-13,6,8,7,-2,9,1,-7,10,3,11,-1,7,9,11,4,4,7
2020-03-14,-17,-16,-13,-20,-18,-19,-26,-7,-22,-14,-21,-15,-15,-17,-14,-17,-12
2020-03-15,-43,-42,-42,-54,-41,-44,-44,-39,-43,-41,-43,-38,-40,-42,-34,-40,-43
2020-03-16,-23,-19,-17,-24,-21,-24,-26,-15,-23,-22,-23,-18,-21,-22,-18,-22,-21
2020-03-17,-26,-27,-25,-31,-27,-28,-32,-23,-27,-26,-27,-25,-25,-25,-26,-26,-26
2020-03-18,-24,-21,-22,-28,-24,-25,-28,-19,-25,-21,-27,-25,-25,-23,-22,-26,-25
2020-03-19,-24,-22,-22,-28,-24,-26,-28,-20,-25,-22,-24,-26,-24,-23,-23,-25,-26
2020-03-20,-23,-21,-22,-29,-23,-27,-29,-22,-24,-23,-27,-25,-24,-21,-23,-23,-24
2020-03-21,-32,-29,-29,-36,-34,-35,-34,-32,-33,-30,-32,-29,-32,-33,-30,-28,-31
2020-03-22,-55,-50,-53,-66,-53,-58,-58,-51,-53,-55,-57,-47,-49,-58,-48,-47,-48
2020-03-23,-27,-22,-22,-30,-26,-29,-28,-22,-26,-24,-28,-23,-24,-25,-23,-24,-25
2020-03-24,-21,-19,-21,-28,-22,-25,-26,-20,-22,-18,-22,-19,-20,-18,-20,-20,-20
