date,ML
2020-02-15,3
2020-02-16,-4
2020-02-17,3
2020-02-18,1
2020-02-19,2
2020-02-20,0
2020-02-21,-2
2020-02-22,-5
2020-02-23,-9
2020-02-24,2
2020-02-25,4
2020-02-26,6
2020-02-27,1
2020-02-28,1
2020-02-29,0
2020-03-01,2
2020-03-02,3
2020-03-03,5
2020-03-04,5
2020-03-05,4
2020-03-06,9
2020-03-07,12
2020-03-08,2
2020-03-09,6
2020-03-10,8
2020-03-11,7
2020-03-12,9
2020-03-13,2
2020-03-14,1
2020-03-15,-1
2020-03-16,4
2020-03-17,6
2020-03-18,4
2020-03-19,-1
2020-03-20,-2
2020-03-21,-4
2020-03-22,-5
2020-03-23,5
2020-03-24,8
2020-03-25,3
2020-03-26,-7
2020-03-27,-6
2020-03-28,-12
2020-03-29,-12
2020-03-30,-2
2020-03-31,-4
2020-04-01,-4
2020-04-02,-6
2020-04-03,-11
2020-04-04,-15
2020-04-05,-16
2020-04-06,-3
2020-04-07,-1
2020-04-08,-2
2020-04-09,-4
2020-04-10,-8
2020-04-11,-10
