date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-02-15,2,6,2,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,-7,0,-7,-5,0,0
2020-02-16,16,16,12,0,0,35,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,15,0,10,0,4,17,0,0
2020-02-17,8,16,7,0,0,18,0,0,0,0,0,0,0,0,13,0,0,-2,0,0,0,9,0,20,0,4,8,0,0
2020-02-18,8,11,7,0,0,10,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,9,0,10,0,-3,4,0,12
2020-02-19,5,17,5,0,0,6,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,5,0,4,0,2,3,0,9
2020-02-20,3,7,-3,0,0,-1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,-4,0,-8,-5,0,0
2020-02-21,6,13,5,0,0,7,0,-2,0,0,0,0,0,0,15,0,0,2,0,0,0,6,0,0,0,-3,1,0,8
2020-02-22,3,0,-3,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,12,0,-4,-3,0,0
2020-02-23,14,11,12,0,0,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,14,0,10,0,-4,17,0,0
2020-02-24,5,6,8,0,0,5,0,0,0,0,0,0,0,0,14,0,0,-6,0,0,0,4,0,12,0,0,1,0,4
2020-02-25,8,0,5,0,0,6,0,0,0,0,0,0,0,0,14,0,0,-6,0,0,0,10,0,5,0,-1,4,0,4
2020-02-26,11,18,7,0,0,-2,0,0,0,0,0,0,0,0,14,0,0,-4,0,0,0,13,0,7,0,4,8,0,4
2020-02-27,9,14,4,0,0,-2,0,0,0,0,0,0,0,0,12,0,0,-5,0,0,0,8,0,15,0,0,0,0,0
2020-02-28,10,12,7,0,0,17,0,9,0,0,0,0,0,0,16,0,0,4,0,0,0,11,0,7,0,6,10,0,0
2020-02-29,9,15,3,0,0,26,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,1,0,2,10,0,0
