date,BO
2020-02-15,6
2020-02-16,2
2020-02-17,-4
2020-02-18,-2
2020-02-19,0
2020-02-20,0
2020-02-21,-4
2020-02-22,-1
2020-02-23,-3
2020-02-24,-27
2020-02-25,-41
2020-02-26,-18
2020-02-27,-10
2020-02-28,-10
2020-02-29,-5
2020-03-01,-9
2020-03-02,-9
2020-03-03,-5
2020-03-04,-3
2020-03-05,-5
2020-03-06,-4
2020-03-07,4
2020-03-08,-1
2020-03-09,-6
2020-03-10,-3
2020-03-11,-5
2020-03-12,-7
2020-03-13,-14
2020-03-14,-13
2020-03-15,-24
2020-03-16,-34
2020-03-17,-32
2020-03-18,-44
2020-03-19,-48
2020-03-20,-56
2020-03-21,-47
2020-03-22,-84
2020-03-23,-86
2020-03-24,-85
2020-03-25,-86
2020-03-26,-88
2020-03-27,-87
2020-03-28,-94
2020-03-29,-93
2020-03-30,-85
2020-03-31,-85
2020-04-01,-85
2020-04-02,-85
2020-04-03,-83
2020-04-04,-94
2020-04-05,-93
2020-04-06,-83
2020-04-07,-82
2020-04-08,-82
2020-04-09,-81
2020-04-10,-92
2020-04-11,-84
