date,BB,Christ Church,Saint George,Saint James,Saint John,Saint Lucy,Saint Michael,Saint Peter,Saint Philip,Saint Thomas
2020-02-15,0,-1,0,0,NA,NA,-1,0,1,NA
2020-02-16,1,3,0,0,NA,NA,-2,NA,4,NA
2020-02-17,1,1,1,2,NA,NA,1,0,4,-3
2020-02-18,2,-1,3,6,NA,NA,1,4,2,3
2020-02-19,1,1,-3,4,NA,NA,2,-3,1,-4
2020-02-20,1,0,3,4,NA,NA,1,0,1,-3
2020-02-21,2,1,3,4,NA,NA,2,0,3,0
2020-02-22,-1,1,0,0,NA,NA,-2,0,7,NA
2020-02-23,0,1,0,0,NA,NA,2,NA,6,NA
2020-02-24,2,1,4,-1,NA,NA,2,0,4,-1
2020-02-25,3,4,3,4,NA,NA,2,7,1,1
2020-02-26,3,2,-1,3,NA,NA,2,4,3,-3
2020-02-27,1,1,4,3,NA,NA,1,3,1,-4
2020-02-28,1,0,4,4,NA,NA,1,3,1,-1
2020-02-29,0,1,0,0,NA,NA,-1,0,6,NA
2020-03-01,1,5,0,0,NA,NA,0,NA,4,NA
2020-03-02,3,3,2,4,NA,NA,2,3,4,-1
2020-03-03,5,6,4,7,NA,NA,4,4,3,1
2020-03-04,4,5,2,4,NA,NA,4,1,2,-1
2020-03-05,1,0,3,3,NA,NA,1,6,-2,-5
2020-03-06,2,2,6,4,NA,NA,2,1,1,1
2020-03-07,-3,-2,0,0,NA,NA,-3,0,3,NA
2020-03-08,0,5,0,0,NA,NA,0,NA,6,NA
2020-03-09,3,4,3,3,NA,NA,1,6,3,0
2020-03-10,5,4,8,7,NA,NA,3,4,4,1
2020-03-11,3,3,-4,4,NA,NA,4,0,2,-4
2020-03-12,1,0,2,4,NA,NA,1,1,-1,-5
2020-03-13,1,0,-1,3,NA,NA,1,6,3,3
2020-03-14,-1,-1,0,0,NA,NA,-1,0,7,NA
2020-03-15,-1,1,0,0,NA,NA,-2,NA,6,NA
2020-03-16,1,1,-2,3,NA,NA,1,3,4,-4
2020-03-17,1,1,4,3,NA,NA,0,4,-1,1
2020-03-18,-9,-11,-15,-7,NA,NA,-8,-7,-12,-12
2020-03-19,-14,-16,-16,-12,NA,NA,-15,-17,-16,-18
2020-03-20,-16,-19,-16,-13,NA,NA,-14,-16,-16,-11
2020-03-21,-12,-12,0,-8,NA,NA,-13,0,-4,NA
2020-03-22,-21,-20,0,0,NA,NA,-22,0,-15,NA
2020-03-23,-25,-27,-28,-27,NA,NA,-24,-24,-24,-27
2020-03-24,-29,-31,-27,-28,NA,NA,-28,-28,-31,-30
2020-03-25,-33,-35,-33,-35,-32,NA,-31,-32,-35,-33
2020-03-26,-34,-36,-33,-35,-36,NA,-33,-34,-35,-34
2020-03-27,-33,-36,-33,-33,NA,NA,-31,-31,-34,-29
2020-03-28,-33,-34,-29,-31,NA,NA,-32,0,-31,NA
2020-03-29,-52,-51,0,-56,NA,NA,-55,0,-49,NA
2020-03-30,-63,-64,-66,-62,-63,-63,-63,-63,-61,-64
2020-03-31,-65,-65,-65,-65,-61,-59,-67,-68,-65,-63
2020-04-01,-67,-69,-68,-66,-66,-62,-66,-68,-67,-64
2020-04-02,-69,-69,-70,-69,-62,-71,-69,-67,-69,-70
2020-04-03,-71,-72,-72,-73,-68,-71,-71,-71,-71,-71
2020-04-04,-82,-83,-83,-78,NA,NA,-81,-79,-80,NA
2020-04-05,-75,-78,0,-76,NA,NA,-77,NA,-72,NA
2020-04-06,-84,-83,-84,-82,-84,-80,-84,-86,-83,-84
2020-04-07,-82,-82,-80,-83,NA,NA,-83,-85,-81,-82
2020-04-08,-80,-79,-80,-81,-76,-76,-80,-82,-80,-79
2020-04-09,-79,-80,-80,-80,-74,-83,-78,-80,-78,-78
2020-04-10,-90,-91,-90,-91,NA,NA,-91,-89,-90,NA
2020-04-11,-67,-69,-68,-69,NA,NA,-67,-67,-61,-59
