date,total,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Koprivnica-Križevci County,Krapina-Zagorje County,Primorje-Gorski Kotar County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County
2020-02-29,2.0140918333096236,0.818129549745984,NA,9.545266191174646,21.466234147285878,NA,NA,0.37305668790969776,NA,2.7557118147278494,NA
2020-03-01,-38.505902911841154,-11.596138076641521,NA,-23.357913383278092,-7.484825344517962,NA,NA,-61.75654453442524,NA,-24.509321879725317,NA
2020-03-02,4.045532930649323,7.899474373757018,NA,28.30346420499212,10.288455328820726,NA,NA,-13.684440745308404,NA,-5.5562862741707,NA
2020-03-03,1.4975569269596616,NA,NA,6.181419254691708,-7.978475247668046,NA,NA,11.715688656950356,NA,-4.034774451283208,NA
2020-03-04,4.453240635356087,3.5486840493014165,NA,-1.6554405732490898,16.087899610866362,NA,NA,-2.9208535081377605,NA,10.527449118335106,NA
2020-03-05,18.07477870769639,14.340830759660305,NA,34.96780683895662,20.659813694811696,NA,NA,12.511163223027522,NA,8.9906649057574,NA
2020-03-06,-8.565016210483877,-5.774976671997285,NA,2.1726359342767227,-10.366647966151751,NA,NA,-12.030840871673051,NA,-25.396075006113325,NA
2020-03-07,10.787299212154402,-0.818129549745984,NA,33.181509608098125,8.433499872136538,NA,NA,19.029688098029798,NA,5.511423629455699,NA
2020-03-08,8.493253345632203,2.3196046335539933,NA,37.28999323907266,-2.4946277548500397,NA,NA,47.18550087179454,NA,10.026323831624985,NA
2020-03-09,15.026828458776382,3.385623666690754,NA,22.014036280527574,19.784621404684927,NA,NA,13.243037793964868,NA,10.23536466550978,NA
2020-03-10,18.52980258703063,16.763172859714658,NA,45.74582582840396,22.339542277476962,NA,NA,22.02553264521302,NA,7.493016191760865,NA
2020-03-11,26.299118460862427,24.840788345109917,NA,53.53906677047495,24.935914668854117,NA,NA,21.69519237194947,NA,13.160027291185612,NA
2020-03-12,24.485331766809125,22.06310656734331,NA,44.80282705769494,18.445925770379066,NA,NA,19.372368668857792,NA,11.10684540220757,NA
2020-03-13,-5.026554951259022,-1.9246780421443537,NA,-40.405627944058395,8.983674573357241,NA,NA,-9.775414178356405,NA,3.593784198978301,NA
