date,AE,Abu Dhabi,Ajman,Dubai,Fujairah,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-15,0,1,1,-1,-3,2,2,3
2020-02-16,1,-2,0,1,-5,0,3,0
2020-02-17,-1,-3,-1,0,-7,-3,-1,0
2020-02-18,-2,-3,-2,-1,-5,-3,-1,0
2020-02-19,-2,-3,-2,-1,-8,0,-1,-1
2020-02-20,-2,-2,-1,0,-8,-2,-1,-5
2020-02-21,-3,0,0,-4,-8,-2,0,3
2020-02-22,-2,-1,-1,-4,-5,-1,0,-2
2020-02-23,-1,-2,-1,-2,-5,-2,3,-4
2020-02-24,-3,-3,-3,-3,-8,-3,0,-5
2020-02-25,-3,-3,-1,-3,-6,-4,-1,-4
2020-02-26,-2,-3,-1,-2,-8,-1,0,-4
2020-02-27,1,2,2,1,-6,2,3,-4
2020-02-28,1,2,4,0,-2,2,3,1
2020-02-29,2,3,4,0,0,3,4,4
2020-03-01,3,2,4,1,0,5,8,4
2020-03-02,0,1,3,-1,-1,2,3,4
2020-03-03,0,0,3,-2,-4,1,3,3
2020-03-04,-1,-1,2,-3,-3,2,2,0
2020-03-05,-3,-2,1,-4,-5,1,1,-2
2020-03-06,-7,-5,1,-10,-5,-3,-1,0
2020-03-07,-3,-2,3,-5,-2,2,2,4
2020-03-08,1,-1,4,-1,-1,4,6,2
2020-03-09,-3,-3,2,-4,-4,2,1,-1
2020-03-10,-4,-3,2,-6,-5,2,0,-1
2020-03-11,-4,-4,2,-6,-2,3,0,2
2020-03-12,-8,-8,-2,-10,-7,-2,-1,-5
2020-03-13,-16,-13,-6,-22,-9,-7,-6,-4
2020-03-14,-12,-10,-5,-16,-8,-4,-4,0
2020-03-15,-6,-9,-2,-10,-7,0,2,-1
2020-03-16,-11,-12,-3,-14,-11,-6,-4,-4
2020-03-17,-16,-16,-8,-20,-14,-11,-8,-6
2020-03-18,-19,-17,-11,-23,-17,-11,-10,-12
2020-03-19,-24,-21,-16,-29,-23,-17,-14,-20
2020-03-20,-37,-31,-26,-46,-30,-27,-27,-23
2020-03-21,-32,-26,-23,-40,-25,-19,-24,-18
2020-03-22,-30,-27,-27,-36,-29,-30,-23,-21
2020-03-23,-27,-22,-17,-34,-20,-17,-18,-14
2020-03-24,-39,-34,-31,-48,-31,-27,-31,-23
2020-03-25,-50,-46,-40,-58,-40,-35,-40,-31
2020-03-26,-55,-49,-45,-63,-46,-44,-45,-41
2020-03-27,-80,-76,-74,-85,-70,-73,-77,-71
2020-03-28,-72,-66,-64,-80,-58,-60,-69,-58
2020-03-29,-55,-51,-47,-64,-45,-45,-45,-40
2020-03-30,-57,-52,-49,-65,-48,-46,-46,-36
2020-03-31,-56,-51,-47,-65,-44,-44,-45,-38
2020-04-01,-56,-50,-46,-65,-43,-42,-43,-39
2020-04-02,-58,-53,-48,-67,-47,-46,-46,-42
2020-04-03,-69,-63,-60,-78,-57,-56,-61,-52
2020-04-04,-58,-52,-48,-69,-44,-43,-47,-40
2020-04-05,-61,-50,-45,-78,-39,-38,-45,-34
2020-04-06,-63,-52,-49,-78,-43,-42,-48,-38
2020-04-07,-63,-53,-49,-77,-43,-45,-47,-36
2020-04-08,-63,-54,-50,-76,-44,-44,-47,-39
2020-04-09,-64,-56,-50,-77,-48,-48,-48,-44
2020-04-10,-74,-65,-62,-85,-57,-59,-64,-54
2020-04-11,-64,-54,-49,-78,-43,-45,-49,-39
