date,AU,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-02-15,3,4,10,-3,-2,4,-4,1,12
2020-02-16,3,16,6,-2,-4,1,1,0,2
2020-02-17,7,21,6,8,4,10,12,11,8
2020-02-18,7,12,7,4,5,7,4,5,8
2020-02-19,8,17,8,0,4,6,0,6,7
2020-02-20,9,20,9,4,6,10,8,9,8
2020-02-21,12,24,10,6,5,19,6,13,8
2020-02-22,8,44,8,-2,3,15,3,18,6
2020-02-23,4,25,1,7,-5,9,2,8,11
2020-02-24,8,19,7,11,5,14,14,10,10
2020-02-25,10,13,9,6,4,10,4,10,12
2020-02-26,10,16,7,5,7,20,0,10,9
2020-02-27,10,22,10,4,6,13,9,12,9
2020-02-28,14,24,12,5,9,18,5,16,6
2020-02-29,11,26,15,-10,8,23,1,16,0
2020-03-01,6,21,4,-2,2,5,4,6,10
2020-03-02,6,19,7,8,6,16,7,14,-29
2020-03-03,9,9,6,8,4,12,5,11,9
2020-03-04,7,2,2,4,4,13,8,11,7
2020-03-05,6,11,2,7,6,17,-1,10,8
2020-03-06,9,19,6,2,5,20,9,12,5
2020-03-07,3,12,5,-4,-2,13,-3,10,-1
2020-03-08,0,2,-7,-7,-4,6,-12,12,-2
2020-03-09,-9,-25,4,1,-1,-24,-18,-32,5
2020-03-10,6,8,1,4,1,16,2,9,9
2020-03-11,6,8,2,3,3,14,5,8,5
2020-03-12,6,16,2,4,2,21,9,10,4
2020-03-13,5,12,1,-2,1,20,0,5,1
2020-03-14,-10,-4,-14,-10,-6,12,1,-2,-13
2020-03-15,-13,3,-17,-9,-8,0,-3,-12,-15
2020-03-16,-7,2,-13,-4,-7,10,1,-3,-5
2020-03-17,-14,-12,-19,-6,-12,1,-6,-16,-10
2020-03-18,-18,-15,-21,-8,-15,-5,-9,-24,-14
2020-03-19,-22,-12,-24,-7,-18,-8,-14,-28,-14
2020-03-20,-22,-14,-25,-10,-19,-9,-17,-29,-21
2020-03-21,-28,-20,-26,-21,-25,-19,-27,-31,-29
2020-03-22,-34,-26,-34,-18,-30,-27,-35,-42,-32
2020-03-23,-36,-25,-38,-10,-30,-22,-28,-43,-27
2020-03-24,-45,-44,-47,-21,-36,-33,-33,-56,-32
2020-03-25,-50,-47,-53,-28,-40,-39,-36,-60,-40
2020-03-26,-53,-48,-55,-31,-46,-42,-43,-63,-45
2020-03-27,-53,-50,-54,-39,-50,-43,-44,-62,-50
2020-03-28,-53,-47,-52,-47,-49,-47,-51,-59,-54
2020-03-29,-58,-52,-57,-55,-57,-55,-62,-68,-55
2020-03-30,-59,-54,-60,-43,-55,-49,-52,-66,-52
2020-03-31,-59,-58,-60,-40,-56,-50,-57,-69,-52
2020-04-01,-60,-57,-62,-43,-56,-51,-56,-69,-53
2020-04-02,-63,-64,-63,-46,-58,-50,-66,-72,-55
2020-04-03,-61,-60,-61,-45,-58,-53,-60,-69,-58
2020-04-04,-61,-60,-58,-52,-59,-56,-70,-70,-60
2020-04-05,-62,-61,-59,-58,-60,-59,-70,-74,-61
2020-04-06,-61,-55,-60,-47,-58,-51,-59,-69,-56
2020-04-07,-61,-58,-61,-48,-57,-51,-56,-70,-55
2020-04-08,-61,-60,-62,-44,-57,-51,-56,-69,-58
2020-04-09,-59,-56,-60,-41,-56,-48,-55,-68,-55
2020-04-10,-77,-78,-77,-67,-77,-68,-78,-81,-74
2020-04-11,-63,-61,-60,-54,-62,-52,-71,-72,-62
