date,LB
2020-02-15,0
2020-02-16,17
2020-02-17,10
2020-02-18,2
2020-02-19,6
2020-02-20,9
2020-02-21,0
2020-02-22,-7
2020-02-23,1
2020-02-24,1
2020-02-25,0
2020-02-26,3
2020-02-27,-1
2020-02-28,-2
2020-02-29,-6
2020-03-01,-2
2020-03-02,-6
2020-03-03,-8
2020-03-04,-6
2020-03-05,-13
2020-03-06,-20
2020-03-07,-19
2020-03-08,-19
2020-03-09,-20
2020-03-10,-21
2020-03-11,-19
2020-03-12,-33
2020-03-13,-36
2020-03-14,-42
2020-03-15,-42
2020-03-16,-44
2020-03-17,-58
2020-03-18,-62
2020-03-19,-78
2020-03-20,-78
2020-03-21,-80
2020-03-22,-84
2020-03-23,-81
2020-03-24,-81
2020-03-25,-81
2020-03-26,-80
2020-03-27,-79
2020-03-28,-84
2020-03-29,-84
2020-03-30,-78
2020-03-31,-75
2020-04-01,-77
2020-04-02,-77
2020-04-03,-77
2020-04-04,-80
2020-04-05,-81
2020-04-06,-78
2020-04-07,-74
2020-04-08,-74
2020-04-09,-76
2020-04-10,-82
2020-04-11,-78
