date,FR,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Corsica,Grand Est,Hauts-de-France,Île-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2020-02-15,23,53,44,-5,18,16,43,4,5,11,38,32,5,37
2020-02-16,9,44,41,-26,31,11,47,-31,-8,-6,46,12,-8,1
2020-02-17,16,22,2,52,9,15,3,12,11,31,10,16,32,17
2020-02-18,36,56,27,62,29,30,32,23,15,40,25,47,34,65
2020-02-19,18,19,7,22,14,4,16,15,-5,15,21,27,17,43
2020-02-20,29,58,24,37,7,14,20,-2,-1,19,32,45,11,58
2020-02-21,28,42,37,42,24,12,27,20,8,40,34,28,21,51
2020-02-22,31,63,59,22,19,14,33,-5,9,12,43,42,18,51
2020-02-23,30,101,72,-6,12,12,6,-17,5,1,38,64,-4,45
2020-02-24,45,107,65,32,15,21,43,6,11,23,43,58,15,79
2020-02-25,23,45,10,42,14,39,10,17,4,15,8,29,21,62
2020-02-26,9,15,2,28,8,-21,-2,14,-3,5,3,3,19,20
2020-02-27,1,8,-13,45,-8,-9,-15,-20,-7,6,-6,1,14,3
2020-02-28,15,43,29,0,1,13,17,-13,-5,-8,12,24,-6,57
2020-02-29,-12,-12,-11,-2,-10,4,-14,-22,-16,-12,-14,11,-8,-16
2020-03-01,-13,8,-2,-17,-16,-38,1,-6,-33,5,-22,16,-24,-18
2020-03-02,-9,-16,-17,12,-3,-21,-11,-6,-15,3,-9,-1,11,-19
2020-03-03,8,28,15,20,9,1,9,14,1,14,-8,1,10,15
2020-03-04,1,22,16,-7,-1,-2,11,3,-16,-7,-11,-3,-4,12
2020-03-05,-15,-22,-24,1,-16,-9,-19,-21,-19,-7,-15,-9,-4,-19
2020-03-06,-1,5,5,-2,4,-3,-12,11,-8,9,-9,-6,1,21
2020-03-07,7,4,12,22,8,-7,13,15,4,12,7,4,9,18
2020-03-08,-1,44,24,-14,-9,10,12,-21,-23,-6,-21,21,-9,11
2020-03-09,2,0,5,11,6,-7,4,12,-4,12,4,1,13,3
2020-03-10,1,0,-8,14,1,28,-12,-6,-10,4,9,12,3,19
2020-03-11,17,39,12,8,8,3,10,-3,-1,2,13,24,13,28
2020-03-12,5,12,0,34,-4,4,-7,4,-5,12,3,3,16,7
2020-03-13,4,9,21,9,5,4,7,10,-11,8,16,4,11,12
2020-03-14,-1,26,20,14,-12,-10,-2,-15,-34,-3,3,14,2,16
2020-03-15,15,35,49,-24,42,-8,57,17,34,13,23,-4,34,-15
2020-03-16,-15,-8,0,34,-22,-11,3,4,-39,7,-22,-25,-2,-17
2020-03-17,-40,-35,-19,-14,-33,-32,-33,-30,-65,-26,-35,-35,-30,-43
2020-03-18,-53,-50,-40,-49,-48,-51,-46,-48,-69,-47,-48,-48,-48,-57
2020-03-19,-56,-56,-44,-47,-54,-54,-50,-58,-69,-50,-52,-52,-51,-61
2020-03-20,-66,-62,-51,-62,-60,-61,-59,-71,-80,-63,-57,-58,-61,-65
2020-03-21,-78,-74,-69,-74,-77,-71,-80,-80,-89,-75,-73,-70,-77,-78
2020-03-22,-80,-77,-71,-82,-77,-74,-77,-79,-86,-75,-76,-72,-80,-85
2020-03-23,-64,-65,-52,-52,-57,-60,-62,-63,-80,-53,-57,-57,-55,-70
2020-03-24,-65,-64,-52,-51,-58,-57,-61,-63,-81,-55,-57,-58,-57,-72
2020-03-25,-67,-66,-58,-61,-61,-72,-63,-65,-81,-58,-60,-60,-61,-73
2020-03-26,-67,-67,-57,-54,-63,-70,-64,-66,-80,-57,-61,-64,-60,-71
2020-03-27,-68,-68,-55,-60,-63,-67,-63,-67,-82,-60,-60,-62,-64,-69
2020-03-28,-76,-73,-67,-73,-75,-70,-70,-79,-85,-74,-73,-70,-75,-77
2020-03-29,-82,-80,-77,-83,-79,-74,-81,-84,-89,-78,-80,-73,-80,-83
2020-03-30,-66,-68,-56,-54,-60,-57,-59,-64,-79,-54,-64,-58,-57,-67
2020-03-31,-61,-58,-47,-48,-55,-57,-56,-60,-78,-54,-55,-52,-54,-66
2020-04-01,-62,-59,-50,-56,-57,-62,-55,-60,-77,-55,-57,-60,-56,-67
2020-04-02,-62,-60,-50,-50,-58,-59,-55,-64,-79,-54,-55,-55,-54,-65
2020-04-03,-66,-63,-52,-55,-62,-58,-61,-65,-87,-59,-56,-57,-60,-62
2020-04-04,-73,-70,-63,-64,-73,-66,-65,-73,-86,-70,-69,-67,-70,-75
2020-04-05,-73,-68,-61,-74,-68,-70,-62,-69,-83,-67,-72,-68,-68,-80
2020-04-06,-61,-57,-46,-44,-61,-50,-48,-61,-85,-52,-57,-49,-51,-60
2020-04-07,-61,-57,-45,-50,-56,-48,-50,-55,-83,-56,-54,-51,-53,-61
2020-04-08,-63,-59,-51,-54,-58,-59,-54,-57,-84,-58,-56,-56,-55,-65
2020-04-09,-61,-61,-51,-44,-59,-53,-54,-59,-82,-54,-54,-53,-51,-64
2020-04-10,-64,-62,-50,-53,-61,-58,-60,-59,-83,-57,-56,-56,-56,-62
2020-04-11,-74,-71,-64,-65,-73,-65,-67,-71,-87,-70,-70,-68,-71,-75
