date,GA
2020-02-15,-4
2020-02-16,-5
2020-02-17,-8
2020-02-18,-5
2020-02-19,-9
2020-02-20,-6
2020-02-21,-11
2020-02-22,-9
2020-02-23,-9
2020-02-24,-9
2020-02-25,-5
2020-02-26,-12
2020-02-27,1
2020-02-28,2
2020-02-29,2
2020-03-01,1
2020-03-02,2
2020-03-03,4
2020-03-04,0
2020-03-05,9
2020-03-06,7
2020-03-07,-8
2020-03-08,9
2020-03-09,-1
2020-03-10,-3
2020-03-11,-8
2020-03-12,3
2020-03-13,4
2020-03-14,-4
2020-03-15,-4
2020-03-16,-4
2020-03-17,-6
2020-03-18,-7
2020-03-19,-7
2020-03-20,-7
2020-03-21,-16
2020-03-22,-27
2020-03-23,-27
2020-03-24,-27
2020-03-25,-21
2020-03-26,-16
2020-03-27,-15
2020-03-28,-20
2020-03-29,-24
2020-03-30,-24
2020-03-31,-23
2020-04-01,-27
2020-04-02,-23
2020-04-03,-22
2020-04-04,-22
2020-04-05,-24
2020-04-06,-25
2020-04-07,-22
2020-04-08,-21
2020-04-09,-26
2020-04-10,-16
2020-04-11,-13
