date,MY
2020-02-15,-4
2020-02-16,-6
2020-02-17,-5
2020-02-18,-8
2020-02-19,-6
2020-02-20,-2
2020-02-21,-4
2020-02-22,-4
2020-02-23,-6
2020-02-24,-4
2020-02-25,-4
2020-02-26,-4
2020-02-27,-3
2020-02-28,0
2020-02-29,3
2020-03-01,0
2020-03-02,-1
2020-03-03,-3
2020-03-04,-2
2020-03-05,-3
2020-03-06,-2
2020-03-07,-2
2020-03-08,-2
2020-03-09,-3
2020-03-10,-5
2020-03-11,-5
2020-03-12,-6
2020-03-13,-5
2020-03-14,-9
2020-03-15,-10
2020-03-16,-3
2020-03-17,-5
2020-03-18,-56
2020-03-19,-67
2020-03-20,-72
2020-03-21,-77
2020-03-22,-83
2020-03-23,-78
2020-03-24,-78
2020-03-25,-76
2020-03-26,-76
2020-03-27,-77
2020-03-28,-80
2020-03-29,-81
2020-03-30,-76
2020-03-31,-76
2020-04-01,-77
2020-04-02,-77
2020-04-03,-78
2020-04-04,-81
2020-04-05,-81
2020-04-06,-75
2020-04-07,-75
2020-04-08,-76
2020-04-09,-74
2020-04-10,-77
2020-04-11,-78
