date,AW
2020-02-15,-2
2020-02-16,-1
2020-02-17,-20
2020-02-18,-13
2020-02-19,-14
2020-02-20,-13
2020-02-21,-15
2020-02-22,-6
2020-02-23,-8
2020-02-24,-62
2020-02-25,-1
2020-02-26,0
2020-02-27,1
2020-02-28,6
2020-02-29,4
2020-03-01,4
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,6
2020-03-07,2
2020-03-08,-2
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,3
2020-03-14,-3
2020-03-15,-5
2020-03-16,-21
2020-03-17,-29
2020-03-18,-74
2020-03-19,-40
2020-03-20,-41
2020-03-21,-40
2020-03-22,-46
2020-03-23,-48
2020-03-24,-51
2020-03-25,-53
2020-03-26,-55
2020-03-27,-52
2020-03-28,-51
2020-03-29,-72
2020-03-30,-71
2020-03-31,-70
2020-04-01,-69
2020-04-02,-69
2020-04-03,-66
2020-04-04,-64
2020-04-05,-64
2020-04-06,-66
2020-04-07,-67
2020-04-08,-66
2020-04-09,-66
2020-04-10,-91
2020-04-11,-64
