date,TW
2020-02-15,-2
2020-02-16,-21
2020-02-17,-14
2020-02-18,-3
2020-02-19,8
2020-02-20,-4
2020-02-21,6
2020-02-22,3
2020-02-23,24
2020-02-24,6
2020-02-25,4
2020-02-26,3
2020-02-27,-9
2020-02-28,65
2020-02-29,31
2020-03-01,21
2020-03-02,-10
2020-03-03,-2
2020-03-04,-14
2020-03-05,-30
2020-03-06,-1
2020-03-07,9
2020-03-08,26
2020-03-09,-3
2020-03-10,-29
2020-03-11,-4
2020-03-12,-15
2020-03-13,-21
2020-03-14,-28
2020-03-15,31
2020-03-16,0
2020-03-17,-3
2020-03-18,-11
2020-03-19,-29
2020-03-20,-5
2020-03-21,4
2020-03-22,24
2020-03-23,-9
2020-03-24,-5
2020-03-25,0
2020-03-26,-10
2020-03-27,-11
2020-03-28,-33
2020-03-29,17
2020-03-30,-13
2020-03-31,-6
2020-04-01,-10
2020-04-02,10
2020-04-03,40
2020-04-04,-7
2020-04-05,-12
2020-04-06,-28
2020-04-07,-18
2020-04-08,-8
2020-04-09,-12
2020-04-10,-1
2020-04-11,-20
