date,BA
2020-02-15,16
2020-02-16,28
2020-02-17,11
2020-02-18,0
2020-02-19,9
2020-02-20,4
2020-02-21,8
2020-02-22,28
2020-02-23,21
2020-02-24,3
2020-02-25,8
2020-02-26,0
2020-02-27,-4
2020-02-28,-4
2020-02-29,14
2020-03-01,-2
2020-03-02,7
2020-03-03,-8
2020-03-04,-3
2020-03-05,12
2020-03-06,-3
2020-03-07,-2
2020-03-08,0
2020-03-09,-2
2020-03-10,1
2020-03-11,12
2020-03-12,22
2020-03-13,6
2020-03-14,-3
2020-03-15,3
2020-03-16,4
2020-03-17,9
2020-03-18,7
2020-03-19,8
2020-03-20,-1
2020-03-21,-14
2020-03-22,-48
2020-03-23,-41
2020-03-24,-46
2020-03-25,-42
2020-03-26,-40
2020-03-27,-38
2020-03-28,-28
2020-03-29,-22
2020-03-30,-29
2020-03-31,-38
2020-04-01,-30
2020-04-02,-14
2020-04-03,-16
2020-04-04,-15
2020-04-05,-17
2020-04-06,-8
2020-04-07,-1
2020-04-08,1
2020-04-09,3
2020-04-10,-2
2020-04-11,-5
