date,JM
2020-02-15,-4
2020-02-16,31
2020-02-17,-11
2020-02-18,-11
2020-02-19,-8
2020-02-20,-6
2020-02-21,-4
2020-02-22,-6
2020-02-23,-4
2020-02-24,-5
2020-02-25,0
2020-02-26,1
2020-02-27,8
2020-02-28,-2
2020-02-29,-8
2020-03-01,-6
2020-03-02,-5
2020-03-03,-5
2020-03-04,-5
2020-03-05,-6
2020-03-06,-5
2020-03-07,0
2020-03-08,-9
2020-03-09,-10
2020-03-10,-7
2020-03-11,-10
2020-03-12,-10
2020-03-13,-17
2020-03-14,-20
2020-03-15,-28
2020-03-16,-28
2020-03-17,-31
2020-03-18,-39
2020-03-19,-37
2020-03-20,-40
2020-03-21,-39
2020-03-22,-47
2020-03-23,-42
2020-03-24,-45
2020-03-25,-44
2020-03-26,-41
2020-03-27,-41
2020-03-28,-44
2020-03-29,-50
2020-03-30,-45
2020-03-31,-45
2020-04-01,-51
2020-04-02,-50
2020-04-03,-49
2020-04-04,-48
2020-04-05,-54
2020-04-06,-47
2020-04-07,-49
2020-04-08,-46
2020-04-09,-34
2020-04-10,-72
2020-04-11,-57
