date,NO,Agder,Innlandet,Møre og Romsdal,Nordland,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-15,26,-8,67,56,20,10,33,38,37,16,39,14
2020-02-16,-34,-55,-13,19,-5,-48,-40,20,58,-52,-17,-56
2020-02-17,13,-7,55,-10,22,12,3,25,23,30,-8,16
2020-02-18,15,10,74,-27,19,19,-1,21,2,34,0,30
2020-02-19,49,44,122,23,49,28,22,39,92,80,40,58
2020-02-20,-4,-20,44,1,15,-29,-30,26,39,-13,-7,-12
2020-02-21,12,-8,82,0,11,5,-1,21,48,20,-9,23
2020-02-22,9,-12,44,-2,4,8,8,17,11,7,1,9
2020-02-23,0,-28,40,-6,-4,12,-38,20,18,5,20,5
2020-02-24,21,22,36,-14,25,15,32,20,-5,25,29,25
2020-02-25,13,-17,20,7,44,0,29,25,15,-14,34,5
2020-02-26,23,12,38,22,37,8,38,22,26,6,43,14
2020-02-27,14,2,16,20,30,-3,18,51,28,7,9,9
2020-02-28,20,23,30,7,31,14,39,28,19,18,29,12
2020-02-29,2,-34,13,36,54,-22,1,24,53,-25,15,-20
2020-03-01,-30,-56,-30,18,66,-44,-44,67,27,-55,-6,-57
2020-03-02,4,-2,-3,-8,45,0,10,23,-3,-11,2,-7
2020-03-03,6,-31,0,24,61,-12,1,58,14,-19,19,-8
2020-03-04,9,3,0,31,43,-11,33,43,16,-14,16,-18
2020-03-05,26,29,27,24,40,14,25,27,33,28,22,27
2020-03-06,18,19,18,27,51,5,55,26,24,12,21,5
2020-03-07,29,28,24,66,61,-4,44,43,64,16,32,17
2020-03-08,-37,-66,-36,20,34,-46,-50,65,35,-64,-26,-65
2020-03-09,11,9,13,-18,23,14,28,12,4,5,9,7
2020-03-10,-4,-28,1,-6,45,-10,-11,18,17,-22,-2,-16
2020-03-11,10,-7,23,-6,30,18,2,16,18,16,-1,16
2020-03-12,-1,-15,13,-22,13,2,-11,5,10,-2,-8,-2
2020-03-13,3,7,-3,-13,4,5,44,-9,-13,-1,14,4
2020-03-14,26,24,18,26,13,8,58,12,30,43,3,54
2020-03-15,-50,-73,-50,-16,-3,-67,-36,-16,25,-67,-31,-70
2020-03-16,22,28,1,26,-7,31,54,-36,45,26,-6,45
2020-03-17,10,17,9,-40,-15,31,31,-19,-7,36,-18,51
2020-03-18,18,27,13,-31,-7,35,44,-22,9,42,-11,57
2020-03-19,24,29,9,13,27,33,9,-13,19,55,-8,66
2020-03-20,31,42,0,20,-11,39,116,-21,-4,43,33,55
2020-03-21,80,55,32,147,21,54,187,-24,106,91,80,118
2020-03-22,-8,-7,-16,22,-20,-26,13,-36,68,-3,-15,-1
2020-03-23,-1,0,-9,9,-13,-4,18,-34,17,1,-16,10
2020-03-24,-8,12,-3,-28,-18,-14,12,-26,-8,0,-22,9
2020-03-25,0,18,4,-9,-6,3,18,-19,-5,20,-38,26
2020-03-26,29,58,19,59,-8,14,38,-24,109,47,-9,48
2020-03-27,16,37,-2,6,-12,17,72,-23,19,30,10,32
2020-03-28,29,39,-11,-6,-24,33,117,-45,-28,39,34,73
2020-03-29,-5,-1,-8,-40,24,-7,4,-24,-15,13,-31,24
2020-03-30,37,35,-1,9,8,34,95,-17,21,52,43,58
2020-03-31,23,26,11,-32,-25,60,32,-41,-27,81,-10,99
2020-04-01,18,14,10,-15,80,29,1,17,0,37,-19,49
2020-04-02,-7,-19,-21,-16,2,-7,-15,12,20,-1,-36,10
2020-04-03,13,23,-12,-5,21,41,24,3,-14,33,-14,40
2020-04-04,32,-11,3,37,13,34,89,21,-1,28,33,64
2020-04-05,14,24,-15,60,68,-27,57,19,100,8,25,2
2020-04-06,89,86,56,66,42,117,80,29,124,125,24,168
2020-04-07,104,94,80,67,21,120,145,13,131,150,54,197
2020-04-08,37,65,42,-2,3,37,65,8,34,70,-16,93
2020-04-09,166,193,115,49,107,150,201,67,80,269,76,377
2020-04-10,163,144,126,119,35,163,254,36,84,234,154,324
2020-04-11,-2,-38,-21,66,78,-39,2,41,87,-29,-27,-17
