date,GR,Crete Region,Decentralized Administration of Attica,Decentralized Administration of Epirus and Western Macedonia,Decentralized Administration of Macedonia and Thrace,Decentralized Administration of the Aegean,Decentralized Administration of Thessaly and Central Greece
2020-02-15,1,1,1,2,2,-4,0
2020-02-16,2,-2,2,2,3,1,0
2020-02-17,3,4,3,3,4,1,3
2020-02-18,-2,3,-6,2,3,3,2
2020-02-19,4,4,3,3,4,5,2
2020-02-20,4,6,3,3,4,4,3
2020-02-21,1,2,1,-11,2,2,0
2020-02-22,2,3,1,0,2,4,1
2020-02-23,4,1,3,7,6,3,3
2020-02-24,3,5,3,3,3,4,3
2020-02-25,3,4,4,3,4,3,3
2020-02-26,3,5,3,4,4,-5,3
2020-02-27,3,6,3,2,2,-5,3
2020-02-28,1,5,1,2,1,6,1
2020-02-29,1,4,-1,5,1,2,3
2020-03-01,5,6,0,12,5,10,7
2020-03-02,-67,-64,-75,-56,-64,-54,-59
2020-03-03,2,4,2,2,2,3,2
2020-03-04,4,5,3,3,4,4,3
2020-03-05,4,6,4,4,4,4,4
2020-03-06,3,6,3,4,4,6,3
2020-03-07,2,5,3,2,4,-2,4
2020-03-08,2,6,1,2,1,6,1
2020-03-09,-1,2,-2,4,1,2,0
2020-03-10,1,5,2,3,3,4,2
2020-03-11,-11,-11,-11,-17,-11,-9,-13
2020-03-12,-14,-15,-14,-17,-14,-11,-15
2020-03-13,-19,-19,-20,-22,-18,-15,-20
2020-03-14,-26,-21,-25,-33,-27,-18,-28
2020-03-15,-37,-30,-33,-44,-44,-29,-43
2020-03-16,-39,-38,-41,-43,-37,-33,-39
2020-03-17,-44,-43,-46,-47,-42,-37,-41
2020-03-18,-48,-47,-51,-50,-46,-40,-46
2020-03-19,-49,-47,-53,-50,-47,-41,-45
2020-03-20,-50,-47,-53,-51,-48,-41,-46
2020-03-21,-45,-40,-46,-47,-46,-36,-44
2020-03-22,-41,-39,-39,-47,-44,-37,-43
2020-03-23,-57,-53,-61,-58,-56,-48,-53
2020-03-24,-58,-54,-62,-58,-57,-49,-54
2020-03-25,-84,-79,-88,-82,-85,-74,-81
2020-03-26,-58,-55,-62,-58,-57,-49,-53
2020-03-27,-58,-53,-62,-58,-57,-50,-54
2020-03-28,-52,-46,-55,-54,-55,-43,-50
2020-03-29,-53,-48,-54,-55,-55,-48,-54
2020-03-30,-54,-51,-59,-53,-53,-45,-48
2020-03-31,-56,-53,-60,-54,-54,-46,-49
2020-04-01,-57,-52,-61,-58,-56,-46,-51
2020-04-02,-57,-53,-61,-57,-57,-48,-50
2020-04-03,-57,-53,-61,-57,-55,-47,-51
2020-04-04,-54,-46,-57,-55,-56,-45,-52
2020-04-05,-55,-48,-56,-59,-60,-47,-56
2020-04-06,-56,-52,-60,-54,-54,-46,-50
2020-04-07,-56,-54,-61,-54,-53,-47,-50
2020-04-08,-55,-54,-60,-53,-53,-46,-49
2020-04-09,-55,-51,-60,-54,-53,-45,-48
2020-04-10,-55,-51,-60,-53,-53,-45,-48
2020-04-11,-47,-42,-51,-48,-48,-38,-43
