date,EC
2020-02-15,-2
2020-02-16,0
2020-02-17,-4
2020-02-18,-5
2020-02-19,-6
2020-02-20,-11
2020-02-21,-13
2020-02-22,-8
2020-02-23,-5
2020-02-24,-70
2020-02-25,-70
2020-02-26,-10
2020-02-27,-7
2020-02-28,-8
2020-02-29,0
2020-03-01,0
2020-03-02,-6
2020-03-03,-7
2020-03-04,-7
2020-03-05,-8
2020-03-06,-9
2020-03-07,-1
2020-03-08,2
2020-03-09,-10
2020-03-10,-10
2020-03-11,-10
2020-03-12,-10
2020-03-13,-18
2020-03-14,-8
2020-03-15,-9
2020-03-16,-31
2020-03-17,-64
2020-03-18,-76
2020-03-19,-78
2020-03-20,-79
2020-03-21,-69
2020-03-22,-59
2020-03-23,-81
2020-03-24,-82
2020-03-25,-84
2020-03-26,-84
2020-03-27,-83
2020-03-28,-72
2020-03-29,-61
2020-03-30,-82
2020-03-31,-82
2020-04-01,-82
2020-04-02,-83
2020-04-03,-81
2020-04-04,-70
2020-04-05,-59
2020-04-06,-81
2020-04-07,-82
2020-04-08,-81
2020-04-09,-81
2020-04-10,-84
2020-04-11,-76
