date,BD
2020-02-15,6
2020-02-16,3
2020-02-17,4
2020-02-18,3
2020-02-19,1
2020-02-20,4
2020-02-21,6
2020-02-22,4
2020-02-23,4
2020-02-24,3
2020-02-25,0
2020-02-26,1
2020-02-27,6
2020-02-28,6
2020-02-29,6
2020-03-01,6
2020-03-02,6
2020-03-03,3
2020-03-04,5
2020-03-05,9
2020-03-06,-8
2020-03-07,8
2020-03-08,9
2020-03-09,8
2020-03-10,7
2020-03-11,6
2020-03-12,7
2020-03-13,7
2020-03-14,3
2020-03-15,6
2020-03-16,9
2020-03-17,3
2020-03-18,5
2020-03-19,3
2020-03-20,-2
2020-03-21,-5
2020-03-22,-8
2020-03-23,-7
2020-03-24,-9
2020-03-25,-26
2020-03-26,-51
2020-03-27,-47
2020-03-28,-48
2020-03-29,-46
2020-03-30,-45
2020-03-31,-43
2020-04-01,-44
2020-04-02,-49
2020-04-03,-46
2020-04-04,-46
2020-04-05,-44
2020-04-06,-49
2020-04-07,-50
2020-04-08,-51
2020-04-09,-54
2020-04-10,-56
2020-04-11,-55
