date,HT
2020-02-15,2
2020-02-16,3
2020-02-17,0
2020-02-18,2
2020-02-19,-1
2020-02-20,-4
2020-02-21,-4
2020-02-22,-1
2020-02-23,-3
2020-02-24,-46
2020-02-25,-44
2020-02-26,-39
2020-02-27,-4
2020-02-28,-3
2020-02-29,1
2020-03-01,-2
2020-03-02,3
2020-03-03,3
2020-03-04,4
2020-03-05,5
2020-03-06,6
2020-03-07,4
2020-03-08,-2
2020-03-09,2
2020-03-10,4
2020-03-11,2
2020-03-12,4
2020-03-13,4
2020-03-14,4
2020-03-15,1
2020-03-16,0
2020-03-17,3
2020-03-18,3
2020-03-19,3
2020-03-20,-20
2020-03-21,-15
2020-03-22,-11
2020-03-23,-31
2020-03-24,-33
2020-03-25,-35
2020-03-26,-34
2020-03-27,-33
2020-03-28,-20
2020-03-29,-14
2020-03-30,-35
2020-03-31,-34
2020-04-01,-33
2020-04-02,-34
2020-04-03,-32
2020-04-04,-20
2020-04-05,-12
2020-04-06,-32
2020-04-07,-34
2020-04-08,-35
2020-04-09,-38
2020-04-10,-55
2020-04-11,-26
