date,total,Christ Church,Saint George
2020-02-29,34.270379444521815,NA,-3.0
2020-03-01,58.002102603652546,NA,-5.1024
2020-03-02,3.9301552624601777,NA,-1.47072
2020-03-03,-0.9685766318771124,NA,NA
2020-03-04,3.9110071247624423,NA,7.4630399999999995
2020-03-05,5.150051201620066,NA,2.94144
2020-03-06,9.637895974526785,NA,-1.2662399999999998
2020-03-07,4.621083897720127,NA,-4.000319999999999
2020-03-08,5.841777675950755,NA,1.0204799999999998
2020-03-09,1.4736087636548818,NA,-7.352639999999999
2020-03-10,1.9363554246834858,NA,1.51488
2020-03-11,5.377435336780674,NA,2.9846399999999997
2020-03-12,-0.46833153452377674,NA,-1.47072
2020-03-13,1.6762598876225807,NA,-7.5945599999999995
2020-03-14,5.005642329816312,NA,-7.000319999999999
2020-03-15,-0.41726983399648254,NA,-10.20384
2020-03-16,-7.368841657345149,NA,-16.176000000000002
2020-03-17,-11.134642071233097,NA,-7.57536
2020-03-18,-12.222096724650317,NA,-8.95488
2020-03-19,-17.324277582026042,NA,-8.823360000000001
2020-03-20,-22.627513885227994,NA,-16.45536
2020-03-21,-27.72410986910855,NA,-21.0
2020-03-22,-38.38962256674713,NA,-27.55104
2020-03-23,-31.933508806327367,NA,-26.471040000000002
2020-03-24,-32.43614742089292,NA,-16.66656
2020-03-25,-24.932470960592884,NA,-11.94048
2020-03-26,-29.029374588837506,NA,-14.706240000000001
2020-03-27,-27.656293548095736,NA,-18.98688
2020-03-28,-41.20120745203127,NA,-34.00032
2020-03-29,-60.08845177363496,NA,-53.061119999999995
2020-03-30,-56.98884698381406,NA,-49.99968
2020-03-31,-54.706229402429855,NA,-42.42432
2020-04-01,-52.79779834522223,NA,-34.32864
2020-04-02,-55.71788934412687,NA,-35.294399999999996
2020-04-03,-54.05519272070685,NA,-32.91168
2020-04-04,-88.94788664040507,NA,-87.0
2020-04-05,-87.62905865647355,NA,-82.65311999999999
2020-04-06,-80.56977855857512,NA,-70.58784
2020-04-07,-80.3647339173952,NA,-71.21184
2020-04-08,-74.30833753141566,NA,-61.19424
2020-04-09,-68.35964941998589,NA,-48.52896
2020-04-10,-83.38774615642517,NA,-72.15168
2020-04-11,-67.00013164344668,NA,-55.00032
