date,BB,Christ Church,Saint George,Saint James,Saint John,Saint Lucy,Saint Michael,Saint Peter,Saint Philip,Saint Thomas
2020-02-15,1,-5,0,-5,NA,NA,4,30,-4,NA
2020-02-16,4,1,0,0,NA,NA,6,NA,20,NA
2020-02-17,-4,-4,0,0,NA,NA,-5,0,-26,-21
2020-02-18,-2,-3,0,-1,NA,NA,0,0,-22,0
2020-02-19,-7,-4,0,-10,NA,NA,-6,4,-18,0
2020-02-20,2,4,0,9,NA,NA,0,0,-16,-19
2020-02-21,2,2,0,6,NA,NA,1,10,-7,2
2020-02-22,3,8,-21,22,NA,NA,-1,10,-7,NA
2020-02-23,9,14,0,26,NA,NA,9,NA,-5,NA
2020-02-24,-3,6,0,3,NA,NA,-7,0,-6,0
2020-02-25,8,15,0,-5,NA,NA,7,0,7,0
2020-02-26,7,16,0,4,NA,NA,6,7,12,0
2020-02-27,11,11,0,4,NA,NA,12,13,11,0
2020-02-28,7,3,0,-3,NA,NA,10,7,1,-11
2020-02-29,10,7,0,-3,NA,NA,16,5,5,NA
2020-03-01,19,11,0,-6,NA,NA,41,NA,5,NA
2020-03-02,-4,-2,0,8,NA,NA,-6,0,-5,-9
2020-03-03,1,4,0,-2,NA,NA,2,0,2,0
2020-03-04,1,4,0,4,NA,NA,0,0,-2,0
2020-03-05,3,3,0,6,NA,NA,1,2,9,-7
2020-03-06,2,2,0,-1,NA,NA,2,-8,10,0
2020-03-07,0,1,0,-3,NA,NA,1,-11,5,NA
2020-03-08,5,22,0,-2,NA,NA,-3,NA,5,NA
2020-03-09,-7,-7,0,1,NA,NA,-8,0,2,-19
2020-03-10,-1,-2,0,-5,NA,NA,-1,0,0,0
2020-03-11,1,1,0,10,NA,NA,-1,0,14,0
2020-03-12,2,1,0,3,NA,NA,1,0,3,0
2020-03-13,1,-4,0,-2,NA,NA,2,-8,1,6
2020-03-14,-3,-6,0,-5,NA,NA,-1,-11,-4,NA
2020-03-15,-1,-3,0,-7,NA,NA,5,NA,7,NA
2020-03-16,-8,-7,0,-4,NA,NA,-10,-7,2,-7
2020-03-17,-5,-10,0,-11,NA,NA,-5,-7,13,0
2020-03-18,-14,-15,0,-10,NA,NA,-15,4,10,0
2020-03-19,-15,-15,0,-12,NA,NA,-20,-15,-3,-19
2020-03-20,-21,-28,0,-23,NA,NA,-22,-22,-1,-15
2020-03-21,-27,-32,-28,-29,NA,NA,-26,-18,-14,NA
2020-03-22,-37,-44,0,-50,NA,NA,-36,-39,-22,NA
2020-03-23,-29,-34,0,-31,NA,NA,-29,-27,-23,-35
2020-03-24,-26,-32,0,-35,NA,NA,-24,-26,-13,-33
2020-03-25,-30,-34,0,-39,0,NA,-30,-26,-7,-43
2020-03-26,-27,-34,0,-38,0,NA,-27,-28,-4,-21
2020-03-27,-25,-35,0,-34,NA,NA,-23,-23,-3,-13
2020-03-28,-39,-47,-35,-53,NA,NA,-36,-41,-20,NA
2020-03-29,-70,-81,0,-76,NA,NA,-70,-74,-72,NA
2020-03-30,-67,-75,0,-68,0,0,-70,-66,-68,-84
2020-03-31,-66,-74,0,-72,0,0,-69,-72,-37,-77
2020-04-01,-64,-70,0,-59,0,0,-68,-65,-48,-74
2020-04-02,-60,-67,0,-55,0,0,-65,-60,-47,-53
2020-04-03,-65,-76,0,-69,0,0,-69,-75,-44,-40
2020-04-04,-95,-100,0,-95,NA,NA,-97,0,-92,NA
2020-04-05,-88,-93,0,-93,NA,NA,-90,NA,-85,NA
2020-04-06,-90,-94,0,0,0,0,-93,0,0,0
2020-04-07,-87,-92,0,0,NA,NA,-91,0,0,0
2020-04-08,-82,-89,0,0,0,0,-86,0,0,0
2020-04-09,-77,-86,0,0,0,0,-82,0,0,0
2020-04-10,-93,-96,0,0,NA,NA,-96,0,0,NA
2020-04-11,-77,-87,0,0,NA,NA,-79,0,0,0
