date,NP
2020-02-15,4
2020-02-16,4
2020-02-17,3
2020-02-18,4
2020-02-19,4
2020-02-20,8
2020-02-21,-2
2020-02-22,6
2020-02-23,8
2020-02-24,5
2020-02-25,0
2020-02-26,1
2020-02-27,6
2020-02-28,6
2020-02-29,5
2020-03-01,7
2020-03-02,4
2020-03-03,3
2020-03-04,9
2020-03-05,13
2020-03-06,10
2020-03-07,2
2020-03-08,11
2020-03-09,-11
2020-03-10,0
2020-03-11,4
2020-03-12,5
2020-03-13,0
2020-03-14,0
2020-03-15,5
2020-03-16,5
2020-03-17,3
2020-03-18,9
2020-03-19,14
2020-03-20,11
2020-03-21,4
2020-03-22,-4
2020-03-23,-10
2020-03-24,-61
2020-03-25,-66
2020-03-26,-68
2020-03-27,-68
2020-03-28,-69
2020-03-29,-69
2020-03-30,-68
2020-03-31,-69
2020-04-01,-68
2020-04-02,-69
2020-04-03,-67
2020-04-04,-67
2020-04-05,-68
2020-04-06,-67
2020-04-07,-65
2020-04-08,-66
2020-04-09,-66
2020-04-10,-66
2020-04-11,-68
