date,VE
2020-02-15,2
2020-02-16,2
2020-02-17,3
2020-02-18,0
2020-02-19,0
2020-02-20,3
2020-02-21,7
2020-02-22,7
2020-02-23,13
2020-02-24,-11
2020-02-25,-24
2020-02-26,-3
2020-02-27,3
2020-02-28,6
2020-02-29,8
2020-03-01,9
2020-03-02,6
2020-03-03,5
2020-03-04,5
2020-03-05,2
2020-03-06,2
2020-03-07,4
2020-03-08,4
2020-03-09,3
2020-03-10,2
2020-03-11,4
2020-03-12,7
2020-03-13,20
2020-03-14,16
2020-03-15,4
2020-03-16,-5
2020-03-17,-21
2020-03-18,-28
2020-03-19,-36
2020-03-20,-37
2020-03-21,-40
2020-03-22,-45
2020-03-23,-40
2020-03-24,-42
2020-03-25,-40
2020-03-26,-40
2020-03-27,-38
2020-03-28,-38
2020-03-29,-44
2020-03-30,-41
2020-03-31,-39
2020-04-01,-40
2020-04-02,-40
2020-04-03,-41
2020-04-04,-41
2020-04-05,-48
2020-04-06,-41
2020-04-07,-37
2020-04-08,-32
2020-04-09,-44
2020-04-10,-59
2020-04-11,-46
