date,total,Riga
2020-02-29,1.260993759773109,-2.203159037067285
2020-03-01,3.9147868730750885,-3.0554412435312197
2020-03-02,-1.5824708177139908,-2.8590540684399772
2020-03-03,-0.5786587042935872,-0.4547411772743812
2020-03-04,-1.4651316915655688,-1.9857984743449395
2020-03-05,1.5197827914155186,-1.3947302774683852
2020-03-06,7.033918027746494,3.717056289712395
2020-03-07,8.021656288269853,4.42633812596426
2020-03-08,25.580733193000817,12.464865603485396
2020-03-09,1.9746728284018662,0.9085290187473485
2020-03-10,3.5201737844526555,1.6883577043038345
2020-03-11,2.0598642487562002,-0.6616150461811751
2020-03-12,2.8844529023745618,-1.2526832430577293
2020-03-13,-7.790192806552418,-12.719406262462881
2020-03-14,-24.650860802906816,-31.843322438823648
2020-03-15,-16.60991589116051,-29.647790088167675
2020-03-16,-24.267499411312315,-29.437102876055224
2020-03-17,-25.53492271224424,-31.65932862915079
2020-03-18,-32.994797841762406,-38.326005888437464
2020-03-19,-29.911029163464494,-37.992338357942636
2020-03-20,-33.809742183642534,-41.463434010890275
2020-03-21,-39.020081600219385,-48.57055241043013
2020-03-22,-35.08198764044358,-47.07476853801188
2020-03-23,-33.96324747880931,-40.475778120625584
2020-03-24,-34.05888690354672,-40.48817148604396
2020-03-25,-31.5184144531689,-38.26213238974274
2020-03-26,-33.017301235818266,-40.922892611488656
2020-03-27,-31.824621350857594,-40.77226555486527
2020-03-28,-40.60415980322308,-52.670849692310874
2020-03-29,-50.101395787441575,-59.17259985795297
2020-03-30,-38.63832759391458,-44.554148679073805
2020-03-31,-37.868390040146174,-43.84296017121911
2020-04-01,-40.15971777061981,-44.816316024462594
2020-04-02,-41.948737598060816,-48.096744517127476
2020-04-03,-38.30399145365606,-44.58179541731481
2020-04-04,-43.873581482481846,-52.24947526808597
2020-04-05,-35.78923716791352,-46.65911412859547
2020-04-06,-29.050274340827784,-34.845376877475694
2020-04-07,-25.616095669374314,-33.13032577073228
2020-04-08,-25.190138567602645,-32.21989008038209
2020-04-09,-21.424034833825214,-31.99013615224137
2020-04-10,-36.87341854581914,-47.30928914515968
2020-04-11,-38.99998928409808,-51.99970128811556
